科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"308,674,432.22","434,650,342.33","379,799,855.18","197,117,743.09","404,558,624.50","95,328,626.30","221,172,739.74","341,904,257.68","445,360,913.39","96,765,304.52","191,338,451.92","258,535,581.77","325,947,648.91","45,899,911.81","89,489,070.85","154,526,746.66","216,341,369.42","60,487,588.02","131,313,916.80","225,683,562.50","324,431,926.27","68,435,467.98","152,601,023.32","243,576,090.52","323,990,637.27","37,713,175.46","96,863,704.07","136,566,935.88","180,200,399.91","44,050,205.81","112,348,833.71","173,851,680.98","238,535,904.12","60,299,234.70","139,159,188.33","218,701,339.84","310,847,147.15","65,973,924.46"
二、营业利润,"46,199,085.02","57,701,615.44","74,123,139.22","33,705,180.27","75,590,683.81","17,206,354.70","34,883,581.47","54,803,801.69","73,921,602.71","18,253,972.12","33,906,426.02","39,847,121.59","46,088,752.95","5,992,158.40","7,938,779.34","9,617,781.16","7,579,761.33","1,687,543.43","4,697,931.69","8,749,653.61","10,548,725.51","928,101.52","3,786,704.35","4,377,271.86","-6,296,514.39","-13,790,732.13","-28,712,159.37","-45,799,353.02","-170,360,274.89","-13,879,791.93","-13,945,851.85","-11,068,515.41","-159,486,787.51","5,071,645.57","24,127,962.54","25,733,846.58","27,817,401.16","15,310,569.00"
减:营业成本,"248,322,687.26","345,070,339.36","275,702,463.53","145,402,612.03","290,564,524.75","69,890,972.71","166,277,409.09","257,797,639.64","331,256,774.39","71,862,483.47","142,061,405.83","196,956,666.19","247,905,285.42","33,886,710.66","68,728,461.61","121,388,079.54","175,036,027.20","50,510,937.96","110,271,846.18","190,674,264.95","274,954,864.30","56,919,123.65","126,773,644.30","198,018,900.99","263,894,005.85","36,775,669.11","90,821,398.49","129,642,814.89","169,744,381.50","41,018,019.93","92,968,789.74","140,067,906.67","188,711,136.58","45,924,473.29","111,169,950.33","175,132,969.70","242,791,421.38","53,939,298.46"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,306,594.94","2,184,782.15","3,521,197.50","1,579,944.09","2,803,260.96","634,932.60","1,329,271.26","2,235,874.40","2,785,165.64","817,345.51","1,015,301.23","1,315,982.06","1,615,813.02","163,949.78","238,207.49","381,002.21","665,754.29","133,631.11","299,777.27","392,495.17","164,182.68","127,470.39","170,464.19","993,512.74","1,860,588.36","494,216.10","1,047,944.77","1,275,110.99","3,156,639.64","494,246.36","2,054,076.85","2,612,237.07","4,580,264.86","1,007,786.14","1,333,780.61","2,622,389.28","3,502,779.54","239,359.26"
营业外收入,"6,040,616.94","7,905,426.13","7,521,046.77","5,346,263.43","9,010,819.76","1,581,788.16","4,721,409.31","5,170,718.17","11,805,354.24","787,545.00","2,477,983.04","3,146,855.57","6,485,277.84","537,045.00","732,090.00","1,356,919.45","6,097,746.01","1,862,280.00","2,555,436.00","3,348,153.85","6,079,772.07","821,858.95","3,067,438.69","4,879,094.57","10,023,318.71","1,062,064.37","3,687,390.60","4,789,484.35","6,679,180.51","3,536,269.51","5,689,645.71","6,945,568.20","31,560,819.20","871,295.93","1,665,645.79","3,361,691.44","2,362,134.50","1,320.00"
销售费用,"2,517,081.37","3,404,904.14","3,992,755.43","2,319,380.12","4,449,902.15","1,172,285.71","2,351,046.30","3,596,711.82","4,911,828.99","1,028,078.08","1,864,569.42","3,035,514.71","3,598,796.42","557,674.89","1,635,149.66","2,215,299.70","3,060,282.22","610,254.75","1,693,353.78","2,979,551.87","5,015,687.83","926,045.42","1,999,039.78","3,604,233.77","5,203,921.49","634,981.74","1,844,565.11","2,953,712.86","4,610,449.73","1,162,649.60","2,242,741.51","3,959,528.53","5,852,254.96","944,924.14","1,763,727.58","3,144,547.98","4,686,310.90","831,930.30"
减:营业外支出,"1,835,354.59","745,288.35","1,173,380.48","791,573.48","757,639.33","123,008.27","298,064.21","484,633.87","2,065,475.42","139,917.84","255,764.89","341,135.78","417,972.12","188,474.71","245,005.19","321,474.06","391,058.01","174,414.35","259,871.15","364,980.67","601,819.01","89,684.59","182,545.91","285,099.78","449,542.53","50,202.30","123,410.93","4,613,704.07","4,466,314.35","65,732.05","67,367.62","67,567.62","341,167.12","43,171.66","51,566.86","51,566.86","883,281.63","50,000.00"
管理费用,"9,871,644.65","19,188,206.92","24,753,431.09","13,243,739.52","28,575,730.52","5,494,889.65","15,044,494.19","20,639,256.30","37,991,547.35","5,750,223.35","16,914,527.61","24,070,652.78","33,897,540.72","5,873,491.35","12,569,770.40","21,496,687.71","30,912,951.04","7,112,484.24","15,871,702.03","24,980,274.64","36,463,840.64","8,437,733.00","17,989,171.22","29,628,994.85","49,246,799.32","10,047,168.03","23,905,475.38","36,239,111.97","53,509,904.95","11,237,006.01","24,020,005.04","33,788,905.79","55,486,740.65","9,674,650.49","19,622,924.50","24,354,549.22","35,714,859.60","6,283,807.16"
其中:非流动资产处置净损失,"-94,754.26","-53,215.31","-2,390,120.99",,,,,,"1,459,887.80",,,,,,,,,,,,,,,,,,,,"4,327,384.16",,"65,481.50",,,,,,,
