科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"99,557,612.89","266,114,343.47","555,476,633.57","120,277,411.02","295,265,373.89","449,537,522.61","552,917,306.91","99,089,298.70","253,222,634.99","405,194,557.89","579,783,481.97","128,545,632.20","339,447,698.08","524,691,990.66","720,810,557.49","172,655,859.20","428,403,662.64","642,038,981.71","873,311,610.52","177,461,778.56","436,421,578.72","645,352,214.51","884,960,249.70","160,293,657.11","447,855,553.54","666,757,092.00","944,540,032.63","158,220,369.84","443,168,446.95","686,721,026.47","969,651,243.69","168,172,892.25","437,807,744.26","673,709,318.19","931,110,719.15","156,145,617.81","395,240,659.71","601,723,520.03","835,631,594.00","154,788,886.58","415,363,308.20","619,230,580.45","902,009,904.59","180,465,435.95"
二、营业利润,"95,250.90","14,245,396.84","32,617,212.60","3,455,976.96","9,374,835.33","16,869,918.29","19,457,865.94","700,430.07","13,323,036.98","33,985,824.82","54,060,897.21","4,729,410.98","26,750,294.23","50,408,374.53","68,852,113.21","4,539,197.76","22,509,894.31","36,920,399.26","48,935,930.95","5,735,342.24","33,954,845.48","64,794,929.35","80,048,348.78","9,256,283.44","62,300,234.35","118,448,214.60","170,205,779.51","20,128,188.28","100,702,422.48","175,936,240.98","227,952,434.75","26,978,585.27","113,150,996.52","213,696,002.74","283,023,598.35","26,266,289.94","112,885,877.13","175,951,064.76","263,380,225.64","38,078,750.86","98,198,557.30","141,200,984.80","183,815,570.13","21,270,898.98"
减:营业成本,"89,252,828.17","226,908,904.31","463,109,964.47","104,252,682.00","253,135,012.39","382,785,324.47","466,119,950.10","86,635,067.90","201,044,084.02","311,724,142.05","448,642,112.23","99,938,329.78","264,140,530.26","402,980,514.78","554,002,069.70","142,200,432.65","354,951,953.89","531,468,382.94","714,018,675.95","147,690,308.58","342,331,446.41","499,111,445.36","688,699,119.49","116,566,649.36","320,057,957.33","463,247,285.83","645,923,748.39","108,975,004.63","286,538,880.17","432,681,397.89","612,526,616.07","110,892,734.93","266,936,800.73","381,758,962.97","533,739,919.12","93,662,492.44","222,477,771.68","345,107,345.58","474,602,769.84","100,696,178.88","251,688,226.80","369,186,455.96","575,611,962.14","115,715,836.83"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,"582,725.27","2,595,917.28","289,329.98","694,649.17","926,900.39","1,669,358.61","769,317.22","1,715,390.51","2,420,792.46","3,036,901.86","342,477.70","1,141,952.40","1,835,041.68","2,526,908.18","223,744.49","1,141,792.14","1,719,350.65","2,751,422.33","475,922.57","2,402,239.81","3,414,321.06","4,906,590.50","509,425.95","2,277,187.61","3,027,849.24","4,720,998.62","664,743.00","3,469,033.07","4,966,087.51","7,137,702.14","918,524.82","3,386,233.38","5,548,640.59","8,146,463.28","1,469,267.98","3,580,996.59","5,712,580.73","10,542,277.57","2,149,087.82","6,318,691.40","8,266,524.01","13,332,133.15","2,034,611.23"
营业外收入,"520,511.29","469,405.30","1,372,763.70","272,222.22","1,424,234.94","1,482,315.42","4,484,077.17","2,682,382.91","2,793,469.24","3,324,263.53","5,217,974.78","3,260.96","189,651.73","496,121.28","4,219,490.78","138,231.42","1,937,234.79","2,930,593.53","3,504,828.88","605,518.66","722,551.99","1,135,889.55","1,781,287.99","535,510.81","658,881.78","1,684,903.17","3,382,155.17","190,988.97","478,246.07","1,358,320.09","4,744,664.64","93,152.22","509,323.15","819,281.09","4,111,443.63","438,702.18","1,119,799.69","3,178,620.72","4,536,688.80","371,405.28","1,130,731.09","5,539,153.32","3,341,403.74","723,612.78"
销售费用,"3,855,141.05","12,908,882.65","26,133,054.99","3,633,906.82","10,548,635.46","17,899,005.22","26,338,443.64","3,919,662.75","14,769,896.37","20,362,091.26","29,793,723.37","10,078,108.14","20,435,856.52","29,004,344.30","40,310,990.52","12,868,264.68","20,497,735.95","31,102,025.58","43,796,276.93","8,182,471.07","21,991,984.38","30,113,355.14","43,268,950.84","6,455,854.41","21,077,435.76","26,992,367.55","43,012,245.99","8,991,692.04","17,810,763.40","26,448,811.00","40,026,211.29","7,730,515.94","16,419,328.56","26,231,495.00","37,463,918.68","6,722,289.56","16,174,119.79","22,579,385.60","35,788,802.03","5,871,304.93","13,717,064.57","21,640,638.92","36,624,606.98","3,214,940.53"
减:营业外支出,"128,844.04","815,541.86","1,839,429.94","149,122.99","1,092,353.85","1,257,964.54","1,409,938.33","353,722.76","525,670.90","2,017,516.40","3,763,269.03","435,284.41","1,207,339.94","1,616,292.01","1,817,383.15","127,620.62","469,377.76","794,093.17","1,788,205.46","191,158.84","646,293.34","1,963,563.81","3,320,152.62","145,401.99","443,635.41","1,319,499.91","1,724,464.04","193,074.72","1,540,074.64","1,835,696.66","2,428,778.13","184,180.31","511,423.33","940,511.20","1,284,859.22","413,895.89","590,858.95","1,022,846.96","1,119,686.38",25.71,"1,044.30","160,980.95","228,560.34","435,499.92"
管理费用,"4,653,846.10","6,149,799.21","22,788,930.87","5,734,571.67","13,546,570.16","21,400,132.63","30,313,262.78","6,401,726.50","20,858,526.25","34,069,547.01","48,438,990.92","12,361,995.01","24,077,235.70","36,116,009.01","50,561,377.91","11,859,966.15","26,736,201.08","42,143,852.25","60,503,355.88","15,054,981.15","31,111,604.21","48,570,570.81","69,690,889.61","20,159,742.54","35,969,008.17","51,403,823.43","77,817,775.48","20,109,776.14","36,178,220.79","50,086,101.32","83,718,427.77","22,101,119.10","41,001,672.05","59,820,715.36","87,928,329.44","24,972,114.55","44,070,830.12","62,302,622.40","90,855,683.82","21,566,731.84","48,607,002.26","67,496,526.20","97,463,053.69","17,277,811.14"
其中:非流动资产处置净损失,,,,,,,"18,928.56",,,,"2,304,188.40",,,,"253,152.45",,,,"736,854.58",,,,"1,755,161.56",,"10,296.19",,"45,400.39",850.07,"17,942.38","17,942.38","38,343.89",,"38,637.32","206,679.53","230,818.22",,"247,355.41","247,355.41","585,829.51",,,,,
