科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"293,315,495.66","336,679,278.25","579,336,571.42","871,663,323.02","2,024,674,369.71","1,905,049,306.83","2,004,054,872.95","2,241,925,324.11","2,415,389,561.31","1,916,962,963.93","2,206,354,679.38","2,593,439,096.66","2,557,592,074.28","2,058,596,050.06","1,514,499,294.18","1,373,449,537.93","841,614,622.62","494,423,022.30","557,876,350.27","572,030,495.53","422,765,189.61","798,190,817.60","391,582,353.89","842,695,028.02","684,386,378.65","771,542,060.14","881,005,140.67","1,166,069,683.50","599,353,667.49","736,308,604.90","771,721,295.55","771,521,412.17","729,302,278.40"
短期借款,"325,000,000.00","205,000,000.00","405,000,000.00","365,000,000.00","90,000,000.00","90,000,000.00","80,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,"323,000,000.00","336,755,430.15","584,716,638.98","705,263,263.08","1,091,363,255.23","1,098,532,873.99","1,180,000,000.00","1,018,578,674.80","1,004,904,596.49","938,000,000.00","938,000,000.00","818,000,000.00"
交易性金融资产,,,,,,,,,,,,,,"90,000,000.00",,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,120,000.00",,"230,370.35","1,288,699.35","1,402,827.24","5,806,091.00","10,767,116.60","3,760,757.85",,"5,850,000.00","7,414,977.80","8,806,769.05","11,248,383.95","5,289,388.75","4,700,000.00","1,186,807.62","5,250,000.00","6,500,000.00","200,000.00","10,200,000.00","8,500,000.00","2,900,000.00",,"500,000.00","1,173,200.00","9,434,200.00",,"9,500,463.60","7,500,463.60",,,,"300,000.00"
应付票据,"201,271,935.78","124,030,985.12","103,152,588.75","74,162,131.48","73,075,193.35","77,852,934.68","129,153,845.70","105,859,061.02","127,034,017.84","156,017,858.04","168,965,364.98","139,945,125.98","173,681,182.83","173,204,006.32","113,654,571.82","124,649,347.05","96,890,796.54","70,575,514.97","103,822,106.34","176,154,604.72","153,718,091.24","138,190,718.68","88,851,699.50","118,926,404.77","136,615,837.80","69,015,766.67","43,508,270.68","93,677,679.31","64,927,634.21","63,687,548.25","39,805,082.30","67,813,677.26","185,778,033.06"
应收账款,"176,422,363.80","163,394,812.98","296,367,421.02","315,754,680.00","347,290,912.40","311,990,563.00","314,706,158.01","269,840,778.83","291,668,191.50","316,593,521.76","227,542,912.24","270,554,524.70","227,056,565.54","246,101,709.95","352,524,942.11","249,998,822.22","346,569,901.60","311,862,954.77","424,949,397.31","359,485,775.68","386,222,123.58","356,555,192.63","1,362,660,665.61","1,334,041,982.03","1,255,982,654.46","1,243,852,348.18","1,166,320,568.35","1,236,159,071.77","1,030,338,565.14","1,128,646,194.48","807,900,828.90","837,734,407.24","756,819,814.57"
应付账款,"216,092,766.83","272,371,416.98","346,096,635.98","452,874,081.01","313,482,208.34","322,597,013.67","363,028,285.45","286,009,864.60","348,303,212.51","381,551,579.73","468,310,460.93","653,302,781.91","478,931,220.68","485,597,147.31","624,800,566.43","479,324,761.59","423,534,032.00","593,098,416.15","635,601,299.58","489,663,298.57","391,911,239.56","264,746,187.04","445,085,861.66","433,170,484.69","393,560,578.94","289,729,497.62","405,089,614.65","333,718,113.01","361,279,902.07","404,126,638.81","449,686,172.41","404,146,105.81","451,703,968.70"
预付款项,"47,684,925.62","57,465,030.32","54,438,030.54","116,769,411.77","96,121,378.75","148,317,381.58","99,129,693.06","103,566,451.63","85,439,157.48","120,123,699.17","31,647,838.17","72,027,326.42","105,903,689.81","223,874,139.99","178,592,543.89","243,138,031.03","214,376,692.29","300,675,195.48","201,371,772.16","177,840,567.32","271,176,639.39","213,209,724.76","73,539,238.36","99,645,325.32","84,112,264.51","126,710,754.52","112,467,388.08","141,201,191.38","262,187,094.44","132,213,425.46","61,591,961.90","55,015,130.34","60,185,436.88"
预收款项,"114,042,823.69","199,643,006.55","108,074,713.49","255,915,062.45","81,624,282.79","72,756,510.28","77,087,350.22","71,864,347.30","28,325,544.78","55,845,727.58","150,639,968.87","186,824,385.18","192,476,234.72","143,578,797.10","56,725,554.31","154,359,997.27","78,720,894.09","147,356,954.56","66,406,260.78","167,880,674.95","92,084,496.26","76,545,858.94","39,694,690.23","45,361,951.25","48,819,666.44","39,039,181.86","20,439,015.98","19,283,910.03","34,050,140.97","82,833,207.86","36,456,326.40","39,327,119.98","44,187,217.42"
