科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"469,196,311.51","519,867,952.91","750,494,049.77","701,128,380.44","1,017,916,608.25","273,609,048.56","500,658,506.81","733,610,926.21","1,048,068,265.24","297,011,904.33","609,120,578.99","965,140,239.55","1,465,507,889.89","403,450,611.73","865,741,698.88","1,311,736,384.17","1,902,072,096.69","509,089,771.96","1,059,806,065.43"
二、营业利润,"147,229,565.99","154,304,812.27","210,291,325.47","169,261,899.87","233,040,640.44","62,590,279.02","100,478,289.07","149,130,230.19","192,652,646.78","69,509,779.10","130,198,320.89","207,215,001.58","295,049,067.67","95,588,255.87","173,829,548.71","263,923,500.02","358,284,685.89","98,771,442.56","188,657,843.70"
减:营业成本,"262,001,642.17","296,012,747.66","445,990,670.32","431,805,381.61","626,979,717.54","166,795,374.54","312,802,362.59","459,769,209.33","668,959,814.78","187,731,189.92","389,648,638.41","611,291,233.88","943,695,089.35","262,238,987.66","570,883,322.79","869,690,866.38","1,274,426,350.47","337,230,324.00","719,760,704.13"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,052,263.34","5,352,309.86","6,810,568.77","6,584,604.82","10,034,227.86","2,858,855.55","5,202,711.90","7,420,230.02","10,192,575.17","2,899,240.72","5,897,210.05","8,755,544.12","16,056,157.95","3,035,436.13","9,443,185.36","13,269,576.56","20,001,355.35","3,186,305.65","9,249,520.95"
营业外收入,"10,502,262.53","11,018,620.55","8,730,209.62","7,411,298.85","9,024,002.52","903,005.62","6,551,850.00","7,702,509.05","17,107,717.91","1,166,114.31","6,968,244.56","9,551,270.13","9,608,081.29","523,782.52","100,208.36","2,133,026.73","720,322.49","141,821.71","57,719.93"
销售费用,"10,254,613.10","12,049,952.19","15,753,666.06","15,200,690.66","22,618,713.49","5,391,482.03","11,575,560.86","18,012,075.91","25,593,321.85","6,999,529.18","14,461,886.20","24,634,895.81","35,223,155.72","9,274,090.07","23,996,414.78","35,887,361.83","48,673,645.88","13,175,811.52","28,792,213.20"
减:营业外支出,"66,906.63","60,253.62","746,435.98","88,417.10","387,128.13","245,766.14","406,296.34","435,036.89","705,244.62","165,429.13","416,647.94","1,075,042.08","1,607,944.27","1,047,817.03","2,254,455.46","2,669,542.99","1,753,426.05","50,818.54","1,051,417.84"
管理费用,"45,165,773.39","55,006,963.14","66,326,759.97","74,558,123.25","115,893,649.55","31,905,748.19","70,820,477.40","107,462,204.35","156,402,441.56","35,736,461.29","76,689,765.96","123,686,772.65","177,080,167.70","39,574,256.02","91,654,706.33","139,319,867.75","207,742,994.67","59,399,735.94","123,988,138.84"
其中:非流动资产处置净损失,"51,929.24","60,253.42","682,290.57","32,258.29","307,720.11","56,512.13","195,372.72","195,372.72","627,538.68","10,701.99","169,267.01","899,697.37","1,154,002.34","1,028,807.86","1,200,053.09","1,262,652.02",,,
