科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"72,474,843.87","163,239,724.86","158,019,851.03","398,910,129.45","283,914,681.24","295,167,111.32","409,779,804.29","245,162,660.32","256,289,650.20","278,821,675.05","540,241,217.39","403,793,356.51","242,625,737.03","224,946,857.73","691,799,630.78","509,199,081.65","517,051,298.68","426,659,557.96","571,048,628.75","478,149,668.38","1,427,794,595.40","778,256,446.74","744,234,729.32","840,866,454.82","1,007,149,798.94","967,184,229.49","677,014,224.38"
短期借款,"20,000,000.00","50,000,000.00","62,000,000.00","39,649,220.00",,"52,000,000.00","118,739,665.00","120,000,000.00","89,239,009.98","89,239,009.98","30,000,000.00","50,000,000.00","60,000,000.00","60,000,000.00",,"3,600,000.00","44,990,736.00","48,803,380.58","1,821,078.05","34,632,459.00","34,623,459.00","34,623,459.00","4,020,000.00","34,020,000.00","110,098,018.51","183,788,545.89","270,960,365.89"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"6,400,000.00","5,950,000.00",,"1,245,120.00","100,000.00",,"2,892,864.00",,"15,921,161.85",,"2,500,000.00",,"11,847,600.00",,"15,056,491.34","16,559,314.34","26,647,211.10","17,262,541.10","9,120,854.83","10,469,348.26","15,819,408.67","6,739,773.26","2,526,294.95","2,536,604.60","8,137,514.49"
应付票据,"12,500,000.00","15,000,000.00",,,,,,,,,"8,723,200.00",,,,,,,,"12,415,000.00",,,,"700,000.00","700,000.00","39,085,029.00","3,506,300.00","450,000.00"
应收账款,"17,037,443.64","15,909,376.91","57,536,369.86","56,843,454.43","45,975,762.85","79,179,355.30","43,543,176.04","56,428,898.68","96,842,704.57","81,587,096.09","35,943,554.02","72,619,137.53","86,486,799.04","122,476,347.74","58,856,687.46","56,248,365.15","100,152,273.79","78,924,816.93","86,037,681.38","93,158,686.46","111,140,712.57","102,898,901.72","75,864,050.49","89,024,461.09","122,186,642.94","98,590,161.37","91,638,649.96"
应付账款,"43,319,211.19","26,903,046.24","51,645,778.77","42,563,420.42","39,974,967.82","48,549,430.87","97,372,669.13","79,905,732.91","56,381,480.00","95,684,563.02","108,136,451.16","99,343,945.18","105,515,156.82","68,556,216.96","112,854,595.70","117,570,244.88","86,323,830.63","67,026,403.55","207,363,148.29","183,452,699.54","181,749,866.63","108,733,559.13","162,404,314.69","159,492,936.37","217,719,918.71","206,795,151.27","272,518,102.26"
预付款项,"11,926,305.50","24,743,578.45","7,029,838.82","52,595,429.04","88,143,509.06","59,584,794.74","32,923,116.44","82,620,166.31","85,890,890.50","66,730,524.53","53,017,869.51","117,481,714.57","97,924,427.84","68,375,879.14","9,748,571.90","33,308,391.94","28,986,916.75","20,520,305.06","16,444,464.94","17,354,343.10","5,220,012.39","31,179,137.11","20,532,649.50","22,851,947.37","22,574,979.98","29,590,785.31","6,159,904.41"
预收款项,"6,543,894.26","33,105,998.12","9,824,580.30","16,490,281.30","38,833,299.51","24,159,368.01","132,527,544.46","126,923,775.85","49,236,990.37","110,024,455.44","198,871,173.10","150,517,929.38","88,461,179.37","169,629,227.97","310,660,697.48","295,263,601.56","267,031,677.12","252,825,601.44","329,079,035.41","309,139,578.26","219,508,007.85","298,677,550.87","312,520,269.25","263,343,370.51","205,290,048.43","247,004,903.49","322,657,725.68"
