科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"267,388,303.71","354,481,481.41","518,110,821.72","146,171,761.11","273,493,396.58","389,312,495.62","517,316,860.15","123,809,748.39","248,750,349.64","369,284,476.04","508,370,777.98","126,757,333.02","300,526,431.10","451,764,701.88","633,157,991.34","153,618,449.65","357,989,567.15","512,961,674.04","693,356,142.18","146,378,008.60","326,713,100.67","496,620,126.75","702,496,638.31","162,783,736.66","371,373,999.42","546,447,565.15","790,307,323.48","172,946,132.65","369,261,481.80","547,805,520.79","797,765,788.45"
二、营业利润,"31,617,402.83","80,590,041.81","93,050,263.59","20,613,045.85","31,096,933.19","37,808,586.02","48,944,336.95","14,881,093.85","30,094,829.40","47,219,649.24","61,644,790.64","17,855,786.43","44,606,402.35","65,700,476.98","82,828,226.57","17,888,700.58","50,196,984.59","70,523,334.75","93,601,606.32","18,855,341.47","36,106,283.95","47,844,720.42","66,529,579.23","17,927,633.54","40,241,948.56","51,617,704.52","75,404,831.62","11,942,534.78","29,179,273.72","42,363,041.25","48,486,828.97"
减:营业成本,"191,973,806.43","216,485,792.10","349,160,355.74","106,250,786.23","200,966,782.04","289,728,432.01","386,226,521.79","89,575,798.48","181,526,474.36","267,958,941.44","367,471,290.50","88,276,242.41","212,488,249.45","317,777,814.17","448,681,951.85","108,237,798.63","252,622,374.02","362,967,289.08","492,370,856.18","101,327,999.57","231,233,061.92","357,491,134.03","502,696,555.57","112,123,828.17","259,311,108.39","387,565,587.93","559,140,135.40","130,305,446.17","280,097,071.90","410,034,613.52","597,439,064.69"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,"62,909.51","163,734.04","503,662.01","846,325.51","1,315,790.62","281,781.88","674,382.63","1,093,528.17","1,591,911.81","156,987.78","695,640.31","1,005,000.43","1,642,621.10","332,504.36","1,191,937.32","1,609,939.27","2,183,747.41","689,627.05","1,665,742.06","2,690,351.94","4,494,435.58","1,029,621.24","2,525,466.55","3,430,193.95","5,967,179.84","847,273.66","2,290,911.66","3,401,690.46","5,073,949.56"
营业外收入,"215,132.20","2,043,091.81","6,552,698.16","3,988,479.28","8,146,749.83","8,245,309.77","9,175,771.86","346,940.41","2,183,594.26","2,497,644.26","2,779,439.76","7,938.94","2,119,477.74","3,206,294.56","4,981,191.67","2,615,751.64","4,290,043.66","4,664,643.66","8,933,724.93","517,209.56","1,089,580.14","1,597,685.62","4,434,501.74","507,307.10","1,027,557.10","1,743,165.10","5,104,417.38","1,032,500.84","269,087.24","269,087.24","1,539.73"
销售费用,"17,446,476.53","22,017,422.89","31,919,677.02","7,906,318.65","15,216,228.37","24,689,647.63","31,759,782.27","8,902,363.87","15,161,913.37","22,078,726.74","29,245,053.14","7,939,041.83","16,540,147.36","25,012,005.90","38,494,793.46","11,036,293.28","21,493,349.70","29,521,466.47","38,407,201.80","8,209,614.75","20,595,648.06","30,083,061.44","42,688,978.51","10,670,369.24","21,724,728.31","34,161,427.23","48,794,345.85","11,378,271.88","23,160,713.72","36,473,868.93","50,347,666.17"
减:营业外支出,"767,184.54","1,714,052.32","1,383,283.63","148,430.44","151,166.57","176,731.80","248,419.38","111,958.34","134,661.56","262,134.44","327,300.94","217,021.85","266,349.85","363,135.14","580,945.84","99,940.84","159,553.34","167,100.78","379,611.43","48,490.79","114,132.19","128,978.55","148,772.56","158,562.76","171,434.59","669,225.23","4,234,076.13","318,676.21","484,645.09","578,380.01","2,688.90"
管理费用,"21,420,632.93","30,638,514.42","39,555,816.80","10,288,172.25","21,251,767.88","35,667,412.35","50,598,260.02","11,152,963.06","25,248,930.20","36,702,279.43","55,884,965.80","13,264,049.17","28,202,209.20","45,234,404.37","62,712,386.78","17,104,214.99","32,533,377.63","50,656,042.35","69,669,737.38","17,267,481.58","38,177,451.06","58,703,177.05","82,475,136.79","20,620,652.95","44,235,986.88","66,236,922.49","86,586,614.18","19,597,430.84","38,303,805.74","59,589,832.41","85,536,130.83"
其中:非流动资产处置净损失,,,"202,748.75",,"34,663.57",,"130,698.58",,"33,961.56","41,434.44","56,619.93","2,849.00","11,827.00","55,674.69","72,785.39","99,940.84","159,553.34","167,100.78","179,611.33","48,490.79","69,156.19","71,241.23","91,035.24","7,833.35","8,250.02","497,295.38","3,741,991.80","318,676.21","484,287.39","578,011.81",
