科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"119,723,394.24","141,823,513.92","196,724,566.15","53,216,119.01","106,877,831.30","168,362,699.26","227,259,439.82","57,352,849.18","114,725,330.35","177,280,405.96","245,278,066.33","90,165,272.54","190,819,220.73","298,082,891.10","437,792,952.80","103,930,532.15","225,174,964.67","357,890,322.57","543,182,670.87","176,012,894.17","401,665,303.58","653,824,955.56","946,596,099.59","222,979,579.09","540,435,419.63","839,705,689.20","1,460,521,856.51","494,167,309.59","1,092,286,202.46"
二、营业利润,"42,526,403.27","53,577,301.47","71,642,469.13","19,079,728.89","37,423,513.24","59,214,255.90","82,556,925.44","20,229,967.11","42,401,718.35","64,523,168.51","93,831,230.89","24,650,723.18","52,995,144.93","87,547,680.78","129,392,868.51","55,927,750.74","89,949,310.68","136,988,622.97","192,290,155.67","47,018,217.80","127,236,812.06","216,866,953.49","325,662,225.33","79,825,150.42","188,747,529.61","272,812,266.31","429,355,644.80","81,045,116.65","224,938,481.95"
减:营业成本,"38,186,775.06","41,725,503.08","70,694,397.65","20,840,567.01","44,096,692.82","68,834,339.58","93,186,848.33","25,127,541.44","48,244,517.57","75,329,061.59","106,274,429.39","37,996,571.27","76,252,183.77","114,011,204.55","167,591,887.62","37,908,490.06","83,043,869.91","129,175,984.11","194,947,754.52","74,376,223.90","155,916,484.25","254,830,124.39","349,889,888.91","86,184,845.54","174,557,592.14","267,567,064.79","491,235,667.99","204,955,466.70","433,509,010.66"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"865,258.50","1,033,285.47","1,497,634.44","403,016.73","818,668.06","1,304,608.75","1,765,162.06","442,331.08","922,039.31","1,500,765.48","2,112,038.87","983,935.22","2,084,676.53","2,977,156.52","3,944,068.45","824,253.80","1,751,245.25","2,755,395.83","4,176,777.93","1,555,341.14","3,127,369.50","4,956,866.27","10,720,862.49","3,037,561.27","6,646,582.60","10,740,330.04","17,797,558.11","5,506,757.26","11,453,340.71"
营业外收入,"700,786.60","7,643,716.00","5,406,100.00","370,000.00","2,523,425.00","6,083,733.00","6,237,238.84","191,666.00","3,583,501.00","4,036,409.00","4,290,909.00","327,269.67","4,742,677.67","6,595,079.00","7,019,529.63","3,396,253.60","2,388,859.72","2,558,917.41","7,215,789.70","389,150.00","1,290,106.00","2,076,987.27","4,266,932.49","8,266,505.43","11,265,710.99","12,403,896.25","10,325,723.40","9,397,743.20","13,214,744.88"
销售费用,"4,424,326.99","5,740,401.72","6,552,990.89","1,413,185.53","3,708,753.80","4,432,483.24","6,869,966.66","1,435,634.10","3,804,155.56","5,460,975.22","6,693,255.59","12,483,987.87","27,606,040.97","41,178,351.49","63,749,444.39","15,746,095.05","33,738,806.09","49,880,845.66","75,466,742.45","22,219,265.15","45,423,858.08","70,314,734.16","113,241,721.83","33,894,858.33","120,270,245.27","203,861,388.21","377,596,815.99","143,568,949.88","319,971,056.18"
减:营业外支出,"572,951.36","1,940,566.94","214,276.86","34,018.50","34,343.50","77,774.74","132,997.94","50,000.00","209,200.00","261,200.00","362,796.89","15,050.35","209,968.45","236,957.56","503,151.89","624,514.35","794,322.96","1,031,859.07","1,915,804.02","78,982.73","210,690.16","1,552,221.08","1,776,341.25","3,316,184.89","3,507,689.68","9,059,244.10","9,071,299.46","10,424.62","55,118.55"
管理费用,"30,652,892.96","35,019,673.64","43,343,199.22","10,975,910.42","24,113,415.04","40,861,759.99","54,327,147.64","13,044,674.08","27,511,366.25","43,170,045.25","53,397,261.42","16,467,818.60","34,963,301.45","55,599,272.72","77,671,536.29","21,243,692.65","46,233,901.44","69,778,403.84","106,768,535.25","33,465,586.09","74,869,074.64","113,128,163.00","156,281,709.19","31,154,711.13","65,492,781.63","100,206,250.80","161,336,208.18","46,949,483.11","85,904,650.93"
其中:非流动资产处置净损失,,,"5,276.86",,,,943.50,,,,"1,596.89",,"53,696.08","83,017.88","197,906.21","20,555.81","47,458.63","128,176.08","896,978.53","26,982.73","63,754.24","268,386.98","397,670.13","268,386.98","6,183.92","108,991.54",,,
