科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"77,359,190.29","92,711,443.39","121,928,511.31","33,116,256.54","72,435,416.95","111,928,629.38","165,681,027.94","40,285,716.79","94,894,449.82","151,191,674.50","225,995,986.65","48,042,333.66","116,544,126.54","186,777,176.95","301,404,772.26","67,964,172.24","157,388,580.69","284,905,250.84","419,428,160.60","123,102,814.32","265,417,872.65","457,527,611.22","768,263,801.92","167,487,209.63","343,521,315.61","614,777,608.35","855,047,909.10","206,025,023.13","478,964,672.02","714,456,457.44","1,246,233,503.67","268,644,174.45"
二、营业利润,"25,005,705.30","39,832,663.76","52,078,284.26","13,763,986.10","32,134,259.11","49,174,677.17","80,918,828.96","17,795,405.02","44,205,448.84","71,944,912.86","104,353,990.55","20,630,764.03","47,555,851.33","75,255,881.95","142,219,755.11","24,322,431.69","54,944,389.23","113,026,007.34","183,314,282.65","39,420,196.94","90,878,304.70","181,330,440.20","328,934,769.20","61,600,433.76","116,433,853.78","236,183,126.16","277,852,399.33","84,829,222.60","168,828,397.17","248,133,710.59","354,400,723.54","105,036,727.09"
减:营业成本,"24,766,093.79","20,349,994.82","29,460,017.60","7,780,048.88","18,085,388.44","26,817,229.50","38,581,864.97","9,401,368.10","19,211,602.51","31,749,306.99","46,721,688.90","10,603,095.42","22,040,502.08","34,432,118.10","46,210,056.39","9,103,648.22","25,286,097.42","48,482,211.43","71,965,663.93","30,254,067.03","57,565,053.98","91,929,589.51","146,753,370.34","38,397,905.43","70,335,098.52","115,071,388.12","169,430,845.55","48,507,389.77","93,724,407.69","134,311,786.81","196,788,899.48","34,813,112.05"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"220,353.35","129,081.98","320,041.03","528,980.24","1,106,455.57","1,888,881.22","2,684,600.19","469,628.82","1,180,499.31","1,978,192.74","3,063,222.70","355,746.87","447,705.59","447,705.59","925,122.12","963,265.16","2,495,515.84","3,258,466.30","4,730,527.82","1,511,889.54","3,492,348.67","6,051,615.17","11,246,987.08","2,234,876.07","4,253,478.16","6,550,641.91","12,478,795.33","3,350,039.11","8,859,296.81","12,686,864.87","21,935,662.36","3,819,231.68"
营业外收入,"809,230.77","1,706,939.23","3,335,049.28","1,405,913.00","3,420,690.00","10,638,157.00","14,170,890.11","897,600.00","1,236,398.00","1,804,535.96","3,309,091.96","523,242.09","1,322,042.09","6,440,874.17","7,244,265.50","1,086,561.75","2,046,423.50","2,949,985.38","4,055,897.77","1,065,726.47","8,535,471.43","10,819,284.99","12,480,097.56","1,245,253.84","4,871,845.98","6,765,739.42","35,147,050.50","2,342,774.38","6,568,918.23","11,839,937.16","56,030.52","1,060,940.00"
销售费用,"6,220,347.33","10,533,214.07","13,997,910.26","4,695,062.90","11,746,282.94","21,287,864.95","26,319,038.86","8,463,011.60","21,382,047.64","31,577,861.23","43,825,133.44","6,813,933.98","22,870,925.81","39,178,707.72","59,514,885.67","9,538,637.46","32,295,473.78","53,678,087.25","74,012,803.26","12,228,823.15","34,575,966.20","61,334,097.14","109,552,970.13","24,587,923.20","74,481,006.68","127,870,786.82","180,954,267.89","24,212,278.50","117,041,705.04","190,920,344.94","408,606,677.64","91,359,058.71"
减:营业外支出,"3,484,338.73","3,384,225.29","598,985.98","168,851.72","187,191.59","232,152.57","1,340,322.63","288,000.00","304,006.14","543,797.30","2,552,296.79","10,012.46","105,687.60","298,983.72","1,607,426.14","42,030.34","250,633.30","259,054.02","1,031,514.13","369,143.53","913,404.45","2,213,577.99","3,055,820.85","38,581.41","835,985.14","1,073,165.98","3,809,991.81","1,688,537.45","1,784,992.11","2,336,514.05","3,912,513.39","64,178.26"
管理费用,"19,045,123.52","19,468,468.32","24,175,674.57","6,672,683.54","15,052,780.52","24,312,806.43","33,045,594.27","10,581,908.67","21,168,218.26","31,216,785.94","46,085,045.71","12,613,677.50","27,849,379.11","43,209,561.68","57,452,141.70","23,970,493.37","39,677,522.29","61,149,867.89","81,529,637.51","31,210,269.84","64,423,900.55","93,574,607.96","130,062,186.26","27,888,405.61","58,831,012.13","91,562,797.22","131,755,002.45","31,620,766.85","70,861,690.34","110,656,669.90","205,880,902.15","41,753,649.93"
其中:非流动资产处置净损失,,"1,262,544.80",,,,,"73,528.69",,"16,006.14",,"250,482.58",,816.50,,"512,857.33",,"60,609.35",,"76,857.40",,"8,632.77",,"78,336.51",,"145,565.39",,"354,207.95",,"60,034.28","106,598.56",,
