科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月
销售商品、提供劳务收到的现金,"508,548,392.51","1,197,541,363.65","1,802,525,414.39","2,744,340,389.95","704,141,302.06","1,397,005,889.08","2,173,691,565.46"
取得子公司及其他营业单位支付的现金净额,,,,,,,
收到的税费返还,,,"177,333.37",,,"4,812,144.22","-258,304.79"
支付其他与投资活动有关的现金,"167,630.20","167,630.20",,,,,
收到其他与经营活动有关的现金,"54,592,858.33","102,629,916.24","136,023,010.77","76,533,533.40","39,964,240.12","62,882,702.91","127,352,260.57"
投资活动现金流出小计,"12,123,432.68","30,740,299.18","65,445,344.14","37,878,986.06","13,594,387.51","14,223,607.68","36,553,533.40"
经营活动现金流入小计,"563,141,250.84","1,300,171,279.89","1,938,725,758.53","2,820,873,923.35","744,105,542.18","1,464,700,736.21","2,300,785,521.24"
投资活动产生的现金流量净额,"4,758,063.29","251,631,846.96","260,419,581.57","283,933,514.46","40,747,984.49","134,622,696.95","165,592,307.15"
购买商品、接受劳务支付的现金,"439,876,371.82","1,014,914,585.25","1,597,606,423.95","2,347,354,252.45","684,908,911.45","1,295,441,079.18","1,941,189,773.62"
吸收投资收到的现金,,"30,102,502.44","34,670,404.58","30,102,464.02",,,
支付给职工以及为职工支付的现金,"53,326,557.55","93,090,246.38","136,188,631.79","183,040,359.04","74,574,313.85","125,366,707.14","187,468,763.44"
取得借款收到的现金,,,"500,000,000.00","840,000,000.00","204,900,000.00","274,000,000.00","337,900,000.00"
支付的各项税费,"13,259,493.05","36,829,012.20","58,328,901.17","81,815,066.51","20,321,000.20","44,406,929.55","72,216,650.50"
收到其他与筹资活动有关的现金,"9,645.70","20,707.96","93,739.98",,"57,029,849.74",,"57,092,941.96"
支付其他与经营活动有关的现金,"69,111,415.78","118,840,031.14","176,634,696.18","140,095,767.42","51,091,831.86","122,725,075.30","178,217,456.42"
筹资活动现金流入小计,"9,645.70","30,123,210.40","534,764,144.56","870,102,464.02","261,929,849.74","274,000,000.00","394,992,941.96"
经营活动现金流出小计,"575,573,838.20","1,263,673,874.97","1,968,758,653.09","2,752,305,445.42","830,896,057.36","1,587,939,791.17","2,379,092,643.98"
偿还债务支付的现金,"279,432.00","647,484.00","500,558,864.00","888,584,546.00","320,127,273.00","503,454,546.00","623,354,546.00"
经营活动产生的现金流量净额,"-12,432,587.36","36,497,404.92","-30,032,894.56","68,568,477.93","-86,790,515.18","-123,239,054.96","-78,307,122.74"
分配股利、利润或偿还利息支付的现金,"3,033,199.41","198,160,002.31","251,294,970.30","225,734,800.73","7,859,674.45","14,475,330.78","19,026,485.24"
收回投资收到的现金,"894,927.09","4,279,386.97","3,884,459.88","10,423,542.33",,,
支付其他与筹资活动有关的现金,745.20,"1,044.70",902.70,,"1,995.20",,"3,085.40"
取得投资收益收到的现金,"15,884,459.88","277,834,550.17","321,548,222.83","310,605,884.25",,"148,483,577.18","201,948,168.55"
筹资活动现金流出小计,"3,313,376.61","198,808,531.01","751,854,737.00","1,114,319,346.73","327,988,942.65","517,929,876.78","642,384,116.64"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"156,100.00","432,243.00","283,073.94","54,342,372.00","362,727.45","197,672.00"
筹资活动产生的现金流量净额,"-3,303,730.91","-168,685,320.61","-217,090,592.44","-244,216,882.71","-66,059,092.91","-243,929,876.78","-247,391,174.68"
处置子公司及其他营业单位收到的现金净额,,,,"500,000.00",,,
四、汇率变动对现金的影响,,,,"-1,473,010.68","-953,827.04","-1,251,199.60","-1,322,147.55"
收到其他与投资活动有关的现金,"102,109.00","102,109.00",,,,,
四(2)、其他原因对现金的影响,,,,,,,
投资活动现金流入小计,"16,881,495.97","282,372,146.14","325,864,925.71","321,812,500.52","54,342,372.00","148,846,304.63","202,145,840.55"
五、现金及现金等价物净增加额,"-10,978,254.98","119,443,931.27","13,296,094.57","106,812,099.00","-113,055,450.64","-233,797,434.39","-161,428,137.82"
购建固定资产、无形资产和其他长期资产支付的现金,"11,955,802.48","21,886,196.40","56,758,871.56","33,833,486.06","13,594,387.51","14,223,607.68","36,553,533.40"
期初现金及现金等价物余额,,,"364,240,736.16","364,240,736.16","471,052,835.16","471,052,835.16","471,052,835.16"
投资支付的现金,,"8,686,472.58","8,686,472.58","4,045,500.00",,,
期末现金及现金等价物余额,,,"377,536,830.73","471,052,835.16","357,997,384.52","237,255,400.77","309,624,697.34"
