科目,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"323,583,962.79","208,475,203.64","585,787,690.90","453,781,159.80","409,158,274.10","362,513,539.99","229,678,236.98","261,918,880.91","493,504,458.38","497,270,864.81","505,085,757.91","147,956,352.89","260,283,730.46","308,976,344.06","355,149,000.20","359,208,258.87","302,296,694.87","522,523,639.95","419,244,498.66","334,421,735.68","395,005,435.98","558,370,989.48","886,314,890.38","1,038,858,941.81","943,218,524.89","774,382,155.14","644,889,679.83","660,069,570.56","613,353,451.84","796,255,177.66","910,608,226.97","921,597,172.14","1,047,493,847.05","1,079,179,570.53","1,268,041,512.54","1,188,784,421.96","1,147,523,949.00","1,724,880,696.67","1,536,992,927.85","1,627,987,649.24","1,904,032,336.11"
短期借款,,,,,,"20,000,000.00","20,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","100,000,000.00","100,000,000.00","140,000,000.00","340,000,000.00","340,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","400,000,000.00","450,000,000.00","450,000,000.00","320,000,000.00","220,000,000.00","220,000,000.00",,,,,,,,,,,"550,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00",,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,"3,730,770.60","82,400.00",,,,,,,,,,,,,,,,,,,,
应收账款,,,,,,,,,,,,,,,,,,,,,,,,,,"786,287.65","1,572,575.30","2,358,862.95","3,145,150.60","2,808,055.19","3,508,710.50","4,139,300.28","4,132,996.81",,,,,,,,
应付账款,"32,103,491.47","99,413,890.55","92,122,584.56","60,384,132.01","68,480,518.47","91,747,012.06","76,490,149.86","140,932,385.54","145,214,394.76","239,567,486.97","194,946,633.64","192,427,885.37","188,959,384.06","235,794,666.83","156,934,997.86","208,297,189.55","229,330,546.21","278,429,549.31","262,736,612.14","267,450,439.97","303,736,588.14","414,107,371.33","332,867,740.61","326,106,192.78","318,963,815.50","448,336,510.03","391,761,882.84","384,693,148.58","375,218,932.32","525,437,111.54","370,087,297.92","391,583,861.34","347,569,668.99","674,646,618.14","485,708,544.40","604,641,437.77","524,070,810.55","700,550,418.80","531,850,252.02","509,151,207.71","492,300,668.45"
预付款项,"328,942,355.64","135,545,650.66","116,036,794.13","183,856,408.13","327,091,031.13","374,745,852.15","461,583,826.00","526,411,330.25","663,148,039.40","514,941,731.29","479,721,488.00","1,098,054,984.75","1,098,054,984.75","1,449,090,100.82","279,721,488.00","279,721,488.00","379,721,488.00","381,305,421.58","399,721,488.00","412,729,885.95","284,372,879.33","430,385,856.83","542,257,723.00","842,605,021.00","1,173,868,551.00","524,939,014.27","864,771,237.50","166,305,861.41","103,916,919.41","305,315,609.27","755,544,666.17","119,902,479.41","240,296,408.79","23,744,783.15","20,227,087.85","1,533,885,534.26","2,390,601,868.67","3,237,570,898.36","2,791,256,827.79","2,782,524,369.79","1,377,436,408.79"
预收款项,"440,984,786.89","269,525,995.61","204,716,083.12","212,792,028.62","387,969,004.82","284,597,024.07","321,666,232.07","402,034,121.03","647,519,398.33","707,896,972.70","631,081,419.70","655,435,166.93","575,689,009.93","781,177,107.90","866,952,420.10","882,803,927.30","725,732,527.12","693,385,146.60","726,740,099.15","780,349,774.17","944,413,251.86","839,437,167.70","1,267,986,253.27","1,756,688,366.54","2,249,151,895.96","1,708,061,129.78","2,064,567,163.71","2,026,546,974.82","1,890,592,446.81","1,655,941,645.55","1,814,263,956.67","2,277,879,606.15","2,569,078,961.10","2,208,310,948.16","2,226,098,618.90","2,859,569,456.35","3,554,145,401.17","3,877,188,162.96","3,684,065,196.26","4,467,761,934.60","5,116,735,318.09"
其他应收款,"2,124,645.64","4,089,416.13","16,715,583.27","9,499,227.44","11,449,470.42","7,134,306.72","32,956,752.71","12,527,368.20","3,243,680.35","21,654,125.90","6,298,366.05","5,661,721.63","5,167,112.00","2,370,220.78","2,145,172.33","3,991,101.57","2,097,241.80","2,792,889.57","3,478,464.15","2,372,253.56","5,341,455.00","42,960,483.52","42,280,938.35","3,877,722.91","7,317,546.57","119,959,957.66","106,852,259.07","122,978,773.73","120,193,141.21","214,132,882.74","123,950,791.61","37,338,204.57","48,464,177.85","35,837,291.71","15,451,870.57","7,416,599.13","12,177,655.34","110,909,729.30","112,005,695.57","114,574,486.72","113,756,894.50"
