科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"31,928,468.25","45,011,478.02","94,587,405.35","121,650,777.51","83,828,327.72","132,645,720.59","90,517,090.95","103,050,643.58","141,671,285.05","146,385,484.78","116,230,687.68","95,551,665.57","85,219,113.24","96,172,215.24","123,389,450.51","104,429,657.68","162,144,649.96","160,524,688.63","254,440,632.19","215,363,503.72","256,547,764.64"
短期借款,"44,500,000.00","89,500,000.00","207,921,088.00","228,600,000.00","228,676,661.00","199,320,002.71","206,009,315.71","165,500,000.00","165,500,000.00","155,500,000.00","145,500,000.00","125,500,000.00","135,500,000.00","139,500,000.00","175,500,000.00","175,500,000.00","205,500,000.00","205,500,000.00","255,500,000.00","255,500,000.00","235,500,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"34,487,200.00","51,123,937.56","58,251,643.17","53,186,110.40","29,800,185.52","34,541,739.75","61,708,614.22","68,827,946.55","102,144,242.10","68,530,043.10","29,793,304.44","43,070,148.38","56,731,749.13","56,752,276.49","58,232,971.88","55,697,095.97","74,693,985.80","64,552,590.32","47,397,440.17","75,612,257.51","91,233,196.86"
应付票据,,"19,000,000.00","76,830,000.00","110,386,200.00","102,161,230.00","71,130,000.00","23,774,230.00","2,250,000.00","52,960,900.00","58,670,808.71","14,102,849.57","26,877,365.44","40,453,470.00","53,473,000.00","52,184,575.26","45,514,154.00","62,132,199.14","58,339,405.35","100,186,085.58","109,373,130.23","97,287,799.82"
应收账款,"58,022,795.94","78,090,300.30","106,396,831.38","118,556,196.24","141,666,160.64","161,010,540.05","143,498,758.07","159,556,524.86","100,908,356.98","94,348,278.44","88,634,119.46","112,793,293.69","104,012,501.70","101,977,993.32","108,657,220.24","123,534,963.33","287,424,045.95","282,995,914.25","320,039,409.40","352,551,292.07","347,974,866.94"
应付账款,"40,042,185.97","34,230,061.03","37,319,209.03","39,998,149.29","46,071,663.84","51,356,616.69","54,953,303.68","75,475,054.19","59,495,571.39","54,693,154.30","50,105,638.22","62,272,153.29","62,895,757.26","58,762,815.96","57,762,381.00","81,757,755.12","106,631,652.98","102,660,563.15","136,476,152.66","168,926,558.26","158,766,048.89"
预付款项,"29,320,771.07","52,601,504.79","17,741,217.77","12,194,987.91","16,339,825.84","16,605,867.03","13,412,653.53","11,930,416.23","16,957,576.91","13,485,709.05","8,796,594.73","8,862,835.23","9,607,698.67","9,561,548.73","9,607,726.66","9,555,815.20","29,047,399.46","30,645,277.33","65,207,586.42","67,957,533.21","39,694,448.71"
预收款项,"696,320.17","925,809.74","1,902,303.39","1,783,876.18","1,375,688.25","1,668,010.62","807,303.34","1,903,856.44","1,422,727.84","1,737,233.56","1,989,779.98","2,192,375.25","1,769,100.81","1,555,844.56","1,227,101.84","1,747,955.34","17,603,188.55","13,669,898.63","13,253,411.45","16,542,139.44","27,933,140.30"
