科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"1,213,955,472.46","1,444,188,989.01","2,502,833,002.86","1,179,705,522.24","778,978,230.41","2,264,838,665.10","3,618,414,801.27","2,918,457,330.67","3,103,561,650.54","5,117,565,091.95","4,370,437,983.53","3,107,720,019.70","3,140,571,666.30","4,519,091,067.15","4,338,600,597.68","2,841,231,008.64","3,086,192,690.28","5,196,574,520.25","5,043,707,071.94","2,923,695,167.67","2,975,557,490.41","5,612,919,179.01"
短期借款,,,,,,,,"53,500,000.00",,,,,,,,,,,"17,385,323.93","13,400,000.00","5,000,000.00",
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,"9,012,216.84","24,437,222.57","27,907,069.20","28,268,738.44","23,297,292.70","27,326,494.08","27,173,242.08","1,144,103.61"
应收账款,,,,,,,,,,,,,,,,,,,"3,151,968.42","2,535,358.65","3,665,368.23","2,466,645.04"
应付账款,"272,349,435.27","304,181,440.74","315,053,588.93","314,613,169.24","323,968,224.56","463,851,487.03","404,277,281.71","395,161,650.67","449,032,122.42","599,248,049.80","448,254,232.52","470,628,578.78","480,876,588.93","584,833,180.73","479,531,398.45","460,160,648.28","483,435,233.70","546,931,168.31","490,441,704.42","426,102,348.31","478,332,607.56","554,910,079.08"
预付款项,"34,342,112.49","55,783,556.62","36,946,227.90","26,200,307.25","72,789,516.19","20,661,031.71","17,775,491.69","7,656,432.98","25,620,035.80","21,882,548.01","8,968,073.69","8,851,885.70","25,732,741.70","7,279,517.87","12,262,117.00","10,215,819.00","11,448,367.29","16,997,928.74","16,959,766.99","18,948,286.71","21,080,444.84","18,366,401.43"
预收款项,"723,047,323.60","784,927,516.44","1,648,566,573.60","256,285,389.16","376,997,432.29","1,736,223,333.21","372,104,409.10","243,658,802.85","302,724,288.70","2,022,083,979.88","314,966,416.57","255,102,831.07","273,759,623.88","1,118,865,208.36","211,611,475.61","290,017,190.78","416,377,305.72","1,809,254,480.79","542,423,582.21","661,762,775.23","928,788,450.07","2,678,690,961.42"
其他应收款,"16,419,174.58","1,414,627.65","6,182,989.99","7,498,757.95","6,678,513.25","5,407,594.97","6,106,698.53","4,600,582.89","4,690,099.34","6,946,040.13","7,167,476.08","6,445,353.11","5,995,143.95","7,085,944.99","6,400,529.56","5,804,184.60","6,419,764.11","6,251,866.18","16,451,622.17","9,884,127.15","12,987,546.62","12,743,950.84"
应付职工薪酬,"126,027,121.45","134,017,089.00","171,451,423.98","194,970,198.60","191,305,212.58","225,709,684.27","176,965,515.03","195,515,329.70","219,537,826.87","265,737,721.01","206,373,874.42","229,772,230.88","235,881,482.08","275,931,741.72","195,533,091.92","234,252,670.03","231,977,950.53","303,390,784.70","231,384,795.32","293,500,864.49","316,748,107.54","326,503,266.44"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"94,218,643.29","122,565,988.26","123,820,377.34","150,037,469.51","119,194,360.60","144,496,154.33","212,952,086.44","161,160,719.01","159,999,242.71","141,129,716.15","211,958,811.89","258,594,608.67","221,835,242.86","271,101,353.14","277,587,704.64","303,844,935.76","233,041,903.04","262,194,019.14","366,401,261.60","372,134,461.73","311,416,073.38","319,826,598.32"
应收利息,,,"560,269.82",,,"490,817.08","299,801.63","2,287,013.70","11,622,288.12","9,681,644.14","8,803,164.73","1,244,264.52","776,884.12","753,269.40","1,015,285.48","245,769.52","1,781,815.18","2,071,262.81","7,813,142.36","5,022,439.43","7,451,363.65","3,797,846.32"
应付利息,,,,,,,,,,,,,,,,,,,"32,246.81","32,246.81","32,246.81",
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"1,278,043,000.00",,,,"1,623,747,600.00",,,,,,,
存货,"600,056,292.06","708,051,474.77","852,696,731.69","737,943,136.41","766,447,184.34","1,013,244,774.03","737,243,642.91","666,458,663.03","783,674,381.73","1,154,208,319.45","817,893,599.96","751,430,497.96","846,600,953.53","999,924,009.12","745,437,874.85","729,109,759.96","786,283,820.50","939,884,332.90","812,861,373.90","706,070,335.00","796,267,597.61","1,041,120,224.59"
其他应付款,"198,304,885.13","215,391,452.78","180,160,539.95","194,955,981.19","207,890,278.30","218,698,490.44","244,556,835.22","329,136,869.18","301,069,072.56","319,600,474.91","348,629,207.32","368,706,502.69","373,457,917.04","446,084,576.58","519,259,107.63","470,489,709.18","538,649,560.89","448,238,091.59","510,749,270.21","545,609,340.33","683,462,949.58","626,519,973.67"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"78,741,542.65","65,872,019.63","65,530,185.33","96,343,989.93","72,451,138.05","106,362,417.66","75,167,729.09","673,293,245.85","697,351,525.48","722,327,034.84","704,044,560.17","1,297,061,168.42","1,602,941,393.48","1,640,624,402.16","1,829,044,831.30","2,402,894,753.46","2,681,241,370.82","2,666,423,818.65","2,665,104,833.55","4,097,279,162.23","5,074,700,186.90","5,103,012,828.25"
其他流动负债,"1,574,840.80","2,788,840.80","1,586,869.42","1,051,956.05","1,660,803.02","2,563,596.93","1,304,746.96","352,943.11","2,330,628.56","933,898.10","1,386,942.16","6,064,352.16","5,560,669.25","6,792,580.58","7,352,080.58","7,738,580.58","11,744,380.58","5,329,782.27","5,329,782.27","6,089,782.27","11,924,982.27","6,588,265.62"
流动资产合计,"1,943,514,594.24","2,275,310,667.68","3,464,749,407.59","2,047,691,713.78","1,697,344,582.24","3,411,005,300.55","4,455,008,165.12","4,272,753,269.12","4,626,519,981.01","7,032,610,678.52","5,917,314,858.16","5,172,753,189.41","5,622,618,783.08","7,174,758,210.69","6,932,761,235.87","5,989,501,295.18","6,573,367,828.18","8,828,203,729.53","8,566,049,779.33","7,763,434,876.84","8,891,709,998.26","11,794,427,075.48"
流动负债合计,"1,415,522,249.54","1,563,872,328.02","2,440,639,373.22","1,111,914,163.75","1,221,016,311.35","2,791,542,746.21","1,412,160,874.46","1,378,486,314.52","1,434,693,181.82","3,348,733,839.85","2,809,612,484.88","1,588,869,104.25","1,591,371,524.04","2,703,608,641.11","3,323,634,675.67","1,790,940,957.18","1,943,133,403.66","3,403,607,065.24","2,187,445,259.47","2,345,958,313.25","2,762,878,659.29","4,514,183,248.16"
可供出售金融资产,,,,,,,,,"100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,"115,873,800.00","115,873,800.00","115,873,800.00","113,936,700.00",,,,,,,,,
长期股权投资,"100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00",,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"1,535,695.58","6,159,594.10","6,044,527.10","7,447,033.49","7,294,705.76","7,142,377.97","6,990,050.26","6,837,722.56","6,685,394.78","6,533,067.14","6,380,739.43","6,228,411.73","6,076,083.97","5,923,756.26","5,771,428.55","5,619,100.85","5,466,773.15","5,314,445.51","5,162,117.80","5,009,790.15","4,857,462.45","4,705,134.66"
预计负债,,,,,,,,,,,,,,,,,,,,,,
固定资产,"937,732,771.31","1,822,715,911.07","2,087,720,527.68","2,324,894,597.91","2,346,576,669.58","2,360,669,866.84","2,441,637,748.45","2,882,685,525.67","2,819,293,748.33","3,198,675,437.04","3,139,990,226.92","3,319,969,438.63","3,310,988,649.23","3,263,644,592.88","3,200,130,847.11","3,389,066,018.90","3,456,054,054.99","3,830,285,320.94","3,758,756,817.18","3,809,557,245.32","3,711,539,610.29","3,649,646,780.23"
递延所得税负债,"206,491.51","1,012,800.27","3,570,379.16","2,670,746.37","12,848,612.48","10,097,094.96","26,185,559.37","37,447,308.91","50,078,029.35",,,,,,,,,,,,,
在建工程,"908,055,535.88","381,219,634.03","373,939,518.64","390,291,725.14","570,524,168.92","743,177,863.42","757,615,227.27","526,222,081.36","725,812,654.61","504,653,050.44","629,618,735.20","549,825,632.52","632,702,098.15","786,640,648.16","941,115,906.04","841,397,866.33","904,755,809.05","582,415,461.85","635,912,975.46","531,881,515.41","634,541,536.17","615,135,578.81"
其他非流动负债,"1,439,000.00","1,175,000.00","7,067,087.11","7,419,756.42","6,435,386.34","6,044,455.17","7,011,230.40","5,860,557.97","3,350,215.38","48,074,770.93",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"1,645,491.51","2,187,800.27","10,637,466.27","10,090,502.79","19,283,998.82","16,141,550.13","33,196,789.77","43,307,866.88","53,428,244.73","163,948,570.93","168,421,808.24","163,550,470.57","158,696,700.00","43,268,000.00","42,708,500.00","42,149,000.00","41,589,500.00","46,216,500.00","45,657,000.00","45,097,500.00","49,820,300.00","57,655,500.00"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,
负债合计,"1,417,167,741.05","1,566,060,128.29","2,451,276,839.49","1,122,004,666.54","1,240,300,310.17","2,807,684,296.34","1,445,357,664.23","1,421,794,181.40","1,488,121,426.55","3,512,682,410.78","2,978,034,293.12","1,752,419,574.82","1,750,068,224.04","2,746,876,641.11","3,366,343,175.67","1,833,089,957.18","1,984,722,903.66","3,449,823,565.24","2,233,102,259.47","2,391,055,813.25","2,812,698,959.29","4,571,838,748.16"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"711,000,000.00","711,000,000.00","711,000,000.00","711,000,000.00","711,000,000.00","711,000,000.00","748,500,000.00","1,497,000,000.00","1,497,000,000.00","1,503,580,000.00","1,503,580,000.00","2,706,444,000.00","2,706,246,000.00","2,706,246,000.00","2,706,246,000.00","2,706,246,000.00","2,704,950,700.00","2,704,950,700.00","2,704,950,700.00","2,704,950,700.00","2,704,950,700.00","2,701,206,700.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,
资本公积,"1,336,719,988.55","1,336,719,988.55","1,336,719,988.55","1,336,719,988.55","1,336,719,988.55","1,336,719,988.55","3,137,136,102.36","2,388,636,102.37","2,397,407,609.22","2,503,954,982.27","2,513,547,057.28","1,320,114,778.45","1,327,646,999.62","1,333,875,444.15","1,339,266,406.92","1,347,438,626.69","1,325,688,577.58","1,320,136,410.56","1,321,403,334.75","1,322,041,460.01","1,323,249,434.30","1,291,572,608.60"
无形资产,"136,169,803.38","136,046,443.78","136,055,410.59","82,060,974.81","81,094,282.60","81,874,709.37","72,698,106.54","114,703,147.04","113,738,286.30","148,693,946.28","147,260,207.23","146,438,732.31","144,973,861.21","144,144,932.39","142,647,725.22","141,150,518.02","141,605,218.31","140,015,729.76","154,908,169.91","153,276,202.81","151,666,864.97","149,567,775.08"
盈余公积,"63,055,360.63","133,844,689.86","221,020,719.29","221,020,719.29","221,020,719.29","327,830,534.63","327,830,534.63","327,830,534.63","327,830,534.63","495,518,007.47","495,518,007.47","495,518,007.47","495,518,007.47","827,373,822.15","827,373,822.15","827,373,822.15","827,373,822.15","1,041,726,620.60","1,041,726,620.60","1,041,726,620.60","1,041,726,620.60","1,291,224,237.63"
开发支出,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,"115,873,800.00","115,873,800.00","115,873,800.00","113,936,700.00","109,179,250.00","103,124,770.00","103,124,770.00","93,091,513.14","75,623,665.92","75,623,665.92","73,646,860.59","73,646,860.59","37,170,173.18"
商誉,,,,,,,,"17,177,837.38","17,177,837.38","17,177,837.38","17,177,837.38","17,177,837.38","17,177,837.38","17,177,837.38","17,177,837.38","17,177,837.38","17,177,837.38","17,177,837.38","31,767,006.91","31,767,006.90","31,767,006.90","32,268,303.51"
未分配利润,"422,405,124.77","908,429,508.62","1,394,608,332.15","1,511,945,821.17","1,248,987,251.54","1,543,317,308.48","2,177,568,144.99","2,264,520,795.47","2,701,867,560.40","3,091,655,525.93","2,542,768,028.82","3,144,383,011.75","3,650,439,967.05","3,987,787,273.78","3,174,736,011.76","3,850,898,369.98","4,407,073,830.41","4,998,844,908.89","5,975,799,393.64","4,986,173,003.63","5,701,920,333.26","6,445,076,571.28"
长期待摊费用,"1,916,576.10",,,,,,,,,,,,,,,,,,,,,
少数股东权益,,,,,,,,"958,547.40","735,586.73",,,,,,,,,,"9,762,746.93","9,772,887.61","10,399,972.33","10,833,508.54"
递延所得税资产,"17,398,697.80","30,079,290.96","41,594,975.14","45,112,712.22","50,539,215.33","65,511,673.84","57,349,264.54","55,263,907.15","59,310,712.14","84,618,113.49","75,105,644.82","87,410,083.29","81,373,751.30","98,901,621.42","69,921,569.98","79,207,279.65","69,752,161.97","57,333,527.30","80,286,438.67","110,909,950.86","122,291,366.48","78,618,969.00"
外币报表折算价差,"-3,924,540.71","-4,422,773.70","-4,421,512.74","-5,092,438.20","-4,554,645.12","-4,428,833.65","-4,426,880.92","-4,412,825.99","-4,414,385.98",,,,,,,,,,,,,
其他非流动资产,,,,,,"52,641,502.36","40,567,003.11","20,583,845.00","39,909,717.00","7,532,435.88","4,647,255.36","6,155,877.36","6,155,877.36","6,710,643.66","8,003,137.45","6,155,877.36","6,155,877.36","2,746,946.00","1,542,639.00","1,542,639.00","1,542,639.00","11,542,639.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"2,002,909,080.05","2,376,320,873.94","2,645,454,959.15","2,849,907,043.57","3,056,129,042.19","3,311,117,993.80","3,376,957,400.17","3,623,574,066.16","3,782,028,350.54","3,967,983,887.65","4,020,280,646.34","4,133,306,013.22","4,199,548,158.60","4,323,244,032.15","4,384,868,451.73","4,479,874,498.49","4,601,067,732.21","4,635,389,268.74","4,668,436,164.93","4,644,044,350.45","4,658,306,486.26","4,541,585,180.29"
所有者权益(或股东权益)合计,"2,529,255,933.24","3,085,571,413.33","3,658,927,527.25","3,775,594,090.81","3,513,173,314.26","3,914,438,998.01","6,386,607,901.06","6,474,533,153.88","6,920,426,905.00","7,487,912,155.39","6,959,561,211.38","7,553,639,627.81","8,072,098,717.64","8,751,125,601.73","7,951,286,511.93","8,636,285,836.49","9,189,712,656.73","10,013,769,433.03","11,001,383,684.79","10,016,423,414.04","10,737,317,525.23","11,764,173,507.61"
资产总计,"3,946,423,674.29","4,651,631,541.62","6,110,204,366.74","4,897,598,757.35","4,753,473,624.43","6,722,123,294.35","7,831,965,565.29","7,896,327,335.28","8,408,548,331.55","11,000,594,566.17","9,937,595,504.50","9,306,059,202.63","9,822,166,941.68","11,498,002,242.84","11,317,629,687.60","10,469,375,793.67","11,174,435,560.39","13,463,592,998.27","13,234,485,944.26","12,407,479,227.29","13,550,016,484.52","16,336,012,255.77"
负债和所有者(或股东权益)合计,"3,946,423,674.29","4,651,631,541.62","6,110,204,366.74","4,897,598,757.35","4,753,473,624.43","6,722,123,294.35","7,831,965,565.29","7,896,327,335.28","8,408,548,331.55","11,000,594,566.17","9,937,595,504.50","9,306,059,202.63","9,822,166,941.68","11,498,002,242.84","11,317,629,687.60","10,469,375,793.67","11,174,435,560.39","13,463,592,998.27","13,234,485,944.26","12,407,479,227.29","13,550,016,484.52","16,336,012,255.77"
