科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"423,311,792.21","609,541,803.32","151,889,220.68","737,351,466.29","182,361,058.67","463,108,992.75","751,373,440.62","1,070,646,341.05","261,354,330.45","531,521,801.00","737,369,107.06","1,003,609,233.36","223,165,741.80","490,325,626.61","792,677,494.06","1,013,220,946.49","256,444,321.38","585,851,069.02","1,002,737,541.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"1,713,740.00",,"24,000,000.00","16,119,542.54","16,581,790.68",,,,,,,
收到的税费返还,"16,722,649.91","30,674,939.44","14,726,880.78","55,917,327.49","14,960,479.81","29,465,200.35","51,850,992.95","62,187,442.95","14,957,418.54","35,530,208.88","79,121,685.67","98,234,656.91","20,743,355.11","34,065,539.23","90,735,276.65","92,443,784.91","47,405,093.87","76,239,196.99","115,648,344.22"
支付其他与投资活动有关的现金,,,,,,,,,"25,232,340.00",,,,,,,,,,
收到其他与经营活动有关的现金,"5,899,231.91","4,359,794.34","1,958,420.33","8,975,758.22","2,532,426.19","5,498,573.96","13,044,587.64","12,372,720.55","4,908,583.84","27,422,806.12","31,032,898.99","11,783,733.98","11,778,700.34","11,450,504.05","23,764,797.87","15,288,061.31","10,276,672.25","14,310,849.94","16,974,721.80"
投资活动现金流出小计,"40,103,822.94","29,539,433.96","21,184,897.00","178,711,350.45","112,947,148.92","342,076,981.18","735,645,525.30","1,179,818,042.20","404,504,505.68","830,785,226.60","1,098,724,970.29","1,297,109,214.82","99,973,437.15","159,432,959.62","389,314,598.90","761,699,429.34","235,233,049.67","487,497,181.78","934,128,001.95"
经营活动现金流入小计,"445,933,674.03","644,576,537.10","168,574,521.79","802,244,552.00","199,853,964.67","498,072,767.06","816,269,021.21","1,145,206,504.55","281,220,332.83","594,474,816.00","847,523,691.72","1,113,627,624.25","255,687,797.25","535,841,669.89","907,177,568.58","1,120,952,792.71","314,126,087.50","676,401,115.95","1,135,360,607.44"
投资活动产生的现金流量净额,"-40,003,822.94","-29,539,433.96","-21,184,897.00","-167,432,624.23","42,939,310.09","4,871,580.55","-109,516,016.58","-337,956,930.56","38,703,190.07","24,241,805.44","122,727,294.63","182,785,680.02","-4,660,409.75","-53,043,206.19","-134,775,152.23","-190,170,616.55","-9,368,914.73","34,126,566.85","-168,855,855.10"
购买商品、接受劳务支付的现金,"283,553,863.60","358,023,136.86","108,155,874.11","464,388,282.48","141,629,827.47","314,285,603.30","503,322,656.51","742,853,275.50","271,679,426.50","479,295,009.89","678,407,940.68","855,384,499.01","209,782,060.65","418,142,149.03","625,580,865.48","749,234,960.99","236,124,136.25","478,797,898.61","706,153,185.09"
吸收投资收到的现金,"23,000,000.00",,,,,,"260,661,700.00","316,606,450.00","-24,000,051.70","4,704,440.00","4,704,440.00","4,704,440.00",,,,,,,"18,511,442.00"
支付给职工以及为职工支付的现金,"46,402,677.37","66,340,692.60","22,180,553.30","91,370,008.61","25,034,207.50","51,236,476.37","77,899,547.13","100,324,405.00","31,228,923.97","60,888,745.31","89,007,102.59","129,125,036.37","28,197,278.93","58,294,746.48","94,918,016.13","130,320,687.58","42,269,564.60","84,740,687.02","125,937,780.57"
取得借款收到的现金,,,,,,,,,,,,,,,"97,000,000.00","211,938,000.00","67,000,000.00","67,000,000.00","67,000,000.00"
支付的各项税费,"16,437,590.48","22,651,630.79","15,015,825.17","29,321,783.18","18,276,865.68","25,279,924.49","24,451,878.70","28,817,662.98","11,384,216.59","27,477,335.46","33,759,334.65","36,398,502.99","16,263,127.26","32,118,774.60","49,340,257.82","51,244,758.18","6,568,754.14","20,622,574.50","27,355,239.22"
收到其他与筹资活动有关的现金,,,"7,323,000.00","22,826,000.00","45,442,327.50",,"82,672,100.00","71,217,600.00","166,510.04",,,"16,995,792.50",,"1,500,000.00","1,500,000.00","23,100,115.39",,"5,967,115.00","5,967,115.00"
支付其他与经营活动有关的现金,"31,887,345.90","68,913,358.05","11,682,283.05","47,800,736.52","23,368,316.22","48,963,716.94","82,424,148.02","85,646,649.35","43,626,358.68","88,645,180.25","113,363,803.01","116,455,394.07","46,820,286.45","71,007,660.35","108,269,628.70","119,288,239.28","37,198,861.45","76,370,589.61","138,783,070.40"
筹资活动现金流入小计,"23,000,000.00",,"7,323,000.00","22,826,000.00","45,442,327.50",,"343,333,800.00","387,824,050.00","-23,833,541.66","4,704,440.00","4,704,440.00","21,700,232.50",,"1,500,000.00","98,500,000.00","235,038,115.39","67,000,000.00","72,967,115.00","91,478,557.00"
经营活动现金流出小计,"378,281,477.35","515,928,818.30","157,034,535.63","632,880,810.79","208,309,216.87","439,765,721.10","688,098,230.36","957,641,992.83","357,918,925.74","656,306,270.91","914,538,180.93","1,137,363,432.44","301,062,753.29","579,563,330.46","878,108,768.13","1,050,088,646.03","322,161,316.44","660,531,749.74","998,229,275.28"
偿还债务支付的现金,"14,999,649.05",,,,,,,,,,,,,,,"47,000,000.00",,,"117,000,000.00"
经营活动产生的现金流量净额,"67,652,196.68","128,647,718.80","11,539,986.16","169,363,741.21","-8,455,252.20","58,307,045.96","128,170,790.85","187,564,511.72","-76,698,592.91","-61,831,454.91","-67,014,489.21","-23,735,808.19","-45,374,956.04","-43,721,660.57","29,068,800.45","70,864,146.68","-8,035,228.94","15,869,366.21","137,131,332.16"
分配股利、利润或偿还利息支付的现金,"79,925.09",,"24,173,425.18","24,173,425.18","26,180,000.00","26,180,000.00","31,580,000.00","31,580,000.00","-3,561.24","40,008,794.93","37,522,825.73","39,790,980.00",,"30,012,852.75","30,435,044.42","33,584,726.43","1,575,485.42","36,205,164.61","39,980,089.17"
收回投资收到的现金,,,,"10,000,000.00","155,000,000.00","345,000,000.00","623,000,000.00","838,000,000.00","440,000,000.00","850,000,000.00","1,215,000,000.00","1,472,300,000.00","95,000,000.00","106,000,000.00","253,000,000.00","568,293,400.00","225,735,100.00","520,735,100.00","763,735,100.00"
支付其他与筹资活动有关的现金,"2,339,800.00","7,523,000.00","6,099,000.00","61,545,327.48","33,481,227.50",,"61,380,239.17","42,771,065.00",,"108,317.91","793,648.17","24,717,835.39",,"19,009,766.61","19,009,766.61","26,737,263.01",,"24,738,895.20","25,576,360.08"
