科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"45,927,741.19","47,943,045.58","34,225,627.50","15,700,759.37","13,252,271.52","220,414,035.52","136,029,693.81","124,089,119.82","136,056,973.84","189,571,933.15","206,533,308.75","98,924,728.15","431,047,482.55","385,150,051.19","365,176,195.61","265,068,648.26","255,974,173.51"
短期借款,"21,000,000.00","25,000,000.00","20,000,000.00","10,000,000.00","1,000,000.00","21,000,000.00",,,,"48,000,000.00","48,000,000.00","1,000,000.00","3,800,000.00","2,000,000.00","2,000,000.00","2,000,000.00","13,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"6,243,446.38","10,900,357.03","10,414,286.00","19,925,343.32","12,741,075.97","4,320,047.86","11,659,589.16","22,545,271.30","12,954,067.62","8,842,735.95","11,322,494.39","11,475,838.16","15,171,108.00","21,917,105.77","19,980,351.85","24,718,614.84","35,928,928.49"
应付票据,"360,000.00",,,,,,,,,,"14,287,323.02","18,386,436.53","11,718,522.13","18,788,364.57","31,314,463.80","12,616,637.58","33,007,733.57"
应收账款,"30,200,500.47","31,469,903.15","39,037,110.88","38,348,719.32","47,177,657.52","45,846,261.71","53,664,689.75","61,638,522.77","70,970,962.91","63,294,510.88","70,287,035.85","89,896,198.46","112,788,953.67","113,596,306.69","113,888,495.71","128,602,958.82","143,053,344.57"
应付账款,"7,535,877.42","12,084,688.23","21,746,377.17","22,951,489.95","16,060,276.86","17,314,812.25","11,243,740.89","18,462,251.92","18,846,127.06","19,475,764.77","18,966,053.40","17,063,571.97","40,269,002.26","54,327,523.72","44,376,370.88","74,709,996.64","83,093,419.55"
预付款项,"8,657,633.21","5,086,111.43","953,465.71","2,647,037.06","2,343,336.39","1,430,284.71","1,134,300.58","2,414,055.88","3,047,765.80","2,585,889.56","6,112,116.18","5,500,934.86","17,385,517.27","10,266,738.09","31,258,310.93","35,246,143.70","33,988,257.24"
预收款项,"21,776,958.07","16,518,138.90","24,543,391.15","48,332,326.73","41,712,735.42","45,250,834.06","57,243,806.99","58,365,802.72","57,656,447.85","60,694,309.22","69,270,240.27","60,014,367.49","100,270,198.69","93,251,606.33","115,175,071.56","139,535,235.54","167,482,448.15"
其他应收款,"1,327,403.74","4,683,754.40","5,581,247.23","6,835,674.84","7,890,296.21","3,048,434.31","5,455,539.13","5,541,680.36","2,459,740.53","2,035,111.81","3,425,732.12","5,254,493.60","4,622,273.53","5,980,356.16","8,314,916.48","20,328,432.24","13,658,952.15"
应付职工薪酬,"2,082,568.84","1,691,537.25","2,218,472.54","2,114,965.50","2,266,774.44","3,615,960.19","2,918,241.91","3,063,090.61","2,962,315.47","5,696,313.20","3,451,434.17","3,417,145.04","4,011,144.80","8,560,396.59","5,838,348.54","7,661,926.02","6,882,594.47"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"5,898,129.44","2,813,001.17","-662,295.23","4,967,401.14","5,746,820.25","3,187,987.08","2,639,230.81","5,492,004.66","4,542,005.14","5,177,322.69","2,414,348.54","6,956,689.74","8,300,017.02","15,751,817.66","11,404,570.70","14,589,840.16","12,724,511.73"
应收利息,,,,,,,,,,,,,,,,,"1,219,315.07"
应付利息,,,,,,,,,,"24,166.67","66,358.45",,,"17,267.77",,,
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,"538,875.00","528,875.00"
存货,"29,299,158.78","21,915,265.63","43,966,222.94","59,985,258.62","59,743,383.04","67,141,394.81","68,197,379.99","72,151,251.71","74,709,908.70","88,411,147.84","95,346,278.34","92,719,130.09","139,984,325.03","138,105,179.13","163,666,603.17","223,538,967.54","251,343,732.95"
