科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"36,684,235.68","53,469,159.65","45,349,478.30","18,842,930.11","669,303,424.07","529,955,562.59","503,698,639.87","414,795,353.04","409,817,257.20","377,333,620.43","289,288,321.59","201,573,671.52","187,040,891.83","499,558,975.89","88,470,078.51","66,766,917.03","93,451,717.58","47,814,793.19","293,471,437.52","869,215,172.80","723,490,135.66","436,076,185.09","861,090,697.45","769,561,388.47","874,544,236.63","575,935,847.89","700,143,008.69","881,015,812.35","1,158,726,438.86","1,502,275,875.77","1,717,072,900.95","2,293,677,073.95","2,822,919,747.11","5,524,123,316.04","4,901,688,451.99"
短期借款,"35,800,000.00","73,800,000.00","58,500,000.00","64,500,000.00","39,000,000.00",,,"18,483,376.81","18,483,376.81","14,367,654.42","14,367,654.42","18,865,324.52","97,211,920.62","246,653,055.85","225,465,965.48","289,522,209.42","329,399,611.96","367,776,716.44","350,531,644.80","560,926,052.79","594,317,123.54","595,868,672.57","641,373,997.83","925,818,209.66","774,359,217.97","797,255,348.18","841,341,494.98","780,208,161.42","1,096,158,422.41","1,363,692,016.21","1,394,952,248.82","1,281,220,339.90","1,413,576,525.15","841,602,136.54","649,706,103.64"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,"1,734,750.92","1,294,343.92","6,836,827.76","7,392,229.37","3,916,509.21","315,278.58","49,685,351.61","48,593,699.99","35,232.99","6,542.94"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,901,021.40",,"1,330,352.11",,"3,346,713.52","64,885,178.93","90,715,689.20","2,657,778.85","43,421,529.54"
应收票据,"27,374,433.01","23,117,701.65","45,086,586.45","34,688,342.95","27,754,340.97","72,623,969.29","58,897,448.03","81,545,349.46","100,234,666.80","85,819,416.53","72,796,133.93","101,995,933.48","85,072,732.52","63,359,097.54","79,329,415.47","58,967,376.36","26,318,129.75","95,517,136.98","95,846,987.25","135,494,063.10","140,821,657.77","151,912,369.65","189,567,052.60","166,962,427.73","202,510,823.84","571,397,545.91","667,663,260.10","714,028,442.59","1,014,153,750.66","1,218,245,145.73","1,313,121,630.71","1,266,358,144.50","1,171,006,177.53","1,286,260,121.45","1,261,184,677.12"
应付票据,,,,,,,,"6,656,145.74","28,421,537.81","25,434,108.12","11,815,000.00","1,356,000.00",,,,,,,,,,,,,"11,196,710.68","63,429,688.22","82,882,702.46","65,253,977.73","70,837,135.24","72,808,157.04","78,696,799.10","71,508,433.83","59,954,565.02","107,761,333.11","187,327,008.66"
应收账款,"2,217,570.41","6,727,718.70","5,325,431.62","20,309,249.33","31,044,220.16","16,707,240.75","46,703,341.21","36,839,471.39","30,577,073.00","26,907,457.18","30,340,949.22","26,926,905.32","32,258,352.70","26,030,998.41","27,096,022.91","54,804,898.82","60,834,964.02","35,603,517.60","37,493,009.40","110,380,584.34","120,016,684.21","163,394,766.42","150,913,537.90","138,544,376.08","262,890,097.53","32,433,951.12","73,014,096.44","103,031,567.14","177,835,178.36","208,906,621.45","139,184,266.19","334,897,250.65","256,478,696.53","324,255,697.18","423,075,801.38"
应付账款,"34,245,047.05","10,736,035.62","12,198,000.80","36,491,053.95","37,320,280.68","33,697,071.92","31,860,457.46","45,975,688.52","28,335,626.14","34,915,197.47","29,228,549.08","33,656,393.25","37,258,595.29","41,357,429.73","41,301,247.48","45,952,943.20","48,558,766.74","72,072,026.33","51,631,754.04","119,472,470.19","116,745,312.33","111,692,051.38","91,343,129.72","150,510,561.28","134,173,912.05","132,732,806.41","120,440,738.56","185,022,808.64","172,360,655.65","226,198,083.78","306,395,267.50","348,838,792.47","453,996,508.48","566,106,280.43","445,070,935.01"
预付款项,"6,368,855.98","7,147,681.86","20,950,320.16","23,585,050.54","31,261,238.09","8,119,672.80","13,762,480.45","60,737,162.84","37,234,600.72","20,847,903.33","48,569,762.35","61,751,060.97","10,238,877.40","6,152,551.48","339,014,683.54","4,426,670.40","8,645,142.33","6,992,936.73","8,961,619.21","20,329,961.71","23,704,872.02","39,485,380.33","47,955,418.95","27,113,968.72","25,913,953.37","16,904,666.66","29,732,212.80","28,622,391.49","24,321,851.68","39,981,072.01","59,958,258.39","67,043,490.40","62,811,159.42","19,044,865.46","40,512,589.96"
预收款项,"6,478,938.75","2,430,252.48","2,229,018.71","5,033,665.34","4,777,902.29","7,563,040.15","4,675,391.44","7,056,805.52","9,150,546.95","10,227,711.14","9,186,765.21","8,993,462.65","10,070,194.48","5,749,553.13","6,579,572.89","6,008,003.87","7,583,231.89","2,546,303.72","4,257,496.97","3,168,529.87","4,829,149.41","4,881,055.21","4,453,948.05","12,007,692.92","41,794,873.56","72,288,326.77","63,026,395.65","37,735,910.84","90,956,429.37","151,734,375.50","219,549,979.54","185,854,383.39","84,823,250.80","191,960,884.19","106,116,005.32"
其他应收款,"695,372.62","725,533.23","1,243,047.06","2,826,325.93","2,878,507.59","2,459,559.15","4,360,113.90","3,849,806.77","2,962,565.88","1,520,727.40","4,041,753.19","3,323,147.00","2,169,914.46","1,685,619.85","2,041,023.38","1,781,777.64","1,546,425.04","1,142,228.52","1,522,545.02","5,699,662.15","12,748,374.14","14,435,279.15","14,879,188.81","17,446,310.04","24,667,740.39","10,041,226.54","17,226,795.26","17,062,442.44","15,026,338.71","24,107,298.13","57,876,328.74","47,203,741.12","25,243,175.47","40,263,326.43","51,048,526.79"
应付职工薪酬,"4,481,350.76","2,523,223.49","3,174,370.43","4,932,645.56","4,749,132.61","6,636,607.20","8,477,636.01","9,468,355.03","9,941,400.97","9,347,789.69","9,342,398.46","11,222,232.50","10,927,574.64","13,086,337.82","11,184,606.94","11,148,700.60","12,155,489.15","14,321,138.50","11,943,439.43","46,742,728.50","47,667,587.03","53,764,742.89","52,656,064.48","54,931,722.46","57,444,583.42","60,116,711.37","57,678,966.47","63,048,431.64","68,307,434.47","78,324,094.25","63,374,359.10","67,832,199.01","87,592,704.68","91,248,917.81","63,256,965.59"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
