科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,426,273,593.51","1,575,832,949.93","377,736,122.49","2,073,043,954.41","499,140,792.44","909,176,496.50","1,441,465,104.91","2,251,102,119.30","472,298,980.10","999,077,412.08","1,720,364,904.30","2,901,907,605.61","542,988,669.56","1,168,921,956.05","1,989,405,120.47","3,173,557,542.43","526,015,021.83","1,257,373,903.29","2,218,173,455.40","3,527,615,073.41","727,406,623.32","1,550,407,841.73","2,591,631,630.33","3,826,923,143.49","811,290,203.63","1,661,317,487.47","3,102,334,651.10","5,145,228,786.28","959,377,263.14","2,084,573,403.30","3,698,679,412.07","5,887,658,579.66","1,088,392,429.87","2,359,496,876.82","4,584,888,460.68","7,265,434,970.64","1,613,709,113.99"
取得子公司及其他营业单位支付的现金净额,"700,000.00",,,,,,,,,,,,,,,,,,,,,,,"-836,812.09",,"208,689,148.18","297,221,431.81","302,560,104.53",,,,,,,,,
收到的税费返还,"28,183,435.66","36,490,261.32","10,122,773.03","43,582,451.05","12,502,560.35","34,622,788.57","52,870,777.73","70,597,367.65","15,970,533.65","18,810,270.89","20,740,191.17","58,944,589.83","34,120,051.99","50,152,860.89","72,010,814.66","95,081,283.90","37,668,158.84","50,339,161.07","81,295,644.88","125,665,583.80","49,559,337.16","68,733,935.63","107,181,378.42","141,403,542.19","56,521,487.97","77,186,369.71","127,932,027.72","197,521,460.43","59,853,359.48","107,477,601.69","165,188,715.74","248,544,773.50","72,948,447.98","125,137,075.32","212,216,102.04","314,721,893.03","95,341,375.70"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"910,000,000.00","70,000,000.00","655,000,000.00","1,290,000,000.00","1,567,000,000.00","30,000,000.00","380,000,000.00","697,040,823.12","1,295,000,000.00","700,000,000.00","1,160,000,000.00","1,495,000,000.00","2,211,697,650.18","722,000,000.00","1,392,000,000.00","1,630,000,000.00","1,835,000,000.00","899,100,000.00"
收到其他与经营活动有关的现金,"17,897,808.79","11,946,915.19","2,813,989.10","33,968,120.96","2,136,335.14","7,703,926.90","15,706,578.13","29,090,287.58","9,129,533.75","14,749,880.36","51,848,683.10","66,497,692.36","6,513,432.75","19,131,925.47","46,955,975.63","82,900,018.62","12,409,829.74","18,877,926.26","63,777,348.93","133,075,651.88","10,490,064.01","41,225,783.68","76,826,648.46","89,467,917.68","28,397,253.13","93,800,776.54","89,501,898.31","178,658,315.10","15,518,271.65","32,821,537.33","61,200,237.43","134,459,268.39","47,163,448.21","90,463,710.37","103,482,774.50","150,471,154.86","4,679,719.73"
投资活动现金流出小计,"70,966,319.32","22,962,085.70","29,374,530.85","45,939,200.95","10,915,699.55","28,564,135.78","35,648,506.35","101,053,113.42","8,348,342.64","29,164,616.83","58,079,038.12","92,605,724.65","30,558,248.92","90,087,631.85","142,525,470.74","196,891,905.20","36,277,477.74","59,519,061.18","350,244,347.30","1,029,875,017.67","95,453,550.03","746,408,180.06","1,413,446,246.33","1,689,710,349.92","116,642,386.12","623,442,914.71","1,063,844,052.82","1,751,560,565.43","737,897,423.57","1,221,103,446.88","1,579,530,425.21","2,338,599,929.59","742,502,075.54","1,465,692,727.17","2,000,992,488.98","2,026,961,803.89","926,176,234.97"
经营活动现金流入小计,"1,472,354,837.96","1,624,270,126.44","390,672,884.62","2,150,594,526.42","513,779,687.93","951,503,211.97","1,510,042,460.77","2,350,789,774.53","497,399,047.50","1,032,637,563.33","1,792,953,778.57","3,027,349,887.80","583,622,154.30","1,238,206,742.41","2,108,371,910.76","3,351,538,844.95","576,093,010.41","1,326,590,990.62","2,363,246,449.21","3,786,356,309.09","787,456,024.49","1,660,367,561.04","2,775,639,657.21","4,057,794,603.36","896,208,944.73","1,832,304,633.72","3,319,768,577.13","5,521,408,561.81","1,034,748,894.27","2,224,872,542.32","3,925,068,365.24","6,270,662,621.55","1,208,504,326.06","2,575,097,662.51","4,900,587,337.22","7,730,628,018.53","1,713,730,209.42"
投资活动产生的现金流量净额,"-69,729,016.98","-20,657,796.63","-29,331,904.08","-44,139,948.89","-10,830,393.56","-28,484,076.78","-35,521,130.26","-85,407,400.01","-7,559,955.00","1,662,691.21","-27,221,325.08","-59,957,158.94","-30,280,894.26","-88,524,397.11","-140,889,453.38","-194,149,366.31","-36,248,397.74","-59,413,096.97","-349,969,412.06","-382,477,616.07","178,089,478.32","-241,033,291.62","-439,684,176.99","90,246,242.73","-33,474,341.17","-340,402,630.21","-578,502,373.59","-363,843,087.59","-485,731,278.94","-314,142,814.50","-228,993,099.72","-198,384,878.24","-238,717,791.37","-330,016,522.12","-525,651,527.45","-95,479,847.08","-503,874,350.24"
购买商品、接受劳务支付的现金,"1,004,989,053.94","991,941,900.00","275,576,949.47","1,195,458,682.26","362,540,140.33","654,968,248.16","1,042,278,976.61","1,496,362,699.20","412,992,945.64","767,198,328.13","1,227,743,321.77","1,764,143,889.17","381,549,760.88","800,588,774.71","1,233,688,996.15","1,654,576,063.39","450,013,949.74","800,925,594.67","1,289,374,010.19","1,770,290,119.40","584,345,175.73","1,071,275,492.83","1,599,802,730.19","2,049,356,067.77","645,048,906.94","1,146,637,824.83","1,731,907,913.05","2,510,670,630.79","884,885,891.53","1,500,283,638.56","2,210,937,896.26","3,231,089,934.88","962,126,455.17","1,797,369,666.98","3,173,051,625.58","4,485,132,959.01","1,486,534,006.72"
吸收投资收到的现金,"14,742,065.20",,,,,"1,002,200,000.00","1,010,230,312.00","1,010,230,312.00",,,,"10,000,000.00","6,900,000.00","6,900,000.00","6,900,000.00","94,622,500.00",,,"26,574,989.70","26,574,989.70",,,,"8,006,373.87",,,"51,900,000.00","148,500,000.00",,,"4,500,000.00","25,095,000.00","500,000.00","3,000,000.00","3,000,000.00","4,500,000.00","1,050,000.00"
支付给职工以及为职工支付的现金,"143,017,298.67","247,041,452.81","94,469,271.12","273,113,282.07","135,224,461.90","207,524,188.45","288,998,182.82","370,632,193.58","159,104,911.14","259,624,773.20","371,536,442.52","495,025,677.55","213,828,142.68","352,110,405.38","475,195,127.99","605,501,739.02","244,795,873.75","395,933,131.75","555,195,169.19","727,135,174.97","302,474,983.17","474,754,714.49","668,106,898.32","891,179,374.48","323,339,305.00","536,127,894.17","758,107,395.52","998,727,623.05","440,845,730.97","701,645,781.85","960,438,064.08","1,235,166,459.17","518,831,306.23","819,455,027.87","1,131,944,899.92","1,464,764,355.95","578,549,998.66"
取得借款收到的现金,"433,133,790.00","412,154,449.00","121,897,368.00","312,644,344.00","66,685,815.92","135,858,775.35","181,049,064.23","247,161,101.57","5,000,000.00","57,636,999.46","127,259,857.99","210,138,740.29","15,987,658.77","128,094,983.51","215,446,175.58","276,000,762.58","51,237,518.35","109,115,832.89","118,449,851.38","118,651,734.55",,"12,274,322.04","62,290,058.09","62,285,558.91","18,408,566.59","18,384,456.54","24,651,910.72","30,821,456.73",,,,,"20,680,675.54","20,581,946.24","20,356,875.75","20,357,291.90","19,099,290.38"
