科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"143,473,597.97","137,408,245.37","291,340,145.96","446,954,864.85","327,865,900.00","367,140,847.40","317,278,141.52","444,457,398.97","490,115,826.22","445,656,030.27","403,435,453.43","398,080,829.01","509,899,624.38","523,517,762.99","659,939,613.30","817,954,642.93","1,988,140,125.18","2,267,214,091.67","1,234,055,752.16","1,366,422,430.72","1,889,902,802.39","1,226,355,623.35"
短期借款,"915,283.63","2,381,740.20",,"20,231,720.64","19,883,900.00",,,"36,916,800.00",,,,"45,000,000.00","30,000,000.00","30,000,000.00","240,000,000.00","240,000,000.00",,"115,000,000.00","415,000,000.00","715,000,000.00","803,000,000.00","800,098,490.00"
交易性金融资产,,,"333,640.00","158,400.00",,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,141,686.50","6,396,276.87","3,696,401.76","11,339,457.43","9,053,500.00","8,671,949.00","5,655,634.20","9,825,078.98","7,464,230.50","6,051,422.84","124,788,832.58","55,929,147.45","23,617,699.67","92,968,543.51","25,944,293.00","20,838,981.00","33,439,621.20","34,014,161.59","36,088,510.91","35,654,545.04","17,866,548.53","56,377,608.25"
应付票据,"56,096,352.00","36,627,275.76","193,643,179.84","177,510,065.40","231,599,200.00","434,764,108.87","532,335,982.83","550,701,731.53","564,948,487.86","648,666,773.83","940,447,331.83","1,066,025,156.33","1,626,978,297.69","1,710,629,015.60","1,608,848,307.60","1,937,254,794.03","2,514,952,050.87","3,382,278,144.22","2,721,051,129.45","2,820,853,923.59","3,027,688,527.65","2,551,409,975.31"
应收账款,"117,150,790.09","164,348,105.45","322,507,354.55","338,254,831.54","412,792,400.00","638,304,268.08","785,939,417.32","781,828,585.53","682,030,661.41","987,191,005.49","1,044,337,004.06","1,418,456,448.66","1,329,776,366.37","1,743,601,393.29","1,357,133,944.46","1,985,011,489.69","2,574,270,694.30","2,992,087,668.38","3,173,881,615.65","3,119,204,881.87","3,976,700,363.09","3,355,104,476.04"
应付账款,"63,991,412.23","81,238,575.56","98,079,373.08","126,827,513.76","138,983,800.00","212,018,570.02","155,840,223.45","139,633,294.85","201,529,955.04","279,562,043.65","141,466,405.73","198,230,904.84","212,082,642.25","787,078,766.21","447,224,271.81","688,040,491.07","521,803,008.65","685,750,298.97","798,975,121.01","682,891,148.61","1,048,722,453.90","1,075,332,894.78"
预付款项,"22,170,275.48","34,494,609.02","14,805,652.80","28,608,285.05","50,196,700.00","8,614,506.76","119,769,322.75","103,033,228.56","202,492,440.38","141,805,047.08","292,693,325.21","324,957,544.45","381,949,825.59","297,902,441.74","380,058,937.96","135,312,009.77","459,430,294.63","758,038,552.56","1,029,458,125.14","872,340,623.83","801,906,584.99","328,147,707.26"
预收款项,"24,121,140.48","25,849,314.07","22,296,158.58","26,895,450.34","31,114,600.00","35,714,849.66","38,156,169.37","36,914,443.69","38,189,937.14","66,873,536.51","128,478,187.95","70,185,376.36","37,536,561.73","58,013,506.08","245,227,284.62","49,295,865.11","48,482,172.43","177,080,606.21","228,950,424.03","207,277,908.31","216,587,281.14","149,309,812.40"
其他应收款,"5,370,012.91","5,783,612.42","21,447,240.00","17,177,433.11","40,300,600.00","19,240,997.10","21,246,473.05","12,279,193.92","16,939,950.70","15,973,719.71","26,515,490.50","26,977,135.76","38,698,906.50","66,478,356.15","81,530,736.56","55,253,941.75","60,282,871.15","67,033,788.56","85,859,492.58","111,067,325.89","100,904,134.22","116,779,253.90"
应付职工薪酬,"4,218,104.62","5,855,775.63","7,142,295.40","5,460,711.17","6,214,300.00","10,067,352.13","5,536,377.93","5,821,968.66","6,936,664.97","15,888,265.42","9,913,025.16","10,015,485.49","10,485,328.88","15,487,192.04","8,703,606.99","9,540,231.61","9,782,861.73","12,790,485.07","7,617,795.07","8,980,137.22","9,709,355.99","19,171,542.05"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"15,382,070.72","12,115,123.04","12,342,616.30","7,529,752.33","9,399,400.00","12,942,002.88","4,678,318.94","6,123,394.55","7,353,529.89","21,638,734.94","8,244,546.14","27,441,151.70","18,808,575.86","27,557,597.49","10,893,879.52","61,971,090.94","41,360,053.59","55,582,091.75","20,595,302.27","106,886,390.11","65,704,574.91","32,109,672.80"
应收利息,,,,,,,,,,,,,,,,,,,,,,
应付利息,"25,149.18",,,,,,,,,,,,,"317,166.67","762,770.83","3,011,083.34","2,729,396.84","2,862,958.34","3,170,375.01","11,687,854.19","7,360,242.72","2,337,051.69"
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"33,096,500.00",,,,,,,,,,,,,,
存货,"75,995,927.98","131,735,186.83","157,250,747.11","144,856,191.29","234,049,200.00","313,049,981.06","284,314,799.42","253,405,330.76","301,143,210.88","322,031,099.57","269,201,899.74","349,814,731.18","567,474,116.00","497,975,753.02","635,525,098.54","408,930,234.38","377,603,397.74","455,704,766.65","656,419,797.30","674,769,135.64","561,157,038.69","745,284,982.38"
其他应付款,"22,998,401.33","23,777,108.49","24,476,566.48","31,902,096.29","34,145,300.00","48,299,980.43","39,367,200.32","45,616,822.76","57,961,723.64","97,112,746.48","137,445,453.93","115,318,137.83","82,268,286.02","133,983,793.23","300,187,494.40","95,020,093.66","86,632,290.20","193,884,408.17","539,271,087.56","283,172,416.13","1,068,331,952.90","974,362,923.69"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,"3,152,813.15","3,152,813.15","22,779,166.03","27,836,881.66","32,902,665.02"
一年内到期的非流动负债,,,,,,"130,000,000.00","130,000,000.00","130,000,000.00","130,000,000.00",,,,,"180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","300,000,000.00","300,000,000.00","360,000,000.00","360,000,000.00","240,000,000.00"
