科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"165,044,248.99","185,203,414.93","284,930,679.94","153,156,652.23","235,248,264.91","343,352,093.60","50,218,681.41","125,705,928.61","227,998,761.30","345,880,453.08","87,280,145.24","160,447,684.68","271,495,465.68","374,318,586.52","76,818,883.81","179,152,500.39","289,982,057.34","374,252,038.25","67,360,081.11","157,734,695.44","233,700,956.74","330,292,941.93","96,968,579.89","193,820,370.90","275,756,229.89","389,873,815.96","79,802,509.02","197,668,434.19","316,755,748.75","434,094,913.54","94,709,553.86","180,863,600.31"
二、营业利润,"20,020,454.88","25,191,053.77","45,080,618.15","22,703,322.95","34,916,545.26","48,809,116.89","6,230,114.47","19,890,090.28","32,828,282.44","41,412,100.30","11,151,687.24","16,393,029.44","27,896,293.92","31,053,971.03","9,789,154.32","18,826,050.57","32,425,792.61","32,639,633.63","9,225,625.60","18,162,726.32","30,155,659.42","43,695,368.45","18,470,265.96","29,069,349.49","40,459,334.05","56,232,655.00","12,529,938.80","32,686,938.83","50,472,635.95","65,946,436.34","8,261,622.40","19,957,161.71"
减:营业成本,"122,112,322.15","134,982,560.89","207,201,307.07","110,944,469.64","170,196,807.82","248,116,786.81","36,139,571.06","90,754,855.82","166,929,601.35","256,969,565.81","65,184,821.66","120,058,321.21","203,436,775.78","280,529,109.50","57,119,422.84","134,254,457.32","215,865,164.43","280,054,478.42","49,506,930.80","115,647,446.85","171,689,520.00","244,399,791.65","69,184,367.24","135,241,174.74","192,208,848.14","270,078,065.17","55,774,966.72","133,870,877.04","214,643,483.75","297,202,530.64","69,435,378.20","128,967,818.41"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,030,636.23","1,274,308.15","1,661,774.33","1,378,577.14","1,565,937.69","2,761,017.95","428,125.24","699,706.97","958,563.51","2,255,208.78","504,818.35","1,075,524.31","1,696,797.93","2,799,105.51","705,823.96","1,786,995.78","2,277,628.24","2,972,468.71","522,865.25","2,196,334.02","2,787,888.07","4,044,977.97","1,103,996.42","2,976,511.79","4,099,134.18","5,528,428.09","1,273,124.65","3,504,768.01","6,028,178.78","6,616,806.57","2,264,248.42","4,629,552.93"
营业外收入,"303,844.53","905,903.12","1,234,921.39","2,961,348.90","4,525,737.23","5,919,887.91","1,090,669.70","3,133,613.05","4,491,845.88","4,755,747.67","514,048.95","809,316.58","2,578,280.02","3,988,776.62","949,375.00","1,966,967.26","2,890,412.55","6,001,780.64","1,061,284.16","1,365,584.32","2,274,816.10","11,578,437.55","281,183.32","1,151,601.68","2,529,042.19","4,259,807.65","301,218.95","944,262.15","2,966,184.71","3,202,272.91","339,486.83","1,343,369.54"
销售费用,"4,468,149.60","5,375,183.83","7,765,269.49","4,667,613.41","6,428,218.02","9,770,301.42","1,723,752.97","3,915,894.79","7,337,896.75","13,049,569.67","3,900,710.59","6,731,597.35","10,732,302.23","19,586,005.26","1,631,515.62","4,762,110.44","8,552,196.72","12,826,486.31","1,894,467.89","4,737,586.02","8,045,702.72","13,474,053.93","2,249,159.44","6,409,218.44","9,829,275.84","16,825,332.83","1,878,770.14","6,277,657.28","11,450,975.13","18,139,825.48","2,606,899.29","6,059,107.36"
减:营业外支出,"86,540.51","6,478.37","109,961.32",650.00,"5,362.65","123,508.08","1,156.58","180,631.40","243,881.20","244,981.19","11,500.00","483,369.63","2,666,326.93","2,668,334.60","510,237.51","544,509.34","575,497.97","595,019.12","24,165.56","66,739.93","68,640.68","326,309.26","3,239.40","14,660.46","2,041,477.03","3,441,406.12","293,277.37","663,366.68","850,205.68","351,197.48","376,694.78","389,850.04"
管理费用,"10,274,227.32","10,036,950.37","13,941,789.78","8,545,305.05","12,719,840.17","20,643,692.76","5,617,071.87","13,782,890.60","20,498,774.57","32,796,709.35","8,213,906.28","17,023,883.83","28,650,614.00","40,589,867.95","9,631,072.60","21,029,613.53","31,491,020.86","40,528,863.67","8,774,118.60","19,711,098.49","29,005,072.50","41,337,020.64","11,176,145.20","23,426,362.59","35,913,082.87","48,948,929.00","11,782,183.78","26,076,410.40","41,652,512.86","56,054,384.82","12,649,427.99","26,721,431.44"
其中:非流动资产处置净损失,,,,,,"117,862.95",,,,"188,126.71",,,,"2,257,267.39",,,,"44,942.59","22,990.64",,"56,999.30","79,831.88",394.82,"11,065.29","2,029,867.74","357,323.40","93,285.94","462,793.76","487,885.82",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"8,268,524.93","7,823,357.74","8,683,257.77","5,317,778.00","9,432,826.31","13,601,432.83","577,423.03","789,115.63","2,539,972.12","3,270,303.74","1,293,317.89","2,926,316.44","4,703,508.56","6,446,979.03","746,177.31","945,195.31","1,770,602.39","2,935,548.92","-691,746.01","-1,898,822.08","-5,152,352.62","-6,112,129.32","-545,984.27","-1,442,423.81","-1,225,573.68","-2,828,759.94","544,114.05","2,685,038.09","4,819,167.70","5,683,547.94","2,489,100.54","2,665,674.44"
三、利润总额,"20,237,758.90","26,090,478.52","46,205,578.22","25,664,021.85","39,436,919.84","54,605,496.72","7,319,627.59","22,843,071.93","37,076,247.12","45,922,866.78","11,654,236.19","16,718,976.39","27,808,247.01","32,374,413.05","10,228,291.81","20,248,508.49","34,740,707.19","38,046,395.15","10,262,744.20","19,461,570.71","32,361,834.84","54,947,496.74","18,748,209.88","30,206,290.71","40,946,899.21","57,051,056.53","12,537,880.38","32,967,834.30","52,588,614.98","68,797,511.77","8,224,414.45","20,910,681.21"
