科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"102,975,909.99","169,568,923.45","257,864,786.03","68,572,734.32","147,199,098.40","250,920,236.85","346,172,526.21","61,172,366.58","134,243,203.19","191,315,993.81","284,272,929.44","109,365,904.15","242,622,616.66","359,266,503.27","520,926,308.17","77,872,558.66","173,320,402.81","249,939,386.75","348,889,373.18","94,986,960.09","205,578,954.21","287,242,806.44","413,078,751.35","60,707,689.74","165,187,017.77","232,127,548.16","412,856,314.79","142,983,492.60","275,472,157.03","401,919,274.90","584,735,242.28","125,176,076.94","244,943,851.81","358,125,141.53","528,028,695.38","146,144,380.73"
取得子公司及其他营业单位支付的现金净额,,"1,172,636.58",,,,,,,,,"141,098,620.66",,,,"8,405,758.22",,,,"796,923.91",,,"33,000,000.00","37,170,520.02",,"1,000,000.00","1,000,000.00","1,000,000.00",,,,"30,000,000.00",,"133,600.00","133,600.00",,
收到的税费返还,,,"1,687,188.40","838,201.86","3,159,793.81","4,173,538.40","4,037,346.84","799,869.64","1,171,135.71","4,713,906.45","2,835,112.91","481,261.82","934,864.08","1,441,262.89","1,949,727.65","572,157.16","1,239,397.65","2,669,690.35","3,261,641.29","1,086,264.58","2,495,133.16","2,974,542.60","3,189,786.81","211,602.96","701,973.80","1,303,240.25","1,941,111.54","299,806.82","363,583.15","379,656.67","442,065.80","10,995.45","10,995.45","16,280.34",,995.52
支付其他与投资活动有关的现金,,,,,,,"135,000,000.00",,,,,,,,,,,,"6,270,093.18",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"957,888.74","3,799,140.67","2,028,213.77","30,000.00","828,759.01","8,101,013.23","15,730,005.30","2,446,310.09","10,812,255.40","22,904,321.77","40,785,218.21","2,973,297.95","22,243,839.04","25,861,483.05","38,979,081.14","8,473,066.56","28,063,075.99","41,476,095.92","51,060,450.97","10,958,970.56","29,057,321.13","42,176,281.57","45,496,726.00","14,962,019.07","19,948,302.27","31,609,695.85","49,817,155.77","36,198,356.65","56,227,253.97","81,872,155.30","44,122,724.94","24,820,398.83","41,798,514.55","60,161,640.27","24,690,644.51","19,287,650.01"
投资活动现金流出小计,"21,359,697.94","37,402,984.84","63,219,151.35","33,305,584.06","40,986,092.78","59,051,952.35","249,896,219.47","5,608,091.45","41,117,289.18","177,224,397.70","221,658,152.87","155,845,026.08","88,641,443.81","114,085,480.99","134,215,994.32","8,610,764.39","22,285,597.33","35,608,164.18","63,619,315.52","6,757,667.09","20,462,404.42","57,371,532.37","68,209,770.32","4,340,215.44","21,950,323.37","62,422,681.95","2,068,418,485.75","832,381,816.64","2,088,851,417.05","2,916,832,201.48","4,260,431,950.15","1,177,560,259.36","2,246,880,189.75","3,046,563,489.03","4,099,755,008.54","1,036,536,483.75"
经营活动现金流入小计,"103,933,798.73","173,368,064.12","261,580,188.20","69,440,936.18","151,187,651.22","263,194,788.48","365,939,878.35","64,418,546.31","146,226,594.30","218,934,222.03","327,893,260.56","112,820,463.92","265,801,319.78","386,569,249.21","561,855,116.96","86,917,782.38","202,622,876.45","294,085,173.02","403,211,465.44","107,032,195.23","237,131,408.50","332,393,630.61","461,765,264.16","75,881,311.77","185,837,293.84","265,040,484.26","464,614,582.10","179,481,656.07","332,062,994.15","484,171,086.87","629,300,033.02","150,007,471.22","286,753,361.81","418,303,062.14","552,719,339.89","165,433,026.26"
投资活动产生的现金流量净额,"-11,358,960.34","-33,983,465.53","-61,035,539.04","-33,305,584.06","-40,986,092.78","-59,051,952.35","-174,228,015.99","54,410,408.55","19,278,217.67","-116,828,890.85","-160,502,776.16","-80,220,779.50","-87,702,612.93","-36,229,714.41","-55,965,199.80","-8,610,764.39","-22,285,597.33","-35,544,984.18","-56,196,026.58","-6,566,739.61","-19,413,134.47","-55,939,550.10","-45,127,873.89","-3,646,169.63","3,182,450.26","-16,659,817.47","-961,649,949.56","102,454,768.10","-148,906,668.90","44,240,405.29","-213,595,857.66","47,399,277.96","-54,795,408.25","205,473,118.37","-60,862,151.69","-738,234.24"
购买商品、接受劳务支付的现金,"44,686,492.96","63,217,180.16","86,456,683.28","-5,206,976.43","39,107,160.95","77,294,324.12","120,560,209.62","70,293,118.08","106,556,941.46","214,977,258.10","209,865,653.61","65,544,980.72","137,424,106.32","200,641,159.13","257,308,228.85","46,210,350.28","92,765,173.57","103,210,997.24","148,519,236.13","40,835,677.52","83,625,372.05","113,160,915.47","171,878,440.38","8,904,813.16","58,015,773.65","78,154,648.58","182,018,430.62","74,258,490.06","139,711,053.77","222,113,829.62","312,570,715.91","60,664,489.77","121,328,552.77","180,901,050.82","326,689,825.89","77,144,709.48"
吸收投资收到的现金,"38,000,000.00",,,,"1,452,000,000.00","1,452,000,000.00","1,452,000,000.00","40,236,788.27","37,880,759.09","37,880,759.09",,,,,,,,,,,,,,,,,,,,,"10,000,000.00",,,,,
支付给职工以及为职工支付的现金,"3,796,290.38","10,462,656.14","13,210,299.86","4,906,454.33","9,646,466.82","15,339,541.12","25,211,092.33","14,895,561.66","21,006,861.26","30,934,707.38","43,882,420.72","14,110,911.79","26,943,863.75","39,695,362.77","53,129,289.79","19,170,136.34","32,436,752.83","48,156,923.92","64,110,876.48","21,166,884.88","38,255,265.62","53,498,615.81","71,490,588.76","21,853,015.83","37,173,384.09","51,744,112.37","76,884,584.53","18,123,412.39","33,705,213.12","49,557,601.64","68,651,554.84","20,085,733.34","36,486,154.65","52,797,293.92","74,600,743.85","21,169,844.51"
取得借款收到的现金,"6,000,000.00","8,500,000.00","8,500,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,,,,,,,,,,,,,"20,000,000.00","80,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","101,200,000.00",,,,"100,000,000.00",
