科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"260,892,966.13","193,289,608.70","319,634,414.66","162,215,317.19","360,326,756.79","54,440,487.81","109,960,864.71","157,778,930.69","288,769,291.86","32,290,810.90","61,665,314.62","126,017,012.00","908,926,601.13","143,604,768.16","407,743,597.88","665,396,506.99","922,680,728.02","92,094,739.42","163,390,805.09"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"2,500,000.00",,,,,,,,,,,
收到的税费返还,,,"4,821,224.68",,,,"10,547.83","573,195.85","573,195.85",,"679,841.71","2,122,141.00","3,374,080.84","1,361,857.21","2,924,718.43","4,637,585.95","6,237,090.59","58,918.61","1,274,272.40"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"9,000,000.00",,,,,,"30,000,000.00"
收到其他与经营活动有关的现金,"509,295.77","767,788.15","5,757,669.80","3,222,562.26","3,962,437.50","1,801,338.04","990,285.44","3,491,774.07","2,395,588.32","1,521,732.74","2,994,982.12","3,377,450.28","7,086,613.81","307,470.16","1,207,408.77","1,257,468.59","8,584,671.68","1,417,510.49","1,500,514.82"
投资活动现金流出小计,"80,113,907.78","103,283,107.52","19,502,487.73","84,699,042.17","84,793,688.40","5,781,360.39","17,586,414.24","36,190,938.21","123,948,897.03","33,568,764.00","60,860,418.99","103,617,805.79","138,794,306.39","22,287,628.43","75,352,831.27","104,749,593.56","181,069,330.78","172,887,340.68","333,581,364.77"
经营活动现金流入小计,"261,402,261.90","194,057,396.85","330,213,309.14","165,437,879.45","364,289,194.29","56,241,825.85","110,961,697.98","161,843,900.61","291,738,076.03","33,812,543.64","65,340,138.45","131,516,603.28","919,387,295.78","145,274,095.53","411,875,725.08","671,291,561.53","937,502,490.29","93,571,168.52","166,165,592.31"
投资活动产生的现金流量净额,"17,527,242.22","-29,223,310.37","-14,135,774.14","-66,703,693.17","-66,638,639.40","-5,781,360.39","-17,586,414.24","-36,190,938.21","-123,948,897.03","-33,568,764.00","-60,860,418.99","-103,617,805.79","-138,794,306.39","-13,287,628.43","-66,352,831.27","-95,749,593.56","-172,069,330.78","-151,338,847.53","-309,627,136.47"
购买商品、接受劳务支付的现金,"209,527,565.04","213,053,462.54","183,429,051.94","172,563,395.61","249,392,861.28","127,014,059.89","187,607,645.47","228,707,942.84","250,381,405.79","66,445,024.65","98,754,392.79","172,238,970.07","789,961,614.26","208,809,543.28","482,182,597.65","743,254,571.77","944,401,662.24","223,920,994.74","316,057,894.41"
吸收投资收到的现金,,,,"4,900,000.00","4,900,000.00","283,831,400.00","278,675,430.00","278,255,430.00","323,981,400.00",,,"24,500,000.00","24,500,000.00",,"300,000.00","300,000.00","556,952,355.10",,
