科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"184,208,134.10","164,020,784.07","206,731,381.55","1,237,697,189.68","1,268,706,126.54","1,298,098,358.30","1,231,235,132.44","1,283,918,238.62","1,213,863,917.93","1,234,697,121.52","1,118,617,249.00","1,139,156,930.46","1,115,942,380.89","1,159,518,018.37","1,053,729,191.84","1,103,034,998.29","1,108,531,232.00","1,021,819,360.33","814,693,320.81","636,628,691.58","704,420,573.28","718,680,541.52","635,534,196.87","542,369,399.91","506,672,761.47","415,305,771.72","611,174,528.71","684,740,953.45","1,864,601,144.57","888,958,963.13","849,741,177.99","907,035,508.64","1,909,840,353.64","1,258,015,227.31","1,180,782,152.27","1,530,399,691.36","2,264,644,342.30"
短期借款,,,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,,,"16,212,060.00",,,,,,,"235,000,000.00","394,407,299.20","492,457,360.00","531,501,668.42","600,432,957.62","184,486,992.79","848,979,417.50","784,658,924.86","649,655,176.89","429,360,000.00","465,000,000.00","1,263,788,776.68","1,463,788,776.68"
交易性金融资产,,"35,875.07",,,,,,,,,,,,,,,,,,,,,,"500,000.00",,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"300,000.00","7,730,720.00","6,024,075.00","7,826,980.00","6,872,505.00","14,667,534.34","15,224,126.74","12,902,288.00","9,665,810.85","16,516,445.57","20,828,688.94","25,650,861.00","26,606,092.40","23,597,884.50","24,249,115.00","19,037,750.86","22,802,528.06","24,458,393.53","22,619,404.14","29,973,110.78","41,409,572.96","36,457,760.62","33,123,667.46","32,130,699.10","25,439,172.57","32,334,382.62","42,061,012.88","47,677,895.80","58,188,163.92","49,061,261.55","60,614,296.63","77,090,319.02","74,728,793.64","67,434,884.89","79,630,218.30","71,928,043.90","92,907,676.73"
应付票据,,,,,,,,,,,,,,"117,390.00","622,160.00","917,625.00","959,560.00",,"234,780.00","273,910.00","117,390.00",,"3,000,000.00","19,100,824.82","13,675,660.62","102,582,066.82","63,514,085.80","41,184,335.80","51,760,000.00","49,919,042.32","67,001,744.32","84,394,741.00","69,247,214.81","57,872,989.58","64,487,692.98","96,196,608.07","99,116,750.75"
应收账款,"69,993,680.06","76,247,386.01","95,809,965.97","101,778,804.66","110,654,217.51","125,489,283.26","137,857,007.16","139,659,133.23","159,676,504.01","214,286,281.66","247,838,174.56","276,672,026.19","292,310,657.39","396,846,981.01","403,606,390.38","424,249,544.58","427,133,886.12","570,957,453.86","596,088,465.32","626,791,679.63","639,888,763.02","722,139,619.51","791,966,358.37","830,452,304.06","816,910,538.31","1,054,216,150.68","1,092,104,496.88","1,136,341,688.83","1,182,846,102.26","1,245,698,176.38","1,204,089,634.33","1,252,289,706.74","1,219,143,570.39","1,378,352,998.43","1,496,383,463.45","1,561,408,127.61","1,632,271,937.90"
应付账款,"8,288,859.28","14,352,130.67","25,138,261.55","13,240,713.01","14,153,877.89","24,264,612.38","10,297,629.67","18,263,983.33","33,431,332.52","35,998,205.13","34,734,808.33","38,338,683.05","29,183,494.00","42,198,768.81","36,106,202.96","47,879,395.00","42,012,189.86","35,061,332.26","49,312,481.05","56,074,895.70","62,847,721.84","93,210,759.27","81,197,640.35","87,007,163.37","104,591,134.99","229,405,361.87","252,938,048.58","267,625,212.49","275,632,618.45","294,813,288.18","295,037,459.34","331,546,458.92","318,736,786.68","389,528,632.04","450,860,148.07","420,064,608.41","464,686,246.24"
预付款项,"25,196,188.43","29,473,256.56","22,538,011.68","24,792,459.81","22,505,123.96","26,956,369.21","23,283,966.45","43,346,636.23","64,852,155.23","73,256,705.35","39,609,789.25","46,790,483.04","79,356,542.46","76,408,436.92","59,228,311.83","38,728,410.48","104,061,336.18","124,715,056.95","117,877,709.28","158,055,336.67","72,508,942.38","80,292,224.86","68,414,714.15","84,305,173.09","76,908,450.11","114,839,696.47","85,628,731.17","98,174,765.42","121,462,642.72","134,466,651.37","145,852,809.99","147,038,587.34","110,383,907.06","116,092,123.36","145,629,855.53","142,200,516.81","108,189,758.49"
预收款项,"14,290,860.71","10,374,825.20","12,550,109.21","9,105,861.28","9,165,947.34","8,973,240.43","12,664,196.32","11,296,727.19","11,844,615.17","12,392,264.94","14,327,518.11","20,843,881.97","10,642,114.55","19,298,023.11","23,697,712.06","22,164,162.54","16,542,849.40","19,063,183.41","37,817,374.95","74,420,979.52","65,222,204.65","61,005,916.30","51,238,326.70","42,910,077.06","50,322,552.71","58,075,940.95","74,953,201.88","86,459,882.98","103,341,570.17","84,265,700.61","92,961,818.70","91,773,270.98","104,271,095.89","107,512,360.32","122,519,613.90","123,137,785.83","119,078,472.56"
