科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"77,890,700.23","52,005,320.44","67,592,274.81",,"296,242,605.29","212,424,985.42","180,239,328.00","112,877,340.10","146,783,134.64","123,101,097.92","166,982,061.38","107,486,063.65","113,273,887.50","132,811,170.15","145,834,937.58","64,574,494.48","115,752,371.86","134,122,469.61","200,300,800.30","132,845,089.24","380,389,214.92"
短期借款,"36,000,000.00","69,000,000.00","69,195,163.43",,"100,000,000.00","55,000,000.00","52,154,668.40","62,154,668.40","100,810,185.60","124,204,554.54","121,202,042.33","134,384,865.65","233,955,558.81","266,085,024.04","252,011,330.17","290,855,327.90","350,818,460.65","355,902,686.81","361,533,242.64","366,533,242.64","400,329,967.35"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"41,657,347.84","35,833,273.31","16,976,900.60",,"13,523,240.00","23,066,921.59","25,880,219.64","27,878,588.20","14,912,280.38","10,573,656.76","22,425,416.06","28,348,012.89","32,832,565.31","20,678,664.45","34,444,749.32","45,757,392.50","29,273,152.42","29,688,937.46","25,376,671.62","28,341,028.59","34,908,346.43"
应付票据,"20,867,500.00","33,000,000.00","44,400,000.00",,"48,250,000.00","59,500,000.00","36,535,000.00","52,705,204.84","65,000,000.00","138,000,000.00","204,000,000.00","216,800,000.00","131,847,500.00","80,047,500.00","113,047,500.00","102,205,179.16","114,205,179.16","105,305,179.16","93,147,500.00","107,047,500.00","98,047,500.00"
应收账款,"101,069,442.39","166,825,903.77","214,859,582.17",,"263,360,666.12","274,709,347.53","253,636,034.50","238,990,280.03","276,945,134.95","294,521,210.55","326,879,351.48","360,328,024.11","399,834,727.17","368,583,636.37","452,673,152.71","460,310,128.10","500,780,520.73","459,768,326.16","498,275,844.63","448,197,950.77","471,762,455.18"
应付账款,"97,224,848.26","112,420,655.99","101,771,034.65",,"107,343,536.52","119,132,777.89","127,875,257.34","155,021,879.94","146,222,774.39","158,984,082.79","163,989,111.58","158,176,361.53","182,387,467.25","171,932,753.49","168,777,139.70","161,507,687.03","170,029,487.19","165,596,991.05","181,327,759.34","148,719,311.66","201,236,407.42"
预付款项,"21,247,749.28","43,314,887.88","74,930,071.70",,"68,915,332.42","95,950,903.25","118,894,727.84","105,128,879.55","102,968,330.38","148,793,459.33","122,946,560.28","154,637,067.13","167,083,711.20","171,936,938.06","102,612,377.97","145,065,354.55","145,176,728.48","154,718,754.54","150,004,892.36","149,369,191.24","141,750,444.94"
预收款项,"83,835,280.48","60,709,472.42","83,416,675.81",,"56,442,650.50","55,558,151.65","44,948,678.33","73,923,436.89","123,291,803.06","135,906,447.48","109,669,259.42","142,024,040.76","133,933,616.55","169,147,759.28","163,867,185.30","187,896,170.06","191,645,067.31","261,173,330.32","300,986,207.09","258,144,251.53","269,826,121.50"
其他应收款,"3,573,230.58","5,086,054.30","8,664,126.32",,"12,553,171.73","13,713,559.53","9,931,982.42","17,783,518.91","19,653,676.62","24,299,745.55","20,071,309.43","15,777,714.21","28,192,106.97","29,750,929.10","30,973,904.30","36,987,189.66","31,990,158.67","32,367,282.00","21,208,056.96","24,467,650.88","24,093,690.67"
