科目,2008-12-31,2009-12-31,2010-12-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"20,238,212.94","41,893,311.08","16,652,744.43","23,006,357.11","209,594,893.14","190,445,246.89","179,986,775.89","185,516,483.27","183,332,996.35","174,006,231.02","143,734,915.53","148,174,339.40","128,896,501.22","116,265,182.45","88,801,095.16","299,009,384.64","222,690,014.48","233,151,876.35","181,092,929.89","262,787,240.64","332,276,654.98","260,946,412.35","270,256,694.25","316,644,707.65","361,385,388.91","651,214,811.54","650,707,488.75","550,886,240.81","615,882,011.47","439,653,937.10","818,091,176.14"
短期借款,,,,,,,,,,,,"948,035.55",,,,"16,350,361.00",,"41,748,872.00","41,748,872.00","64,293,095.00","129,533,073.68","88,525,800.70","178,679,186.00","199,146,828.00","170,854,788.00","170,695,060.00","369,109,181.30","379,263,168.30","87,867,682.30","5,584,626.50",
交易性金融资产,"1,088,230.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"30,000.00",,,"700,000.00","1,550,000.00","650,000.00","1,180,000.00","2,300,010.00","2,842,690.00","2,758,019.79","2,064,240.21","2,354,370.00","420,000.00","371,500.71","1,021,500.71","76,508,769.75","170,193,684.75","99,502,022.59","177,139,381.83","79,745,090.52","107,862,623.00","131,412,395.41","114,538,008.68","47,607,223.96","155,978,530.36","121,260,371.40","38,314,324.56","29,612,950.71",,,
应付票据,,,,,,,,,,,,,"1,339,240.21",,,"168,145,711.65","221,062,903.25","189,584,714.96","188,018,258.01","203,057,092.39","182,094,648.32","182,672,297.33","195,392,478.65","191,768,284.62","220,833,962.92","273,155,603.62","235,125,037.37","274,315,126.89",,,
应收账款,"1,969,630.62","15,180,608.69","17,998,047.70","17,659,428.52","18,913,484.86","26,555,608.34","30,954,153.78","20,030,489.26","20,910,174.44","18,660,434.94","18,824,378.86","20,712,854.48","35,423,691.19","33,900,204.10","46,695,053.56","409,512,174.61","352,101,113.65","543,588,327.68","416,268,273.64","530,113,406.48","376,167,276.81","454,200,810.48","418,923,962.28","540,865,734.65","424,795,946.22","538,584,266.19","526,244,424.09","602,319,268.16","206,440,471.28","210,197,766.01","277,146,812.83"
应付账款,"2,709,267.41","6,792,283.34","6,592,045.70","6,463,971.09","8,891,331.13","10,180,582.94","18,105,834.92","12,171,233.38","15,492,293.41","13,898,764.85","7,390,001.46","12,957,371.48","27,060,898.32","38,321,974.78","50,080,787.91","402,061,935.90","328,167,426.58","485,049,754.13","438,538,300.94","435,604,961.56","417,636,166.48","405,528,057.03","396,712,544.63","468,221,785.37","496,108,434.60","467,676,609.24","416,622,516.03","495,289,585.43","83,469,689.22","102,913,136.62","144,936,024.03"
预付款项,"57,049.10","1,845,740.94","3,082,352.09","7,543,059.23","2,104,997.49","3,263,138.91","4,528,886.19","3,790,235.68","3,858,058.22","3,513,973.91","2,566,030.63","2,203,918.20","110,635.77","1,074,838.50","2,322,449.90","7,625,198.10","2,451,626.42","7,723,988.25","3,547,245.26","3,961,712.93","1,776,642.52","3,240,112.58","3,917,398.45","6,703,641.64","13,014,816.08","16,956,070.60","44,146,869.97","38,913,146.80","20,147,647.77","30,161,884.23","10,923,948.52"
预收款项,"1,754,046.92","2,127,298.00","2,868,677.56","3,408,015.95","2,934,966.48","3,909,440.34","2,873,936.86","4,352,594.48","2,106,818.86","1,601,040.14","1,528,118.83","3,364,863.06","4,315,538.49","3,247,914.31","7,192,801.82","6,478,271.17","6,077,817.26","11,930,106.85","7,461,198.07","7,758,504.61","5,469,370.63","5,449,339.59","11,220,231.39","7,346,977.82","11,701,621.63","10,656,855.72","11,071,952.14","16,542,662.19","11,892,600.45","14,385,172.69","11,053,814.85"
