科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,506,771,471.38","3,135,757,209.65","4,008,523,106.25","930,791,831.11","2,281,416,494.69","3,558,398,340.52","5,115,629,550.89","1,215,400,357.41","2,853,214,880.05","4,414,555,234.90","6,140,986,896.54","1,505,613,918.89","3,308,054,778.28","5,093,790,992.23","7,136,376,982.65","1,913,772,024.47","3,994,601,928.04","6,235,506,734.06","8,738,798,186.77","2,228,211,907.10","4,741,311,235.85"
取得子公司及其他营业单位支付的现金净额,,,,,,,"-441,161.29","-537,355.04",,,,,,,"47,281,667.90","3,536,495.61","3,536,495.61","3,536,495.61","3,536,495.61","17,970,557.99","17,970,557.99"
收到的税费返还,,,,,,,,,,,,"3,632,938.16","3,632,938.16","3,632,938.16","3,632,938.16",,,,"239,046.44",,
支付其他与投资活动有关的现金,,,,,,,,,,,"67,000,000.00",,,,"210,664,561.15","69,869,216.76","144,308,444.35","310,874,135.60","407,684,168.03","5,388,869.17","11,076,797.29"
收到其他与经营活动有关的现金,"27,991,945.37","62,494,792.93","83,876,505.40","18,932,227.99","44,221,095.76","76,974,918.04","24,361,822.51","28,845,504.10","22,016,216.09","35,800,250.78","45,665,815.03","10,821,797.68","32,907,819.53","47,459,223.74","98,331,284.05","50,311,914.90","61,173,917.72","78,060,963.77","123,954,139.88","12,185,529.02","33,478,036.43"
投资活动现金流出小计,"97,582,170.12","103,753,337.69","145,390,125.80","55,962,346.38","83,068,542.65","124,478,439.61","165,131,582.65","51,756,593.98","333,038,408.94","564,850,364.65","767,770,452.28","65,960,278.90","176,089,251.40","205,377,294.99","794,053,031.26","330,117,185.04","491,468,854.84","662,221,927.46","803,993,236.37","1,051,899,844.38","2,152,475,445.39"
经营活动现金流入小计,"2,534,763,416.75","3,198,252,002.58","4,092,399,611.65","949,724,059.10","2,325,637,590.45","3,635,373,258.56","5,139,991,373.40","1,244,245,861.51","2,875,231,096.14","4,450,355,485.68","6,186,652,711.57","1,520,068,654.73","3,344,595,535.97","5,144,883,154.13","7,238,341,204.86","1,964,083,939.37","4,055,775,845.76","6,313,567,697.83","8,862,991,373.09","2,240,397,436.12","4,774,789,272.28"
投资活动产生的现金流量净额,"-97,296,182.86","-103,172,421.39","-145,326,454.83","-55,952,475.98","-82,998,751.55","-124,405,168.43","-164,748,737.18","-51,754,571.98","-332,504,466.98","-564,828,708.46","-755,221,151.47","-17,926,252.30","-127,475,701.13","-156,749,414.82","-668,910,158.00","-9,784,785.13","26,787,693.54","-143,873,977.25","-285,605,068.36","-841,012,300.52","-967,038,821.98"
购买商品、接受劳务支付的现金,"1,585,478,803.03","1,977,755,819.92","2,492,275,294.99","534,310,719.19","1,440,594,484.43","2,316,261,392.72","3,267,062,742.94","885,195,852.83","1,812,012,097.89","2,623,131,991.25","3,760,156,421.62","1,034,228,149.52","2,030,761,032.19","3,132,380,436.77","4,498,796,871.38","1,498,435,772.32","2,796,305,926.21","4,102,089,814.14","5,631,782,577.87","1,641,903,151.94","3,037,078,528.22"
吸收投资收到的现金,,,,,"749,048,700.00","749,048,700.00","749,048,700.00",,,,,,,,,,,,"891,789,993.88","3,487,730.36","3,487,730.36"
支付给职工以及为职工支付的现金,"334,697,134.05","418,884,533.75","570,637,555.08","181,491,979.61","348,864,608.83","531,318,227.89","724,958,113.86","217,348,457.39","442,702,661.57","683,678,050.59","1,025,776,153.22","283,944,756.08","541,041,230.61","817,991,583.31","1,092,849,502.21","315,451,951.73","639,665,236.81","996,442,279.38","1,293,649,853.35","375,634,331.30","714,985,623.99"
取得借款收到的现金,"301,161,888.56","307,000,000.00","250,000,000.00","130,000,000.00","150,000,000.00","150,000,000.00","100,000,000.00","150,000,000.00","333,000,000.00","578,000,000.00","708,000,000.00","794,800,000.00","794,800,000.00","798,867,536.20","684,113.07",,,"548,400,000.00","150,000,000.00",,
支付的各项税费,"183,509,475.40","215,071,654.58","265,847,622.65","64,123,883.71","157,859,205.87","242,531,367.68","354,763,672.77","76,661,190.13","196,980,574.11","290,333,996.98","384,371,292.31","135,703,657.48","277,593,995.39","365,482,842.96","513,764,278.94","83,742,036.20","219,789,447.69","342,539,980.30","477,361,185.79","196,395,158.97","377,886,299.42"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,"31,000,000.00",,
支付其他与经营活动有关的现金,"329,525,265.94","428,874,603.49","535,414,143.29","137,729,560.81","286,801,457.02","489,453,068.11","616,987,995.19","175,071,613.38","450,553,126.67","739,816,755.59","830,588,388.62","200,206,433.84","489,295,020.65","778,835,741.20","940,298,242.13","258,495,220.58","542,562,891.68","848,709,209.46","1,069,041,597.38","280,029,377.60","599,945,740.90"
