科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"3,733,148,779.41","3,227,254,315.42","1,373,632,041.44","2,827,812,435.43","1,376,108,136.56","2,210,495,971.63","3,052,866,820.13","535,109,392.23","1,454,312,248.54","2,638,589,589.23","3,562,680,308.75","501,427,799.93","1,463,836,589.68","2,555,370,299.04","3,474,832,343.23","504,044,314.59","1,436,190,151.58","2,523,182,814.32","3,349,142,763.97","537,579,023.65","1,608,917,613.68","2,852,549,053.79","3,523,776,817.24","641,343,275.39","1,741,036,132.74","2,872,994,670.14","3,516,971,452.24","580,670,671.53","1,641,194,110.34","2,910,773,657.57","3,542,993,773.61","665,530,185.50","1,831,395,445.26","3,093,387,791.19","3,763,608,334.73"
二、营业利润,"233,840,807.74","47,102,149.11","51,951,298.13","112,468,909.58","64,372,529.17","103,096,371.78","111,406,184.55","9,408,110.22","68,493,235.06","101,715,527.85","32,499,756.25","-4,911,516.05","17,807,935.68","27,216,013.75","21,030,554.34","929,480.42","20,873,951.02","42,048,583.58","33,671,166.70","5,134,110.31","38,182,107.69","77,070,508.90","64,794,986.91","2,549,697.41","36,628,035.56","74,486,591.10","61,772,810.56","660,347.03","47,562,590.91","105,619,952.52","28,349,252.43","2,333,022.01","87,657,098.54","187,854,733.79","245,946,084.11"
减:营业成本,"2,449,177,788.76","2,107,311,098.69","848,573,787.67","1,664,028,958.67","813,047,893.82","1,314,084,925.21","1,804,372,438.98","323,697,536.27","860,361,564.72","1,552,327,722.09","2,025,353,250.05","318,212,184.03","892,067,108.98","1,485,583,066.47","1,978,906,061.99","305,815,677.28","869,636,493.15","1,486,481,606.53","1,939,805,910.90","328,968,989.17","964,135,784.85","1,679,906,230.26","2,091,548,362.53","400,967,892.74","1,048,079,707.53","1,698,088,757.33","2,073,408,538.02","348,906,730.44","953,821,798.24","1,714,237,012.29","2,115,440,474.69","417,401,527.48","1,078,825,063.60","1,839,583,379.59","2,290,072,221.28"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"316,445,300.68","282,245,073.93","122,592,724.39","270,327,011.02","128,321,466.30","217,431,826.88","290,307,221.78","57,925,421.61","158,755,979.92","282,620,276.39","363,127,513.27","47,279,267.05","143,137,288.20","252,084,382.24","337,960,956.63","50,970,939.56","142,733,797.84","247,831,695.29","321,560,604.54","50,414,272.07","151,608,801.75","270,189,685.59","335,507,228.55","58,451,592.16","164,772,820.78","274,631,973.49","336,871,919.04","52,369,604.67","147,716,316.47","263,799,285.71","347,695,394.85","67,723,174.56","182,550,470.23","309,731,817.14","378,423,454.39"
营业外收入,"11,289,549.99","33,045,525.40","291,376.43","1,192,141.12","1,121,179.73","1,464,660.56","4,753,281.85","1,093,672.11","2,338,039.87","12,685,099.71","38,059,522.33","12,192,629.16","43,141,751.60","71,221,204.57","73,840,131.36","6,605,100.66","15,534,835.67","22,832,756.93","30,655,839.99","10,005,716.30","222,941,125.57","243,085,760.37","132,726,183.32","31,747,826.79","56,984,662.35","82,136,314.44","160,912,366.73","150,798,225.64","198,073,955.45","492,339,289.15","846,077,809.33","18,453,477.93","30,195,081.82","44,908,592.30","11,077,850.07"
销售费用,"370,890,082.89","408,381,664.55","187,874,146.29","409,187,442.32","200,405,760.79","320,659,786.71","469,615,242.60","70,587,472.19","203,246,693.47","389,591,954.40","601,670,890.07","65,472,130.52","229,716,827.46","418,774,581.17","573,704,287.89","65,937,859.29","218,705,714.21","389,914,287.51","539,019,899.03","75,511,488.92","262,062,542.44","475,183,907.06","586,528,504.26","99,525,541.69","301,035,700.22","493,511,702.04","599,783,615.94","92,229,098.78","297,283,654.96","517,503,211.86","607,188,283.26","101,406,894.42","336,403,945.60","543,310,365.35","655,047,521.84"
减:营业外支出,"5,303,586.98","10,164,819.69","621,367.90","1,157,335.37","608,645.15","677,946.61","773,519.58","89,176.37","219,383.95","391,868.52","894,554.12","409,291.22","2,940,254.68","9,831,587.53","12,780,554.89","156,697.14","211,418.52","357,353.24","3,777,519.33","6,956,671.05","219,316,522.52","238,115,736.84","108,800,678.16","17,604,606.17","30,948,660.24","42,216,635.29","95,900,104.76","134,338,082.95","159,491,943.95","440,482,245.10","711,338,575.33","217,776.69","635,279.44","1,017,759.01","285,065.12"
管理费用,"299,701,647.35","315,962,349.08","124,708,015.49","304,885,698.81","123,579,473.55","212,522,918.29","318,857,026.31","59,262,822.25","133,910,799.71","268,357,635.97","457,373,078.51","59,055,982.76","145,903,988.04","317,190,644.50","495,006,243.67","64,056,188.27","155,615,903.19","314,853,880.87","444,047,036.56","70,613,583.08","183,430,609.70","333,112,805.09","438,686,404.25","87,000,102.81","204,050,217.15","353,806,573.55","469,867,493.24","88,342,263.85","200,954,108.65","324,210,814.93","396,085,690.12","89,622,043.54","201,608,479.87","320,997,185.62","435,184,837.22"
其中:非流动资产处置净损失,"2,236,178.89","9,329,250.23","346,384.36","443,230.20","306,797.98","318,445.73","686,132.04","87,876.37","167,583.95","141,563.80","176,607.36","214,619.29","2,740,269.02","9,393,785.87","12,071,096.92","29,623.22","74,132.64","129,380.18","182,160.68","141,029.34","210,196.12","214,906.15","756,972.56","6,220.28","44,207.91","130,541.28","454,175.57","178,635.48","524,410.39","2,154,786.23","4,490,509.70","217,711.66","623,923.21","753,449.76",
