科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"327,742,449.07","432,061,495.64","597,849,201.89","146,758,726.36","312,039,312.97","491,397,471.21","683,141,160.39","171,906,996.77","384,465,979.68","671,372,626.91","1,055,056,670.89","317,355,537.34","722,934,855.81","1,188,634,036.71","1,805,167,985.08","460,746,308.56","1,457,846,768.55","2,348,358,188.26","3,135,122,919.82","691,877,643.76"
二、营业利润,"106,337,674.22","125,069,174.92","164,783,652.52","40,726,548.51","78,606,908.64","131,921,748.20","176,153,495.37","43,241,879.49","101,166,397.46","173,118,780.60","209,995,294.22","60,299,045.95","127,604,453.64","203,430,435.53","287,357,826.54","78,463,090.23","188,345,325.54","273,744,078.31","341,711,899.74","102,280,768.51"
减:营业成本,"134,109,170.97","181,015,102.32","262,418,273.38","51,397,212.39","119,770,893.63","179,753,323.80","282,017,028.23","66,179,621.53","143,349,932.84","268,386,917.68","484,525,545.51","143,290,459.03","358,665,229.92","632,223,072.84","970,745,582.17","239,728,158.07","944,977,739.78","1,556,765,577.56","2,039,765,449.71","412,318,766.42"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,691,038.29","4,768,690.49","4,826,932.89","2,076,132.67","2,866,549.86","4,525,778.86","6,328,593.93","2,200,624.22","4,041,385.49","6,745,081.58","9,243,286.44","1,519,640.87","3,780,844.57","7,055,570.17","14,112,929.32","1,481,412.97","6,251,792.89","10,705,875.50","17,564,865.58","3,917,080.95"
营业外收入,"8,740,518.84","4,944,883.33","5,864,589.39","520,752.70","3,377,895.37","6,608,611.94","18,123,912.27","1,237,953.71","3,736,530.53","5,942,030.72","18,566,484.86","615,379.39","3,615,216.24","12,860,408.86","2,217,401.47","163,596.59","2,648,969.77","3,049,340.10","226,988.10","158,847.97"
销售费用,"36,341,390.02","59,101,326.19","84,601,082.26","20,231,799.68","56,458,551.76","86,795,488.96","107,398,196.81","27,982,797.60","70,725,763.75","111,140,052.76","151,305,811.31","54,631,656.63","106,553,656.89","154,867,978.89","231,742,700.48","60,922,174.36","137,518,735.72","224,781,308.92","315,854,011.55","62,151,773.93"
减:营业外支出,"564,332.55","887,333.76","3,897,501.90","547,977.20","730,417.85","902,007.60","2,755,690.88","203,175.27","613,972.47","802,011.95","2,496,215.71","135,566.44","174,942.52","684,403.16","1,224,117.29","64,964.21","1,051,134.01","2,132,758.90","1,531,129.31","82,953.80"
管理费用,"41,651,449.99","55,310,973.95","73,014,151.72","29,427,090.02","51,844,361.92","84,694,241.68","111,137,318.68","43,108,521.67","73,429,432.66","119,450,688.97","199,287,482.86","56,649,108.07","122,266,014.36","200,065,866.27","270,818,000.38","80,720,316.81","153,018,489.81","172,856,234.33","225,317,687.53","68,743,689.15"
其中:非流动资产处置净损失,324.80,"1,513.27",,,,,"5,464.31",,,,,,,,,,,,,
