科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"109,918,464.28","128,507,749.65","153,524,155.00","30,101,567.91","87,244,545.60","135,148,067.33","183,509,380.99","41,018,292.57","96,248,549.81","165,784,223.09","297,162,488.45","68,509,272.12","156,201,488.18","248,326,603.11","356,513,569.57","87,829,549.05","201,690,460.27","305,984,986.22","423,449,058.14","92,688,432.47","316,768,792.28","469,080,233.96","620,964,986.18","110,040,363.76","247,824,378.88","490,031,474.63","692,647,141.52","173,333,008.15","396,362,240.41","600,801,647.65","1,034,636,495.38","383,727,164.29","884,348,746.38","1,366,917,185.58","1,981,004,783.01","423,341,340.22","883,657,981.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"19,632,419.71",,,,,,,,"6,869,328.71",,,,,,,,,,,,"782,509,090.80",,,,"245,424,819.60",,
收到的税费返还,"2,496,265.12","3,210,093.95","2,801,107.12","424,641.77","1,926,725.86","4,265,156.31","6,884,768.05","29,880.97","10,714,945.00","15,513,640.29","17,212,447.22","4,988,222.39","8,471,232.08","18,949,236.48","25,916,271.15","5,110,291.92","8,263,223.89","15,089,730.56","20,707,151.36","5,001,098.14","9,738,183.74","18,614,964.46","27,406,618.97","5,614,866.17","10,026,256.95","16,365,405.90","21,838,160.49","6,451,855.17","16,315,546.71","24,315,331.88","30,690,629.69","13,091,757.27","27,785,431.72","37,723,905.90","39,993,283.19","15,260,612.81","30,406,375.71"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"6,900,000.00","9,520,000.00","1,030,000.00","1,198,777.08",,"9,860,824.95","9,077,592.35","11,409,339.66",,"8,528,411.32","2,073,869.32","2,073,869.32","2,073,869.32",,"6,518,928.88",,,,
收到其他与经营活动有关的现金,"2,770,490.23","5,036,808.69","8,788,568.24","936,059.44","7,278,442.22","20,351,264.37","22,849,341.59","1,873,292.81","6,449,076.76","15,101,504.16","14,497,894.45","3,609,458.14","4,984,778.20","11,953,885.59","9,508,698.37","3,239,320.83","4,362,115.41","6,888,871.82","11,195,669.72","5,378,993.55","5,354,692.61","11,063,351.69","14,542,747.22","7,228,992.00","15,576,367.86","17,758,517.44","17,002,452.18","1,423,669.06","5,042,160.39","11,720,257.75","19,769,938.83","14,406,783.22","34,474,036.96","67,259,752.26","61,431,130.62","11,413,184.93","62,433,937.58"
投资活动现金流出小计,"21,596,878.60","15,125,952.25","24,574,134.15","12,207,635.72","31,251,547.33","45,761,664.80","71,115,999.22","19,470,140.54","56,828,131.05","91,164,873.94","116,276,213.30","13,231,495.06","29,964,871.59","41,912,962.61","41,385,608.01","8,096,697.64","11,887,819.96","13,614,079.36","38,894,089.44","24,165,065.33","31,243,282.42","40,982,775.66","73,885,621.01","24,336,880.71","52,069,368.24","61,329,588.67","75,437,414.37","24,160,084.24","31,108,664.43","45,980,576.33","989,385,886.98","126,700,872.76","142,488,188.78","215,755,848.89","1,190,850,170.70","390,477,857.78","1,133,586,378.68"
经营活动现金流入小计,"115,185,219.63","136,754,652.29","165,113,830.36","31,462,269.12","96,449,713.68","159,764,488.01","213,243,490.63","42,921,466.35","113,412,571.57","196,399,367.54","328,872,830.12","77,106,952.65","169,657,498.46","279,229,725.18","391,938,539.09","96,179,161.80","214,315,799.57","327,963,588.60","455,351,879.22","103,068,524.16","331,861,668.63","498,758,550.11","662,914,352.37","122,884,221.93","273,427,003.69","524,155,397.97","731,487,754.19","181,208,532.38","417,719,947.51","636,837,237.28","1,085,097,063.90","411,225,704.78","946,608,215.06","1,471,900,843.74","2,082,429,196.82","450,015,137.96","976,498,295.22"
投资活动产生的现金流量净额,"-21,537,653.60","-15,029,888.90","-24,525,834.15","-12,207,635.72","-31,251,547.33","-45,461,664.80","-70,815,999.22","-19,468,740.54","-56,803,131.05","-91,136,803.94","-116,242,202.30","-13,231,495.06","-29,964,671.59","-41,911,962.61","-41,314,776.03","-7,995,997.64","-10,147,749.52","-13,033,519.36","-37,409,478.12","-16,922,700.34","-30,586,640.43","-40,215,784.29","-66,330,760.35","-24,235,960.05","-51,947,503.24","-61,129,736.67","-74,831,110.68","-24,047,661.24","-22,435,789.46","-43,200,903.94","-979,544,619.85","-47,106,225.91","-136,333,842.76","-206,348,466.59","-366,158,211.21","-4,473,987.39","-258,096,365.90"
购买商品、接受劳务支付的现金,"77,606,400.10","95,378,956.05","94,037,560.02","25,189,843.26","51,292,563.28","84,898,422.08","124,830,026.66","48,394,549.07","110,688,068.53","181,091,955.05","276,830,789.59","55,085,826.82","111,355,831.41","180,071,133.36","248,058,771.73","60,965,606.08","142,097,155.53","219,213,624.73","270,992,559.82","66,771,762.65","223,244,720.86","343,922,365.25","405,940,979.89","69,359,148.18","153,932,590.70","318,843,622.71","418,510,512.91","102,282,718.67","248,239,412.38","392,571,476.11","584,489,947.84","195,954,427.12","495,884,645.69","699,926,196.94","950,115,556.89","238,447,186.46","478,929,909.02"
吸收投资收到的现金,"9,000,000.00",,,"259,900,000.00","259,900,000.00","259,900,000.00","252,795,464.34","4,900,000.00","4,900,000.00","12,156,000.00","10,530,000.00",,,,,,,,"12,394,368.00",,,,,"13,780,348.00","13,780,348.00","13,780,348.00","14,790,556.00",,"6,647,014.63","6,647,014.63","1,215,761,355.85","4,699,925.70","8,600,093.82","15,559,360.32","18,326,303.37","4,124,383.18","5,238,105.24"
