科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,867,171,533.95","3,230,373,939.77","4,362,411,055.63","2,070,270,765.56","2,724,467,718.99","3,757,925,857.54","991,302,576.21","1,887,343,756.09","2,595,637,093.31","3,463,059,410.98","747,461,669.59","1,524,520,012.23","1,980,533,501.85","2,582,689,436.83","545,260,252.94","1,370,033,420.27","2,150,429,754.37","3,158,338,523.54","842,026,064.71","1,565,308,385.64"
取得子公司及其他营业单位支付的现金净额,,"17,614,953.20","820,261.86",,,,,,,,,"52,202,669.39","51,664,296.86","51,334,296.86",,,"612,897.10","603,684.58",,
收到的税费返还,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"200,000,000.00","200,000,000.00","200,000,000.00","100,000,000.00","100,000,000.00","275,000,000.00","425,000,000.00","573,000,000.00","148,000,000.00","148,000,000.00","148,000,000.00","198,000,000.00",,
收到其他与经营活动有关的现金,"8,420,251.30","9,152,016.22","11,495,378.49","9,642,016.33","1,531,549,708.16","18,183,951.40","15,503,611.61","24,061,529.98","25,939,317.22","16,467,326.04","2,105,015.76","22,843,856.68","29,245,270.13","37,155,572.30","39,676,746.48","60,705,192.63","67,285,034.09","39,144,417.02","55,946,173.70","35,968,791.71"
投资活动现金流出小计,"12,975,601.04","101,000,542.24","8,009,701.86","50,282,187.12","51,608,030.89","54,055,385.89","201,513,446.48","214,049,068.89","230,981,122.45","144,982,658.16","120,435,567.00","353,374,515.68","510,622,747.20","657,794,094.25","151,860,022.62","152,964,089.35","155,214,856.65","209,711,948.18","217,491,557.98","218,529,474.68"
经营活动现金流入小计,"2,875,591,785.25","3,239,525,955.99","4,373,906,434.12","2,079,912,781.89","4,256,017,427.15","3,776,109,808.94","1,006,806,187.82","1,911,405,286.07","2,621,576,410.53","3,479,526,737.02","749,566,685.35","1,547,363,868.91","2,009,778,771.98","2,619,845,009.13","584,936,999.42","1,430,738,612.90","2,217,714,788.46","3,197,482,940.56","897,972,238.41","1,601,277,177.35"
投资活动产生的现金流量净额,"-12,975,601.04","-101,000,542.24","-4,759,701.86","-49,992,402.51","-51,318,030.89","-53,685,601.28","-201,513,446.48","-212,864,411.36","-226,092,738.16","-136,895,866.98","-119,587,895.77","-50,966,536.23","-132,647,644.46","-128,702,130.78","-2,584,392.48","145,808,288.43","143,556,433.75","89,074,818.60","-217,491,557.98","-168,485,474.68"
购买商品、接受劳务支付的现金,"2,656,703,408.94","2,954,173,607.53","3,621,746,992.27","1,627,242,780.66","2,357,494,374.81","3,358,283,084.33","918,907,557.29","1,797,469,272.88","2,363,915,900.92","3,172,707,349.64","591,580,232.57","1,245,865,221.39","1,527,820,560.49","2,063,612,932.99","499,897,866.69","1,001,485,416.80","1,657,514,472.45","2,967,955,423.24","781,088,835.77","1,517,413,466.65"
吸收投资收到的现金,,,,,,"413,145,600.00",,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"18,877,959.36","24,815,260.98","32,215,787.12","17,471,569.90","26,261,884.01","34,738,081.47","9,315,269.26","17,738,591.49","26,495,780.16","35,811,714.09","9,488,602.23","17,590,224.37","25,553,012.42","34,581,125.25","9,337,188.12","17,682,355.01","29,547,211.08","40,929,748.12","11,647,342.67","24,215,571.26"
取得借款收到的现金,"485,000,000.00","928,430,000.00","412,800,000.00","197,100,000.00","356,500,000.00","652,500,000.00","80,000,000.00","150,000,000.00","340,000,000.00","709,533,027.00","80,000,000.00","395,000,000.00","585,000,000.00","927,626,888.88","165,000,000.00","285,000,000.00","465,000,000.00","735,000,000.00","205,000,000.00","469,000,000.00"
支付的各项税费,"65,704,878.79","71,011,981.26","95,396,128.09","39,319,977.52","67,202,211.96","80,311,983.25","19,478,171.82","39,775,360.90","48,245,497.94","60,270,910.62","16,955,884.89","39,872,044.64","69,616,485.25","80,202,388.21","6,483,287.26","14,918,174.50","31,503,236.69","49,329,691.71","11,319,010.61","26,803,175.05"
收到其他与筹资活动有关的现金,,,,"17,940,000.00","17,940,000.00","17,940,000.00",,"42,287,300.00","36,406,400.00","18,811,100.00","5,145,974.72","75,490,240.00","65,271,417.50","71,121,707.00","3,300,000.00",,,"80,000,000.00","5,680,000.00","45,709,281.25"
支付其他与经营活动有关的现金,"45,334,953.94","21,048,176.62","25,828,314.74","41,578,257.54","1,691,446,675.75","53,388,080.82","22,029,749.04","34,667,145.62","150,758,135.50","116,332,327.26","57,050,571.84","46,914,620.04","95,019,191.76","39,740,095.50","7,829,613.21","19,538,894.47","82,584,967.57","63,351,706.69","13,990,270.75","27,673,925.56"
