科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"429,386,179.04","511,086,075.27","667,092,717.22","162,279,495.09","313,783,225.67","461,754,547.21","652,164,708.41","162,103,719.62","354,728,143.49","548,034,431.39","815,376,677.90","213,352,528.98","447,282,728.81","677,735,872.50","930,348,525.27","222,619,643.31","476,871,008.10","793,627,004.14","6,665,600,699.42","1,466,100,665.17"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"29,732,286.27","24,602,925.35",,,"631,229.92","10,631,229.92",,,"2,707,302.72","2,707,302.72",
收到的税费返还,"1,875,418.81","4,453,755.09","2,648,336.36","1,047,084.53","1,577,918.47","2,102,919.07","2,102,919.07","256,666.67","778,750.01","1,825,833.34","3,823,086.68","2,930,400.00","4,771,800.00","7,233,600.00","10,388,400.00","1,425,600.00","3,729,000.00","6,177,600.00","332,979,439.61","77,575,291.56"
支付其他与投资活动有关的现金,,,,,,,"669,000.00",,,"1,230,223.05","1,776,250.35",,,,,,,,"87,990,500.00",
收到其他与经营活动有关的现金,"14,556,778.69","18,347,432.96","18,996,687.04","2,712,366.92","10,660,228.46","13,139,914.16","17,190,323.20","1,223,547.71","832,205.46","15,865,233.92","1,322,433.32","2,065,472.55","3,394,174.36","39,336,814.85","40,074,304.30","16,073,873.15","16,150,073.97","18,697,509.91","139,222,289.58","23,651,265.94"
投资活动现金流出小计,"45,811,278.95","33,834,222.49","56,761,430.53","8,246,483.57","12,182,113.57","19,554,656.68","95,838,131.57","8,773,605.00","15,553,509.63","53,345,687.32","60,999,687.98","89,319,050.08","93,541,215.62","114,551,114.92","115,146,734.64","4,480,041.05","7,860,863.59","12,892,899.53","454,313,255.17","105,640,293.26"
经营活动现金流入小计,"445,818,376.54","533,887,263.32","688,737,740.62","166,038,946.54","326,021,372.60","476,997,380.44","671,457,950.68","163,583,934.00","356,339,098.96","565,725,498.65","820,522,197.90","218,348,401.53","455,448,703.17","724,306,287.35","980,811,229.57","240,119,116.46","496,750,082.07","818,502,114.05","7,137,802,428.61","1,567,327,222.67"
投资活动产生的现金流量净额,"-45,775,905.95","-33,834,222.49","-56,744,630.53","-8,045,983.57","-11,293,503.98","-18,666,047.09","-94,013,718.42","-8,088,854.86","56,314,185.72","17,967,595.70","10,958,295.04","-89,319,050.08","-93,528,229.30","-114,535,128.60","-115,080,754.03","-4,367,183.41","-7,749,027.58","-12,768,365.09","-442,816,317.88","-52,875,145.08"
购买商品、接受劳务支付的现金,"389,467,259.15","449,744,048.10","598,303,915.03","165,308,837.75","322,780,499.65","452,520,706.96","584,726,126.97","173,780,909.62","311,801,429.78","489,518,943.57","714,674,385.22","203,369,769.96","399,478,259.41","602,761,830.72","864,818,411.07","260,138,704.11","454,439,254.21","720,504,981.00","5,369,593,096.11","1,167,925,821.56"
吸收投资收到的现金,,,,"276,992,000.00","276,992,000.00","276,992,000.00","276,992,000.00",,,,,,,,,"2,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","499,591,184.98"
