科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"234,857,100.23","260,773,408.73","481,217,671.51","243,612,241.24","388,321,024.04","457,259,924.77","637,734,849.53","580,612,500.55","1,000,263,738.11","665,014,675.61","751,562,173.64","417,793,360.77","418,194,339.03","531,204,699.66","586,935,049.53","264,732,979.06","498,955,164.26","545,598,771.21","332,971,807.16","382,426,076.61","511,048,356.48","623,384,107.29","364,124,926.31","727,945,749.00","834,050,729.91","498,539,072.37","855,650,084.83","1,016,862,646.84","1,279,760,725.39","969,867,267.63","1,121,781,202.16","1,432,860,120.19","1,928,359,307.23","1,577,891,044.16","1,292,714,031.70","1,061,612,553.38","1,038,127,893.96","2,632,417,556.87","1,757,400,715.56","3,652,976,614.92","1,691,158,641.92","1,540,437,341.76","1,930,743,075.39"
短期借款,"641,730,000.00","783,730,000.00","912,688,211.34","1,020,107,498.47","1,201,730,004.40","1,174,634,260.80","1,436,648,348.47","1,611,286,666.67","1,972,171,983.43","1,564,603,856.83","1,730,027,637.70","1,788,026,777.88","1,301,345,418.20","1,213,273,075.27","1,064,321,241.23","889,868,873.81","844,199,994.75","926,315,132.51","980,247,692.64","942,815,401.51","807,585,936.24","873,279,180.25","1,036,751,973.09","950,000,000.00","548,262,242.05","658,150,863.91","506,000,000.00","915,193,800.00","1,384,265,242.40","1,145,302,880.00","1,272,305,000.00","1,570,190,000.00","1,983,190,000.00","1,275,502,960.00","1,178,278,700.10","1,119,338,212.79","1,902,978,807.94","2,149,763,852.89","2,846,839,966.20","2,668,242,924.84","3,165,128,539.49","3,995,393,834.05","3,772,887,042.11"
交易性金融资产,,"3,064,935.90",,,,,,,,,,,,,,,,,,,,,"29,537,154.24",,,,"80,000,000.00","62,273,826.32","31,867,239.01","29,919,413.98","29,209,038.59","21,422,055.75","23,206,271.60","21,137,179.71","17,635,938.48","17,949,352.45","647,700.00",,"531,695,130.00","1,011,200.00","1,011,200.00",,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"116,060.00",,,,"10,562,280.00",,,"3,937,540.00","688,060.00",,,"1,922,650.00","248,300.00","2,619,960.00","16,248,300.00","10,383,598.00","4,634,370.00"
应收票据,,"4,600,000.00","10,592,500.00","9,032,500.00","17,075,881.90","18,084,694.07","32,151,373.36","17,413,387.66","18,653,393.71","29,206,449.03","36,280,437.89","25,677,265.44","2,517,100.00","16,474,427.50","39,517,827.50","36,223,277.74","19,410,543.25","50,649,853.25","134,910,138.42","114,735,580.29","35,548,996.70","44,771,410.00","89,362,282.63","49,515,664.65","12,091,000.00","19,035,052.69","38,175,542.32","23,146,055.80","6,974,840.00","22,040,975.00","17,984,043.01","25,923,057.01","17,827,405.98","11,747,753.06","8,178,457.67","5,784,755.28","173,839,581.09","191,588,091.87","484,763,806.92","565,693,465.94","623,120,039.09","601,243,812.86","838,776,261.06"
应付票据,"57,962,350.90","102,332,665.66","89,471,373.00","121,078,976.41","240,533,198.90","283,689,917.75","287,106,871.92","255,417,293.10","146,501,840.32","65,841,778.52","109,485,628.53","204,784,200.00","191,078,200.00","158,214,335.60","60,471,335.60","63,110,000.00","73,120,000.00",,,,,,,,,,,,,,,,,,,,"365,671,328.20","83,022,500.00","787,779,984.62","690,011,907.67","768,651,438.95","935,966,660.96","1,108,360,560.30"
应收账款,"139,626,009.63","312,050,119.18","423,702,598.64","335,069,141.62","176,063,224.34","330,011,057.46","588,211,463.51","423,647,610.84","252,835,151.30","321,394,329.35","510,670,192.31","433,368,140.17","330,294,080.16","463,488,341.23","545,481,129.75","375,036,187.79","235,591,024.36","354,274,758.22","490,805,856.08","303,527,684.95","279,785,065.78","324,619,135.60","461,009,321.26","356,819,824.75","290,290,541.65","258,886,021.23","404,354,322.01","340,373,180.46","257,442,264.78","319,323,280.67","441,101,644.74","384,135,667.23","265,878,901.02","368,578,687.39","422,067,731.29","413,619,444.54","351,866,872.24","590,375,012.65","974,471,450.34","576,193,403.94","698,322,664.13","723,344,088.34","896,743,981.27"
应付账款,"299,487,841.54","421,125,439.06","556,138,919.57","429,815,266.65","634,409,140.14","953,737,812.37","1,090,042,533.12","469,458,641.95","616,675,063.47","770,680,404.85","836,146,060.90","580,609,445.24","471,675,360.99","625,758,318.81","764,939,271.57","466,882,667.62","429,643,712.34","665,981,462.56","861,031,546.01","580,981,204.96","510,500,764.50","814,990,846.78","920,796,613.97","468,770,423.67","646,426,215.99","848,648,313.78","1,065,071,196.29","728,415,931.55","581,492,193.01","1,082,763,299.28","809,304,466.50","556,578,654.83","589,107,290.59","959,376,521.96","896,642,502.73","405,884,813.27","744,329,584.65","1,454,103,422.26","2,140,519,220.69","1,622,905,871.70","1,927,557,037.78","1,950,692,418.20","2,191,630,838.82"
预付款项,"91,452,997.23","87,702,825.52","92,307,194.14","62,698,281.39","443,575,990.50","455,547,574.14","376,522,614.95","166,683,664.49","74,618,030.55","268,022,619.28","290,563,776.36","177,869,090.58","122,220,382.27","147,345,797.90","149,568,876.05","61,467,423.76","85,763,458.79","75,147,399.87","91,892,204.60","80,661,063.10","145,209,623.27","181,296,965.46","134,551,175.68","84,237,997.88","133,193,949.57","155,958,082.18","146,949,798.85","138,785,482.18","207,756,563.80","179,618,495.83","171,113,572.05","65,296,587.46","65,684,608.62","168,437,919.74","166,006,703.23","62,680,230.61","140,110,541.66","107,457,373.85","282,684,230.79","201,784,271.09","632,376,780.16","408,679,354.45","306,291,673.89"
预收款项,"215,601,032.29","184,491,565.29","76,053,868.63","87,811,113.31","487,160,581.16","468,475,512.83","342,392,606.73","89,814,279.80","433,402,080.57","302,545,290.60","110,884,722.69","128,057,537.98","401,408,354.00","377,693,894.65","77,646,242.80","150,749,083.34","445,761,226.54","514,377,264.76","129,786,753.10","200,492,620.10","802,602,032.41","641,616,897.69","144,693,181.80","298,149,480.48","984,855,428.20","808,298,289.52","178,084,755.66","370,741,543.08","888,659,327.94","859,921,123.54","224,646,696.22","504,029,246.79","985,731,620.15","1,033,243,160.43","370,210,768.41","684,222,643.69","1,419,688,662.57","1,479,239,506.88","562,630,567.10","942,815,301.54","1,536,089,810.72","1,311,952,698.19","714,951,886.44"
