科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,704,587,021.51","1,857,331,788.97","1,321,711,346.22","1,025,938,505.33","2,233,047,325.84","500,185,592.10","1,249,188,028.26","1,944,881,815.77","2,650,726,158.89","633,336,324.87","1,365,231,659.29","2,011,041,469.02","2,672,087,203.29","624,635,286.62","1,390,077,326.16","2,182,676,261.08","2,715,000,805.71","749,010,857.81","1,668,972,001.58","2,588,262,011.33","3,183,745,839.51","881,578,726.17","1,591,252,362.59","2,563,014,271.00","3,344,213,801.63","786,847,784.21","1,569,469,003.69","2,846,936,260.29","4,633,848,147.06","1,419,224,456.48","3,019,372,973.98","4,514,253,899.99","6,140,315,952.57","1,339,307,770.19","3,076,134,627.00","4,758,558,786.53","6,786,322,804.80","1,371,216,024.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,210,990,713.80","1,212,032,457.15",,,,,,,,"40,175,357.61",
收到的税费返还,"235,060.03",,"17,575,150.46","5,168,506.70","11,224,075.56","690,599.32","1,016,223.78",,"1,016,223.78",,,,"2,989,108.20",,,,"1,177,109.92",,"640,000.00","640,000.00","884,908.54",,,,"169,365.80","2,555.53","2,555.53","64,790,258.69","94,736,330.04","26,943,724.25","37,781,964.96","46,269,139.71","63,317,254.25","42,075,968.71","81,874,058.90","197,355,784.01","95,624,369.28","24,466,293.20"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"4,865,270.76",,,,,,,,,,,,,,,"22,097,679.05","100,758,756.40",,,,,,,,,
收到其他与经营活动有关的现金,"67,000,845.62","146,185,890.58","34,110,588.63","55,305,542.00","76,608,298.56","8,513,483.22","25,349,487.48","30,356,190.97","38,609,494.24","20,962,068.47","19,840,285.37","24,175,090.07","72,716,139.56","17,369,267.70","10,140,782.76","23,491,691.24","79,717,439.62","10,558,826.02","25,872,300.03","35,304,533.95","130,514,283.42","20,417,961.24","33,037,604.46","51,783,538.98","108,844,248.23","2,636,433.69","12,956,677.08","18,377,836.62","126,610,097.72","11,374,191.71","15,559,198.00","59,523,597.69","126,323,251.24","77,088,903.60","56,975,477.29","52,767,242.18","124,735,331.04","14,672,659.88"
投资活动现金流出小计,"42,884,215.76","34,721,397.25","89,296,734.34","118,296,028.93","157,078,056.21","42,340,787.12","88,755,172.69","198,128,984.80","324,463,033.14","97,983,044.15","163,673,723.22","295,426,328.58","463,201,366.11","95,545,231.24","247,794,431.12","306,513,290.93","251,465,301.04","51,486,174.68","77,422,537.06","89,801,852.28","225,301,496.46","32,088,487.84","260,583,695.24","286,211,959.97","722,052,098.02","34,248,225.48","56,733,516.52","1,692,099,574.74","2,133,824,600.55","120,549,491.79","250,547,342.38","337,383,835.55","652,360,427.26","42,874,393.70","251,206,010.43","304,887,944.99","566,325,826.53","118,312,091.24"
经营活动现金流入小计,"1,771,822,927.16","2,003,517,679.55","1,373,397,085.31","1,086,412,554.03","2,320,879,699.96","509,389,674.64","1,275,553,739.52","1,975,238,006.74","2,690,351,876.91","654,298,393.34","1,385,071,944.66","2,035,216,559.09","2,747,792,451.05","642,004,554.32","1,400,218,108.92","2,206,167,952.32","2,795,895,355.25","759,569,683.83","1,695,484,301.61","2,624,206,545.28","3,315,145,031.47","901,996,687.41","1,624,289,967.05","2,614,797,809.98","3,453,227,415.66","789,486,773.43","1,582,428,236.30","2,930,104,355.60","4,855,194,574.82","1,457,542,372.44","3,072,714,136.94","4,620,046,637.39","6,329,956,458.06","1,458,472,642.50","3,214,984,163.19","5,008,681,812.72","7,006,682,505.12","1,410,354,977.38"
投资活动产生的现金流量净额,"-42,658,023.73","-32,454,737.66","-80,494,893.32","-118,147,898.71","-156,802,980.70","-41,316,144.16","-86,471,426.84","-198,092,361.48","-312,282,480.08","-97,983,044.15","-163,673,723.22","-295,426,328.58","-424,667,059.15","-95,415,428.74","-247,657,628.62","-305,627,727.32","-224,562,856.69","-51,486,174.68","-77,422,537.06","-89,801,852.28","-222,515,535.25","-32,088,487.84","-258,917,028.58","-284,682,169.01","-225,154,870.13","-34,245,798.30","-56,731,089.34","-1,692,097,147.56","-2,121,733,843.04","-120,543,415.75","-51,491,803.00","-138,065,574.57","-155,499,748.92","-42,874,393.70","-251,158,706.43","-304,840,640.99","-566,120,601.70","-118,312,091.24"
购买商品、接受劳务支付的现金,"1,521,798,154.90","1,592,680,608.83","1,186,827,456.17","911,584,951.81","2,018,673,871.24","509,427,823.72","1,284,996,939.15","1,869,676,600.60","2,361,469,573.96","719,936,759.35","1,342,671,691.96","2,022,795,292.38","2,358,234,107.99","679,375,526.07","1,361,373,673.10","2,135,713,264.07","2,730,619,617.02","744,523,849.94","1,674,057,485.14","2,539,957,464.05","2,872,586,699.24","837,863,812.18","1,382,166,919.70","2,320,519,214.06","2,773,158,456.46","684,581,403.80","1,330,518,066.84","2,323,132,114.46","3,983,543,593.12","1,327,674,560.65","2,627,258,625.92","4,181,904,636.70","5,303,067,433.00","1,408,256,404.33","2,703,641,693.91","4,131,498,903.82","5,644,287,649.38","1,378,577,946.97"
吸收投资收到的现金,,"15,212,400.00","18,593,164.42",,,"1,414,591,227.15","1,414,591,227.15","1,414,739,727.15","1,421,750,000.00",,,,,,,,,,,,,,,,,,,"1,801,354,949.68","1,760,810,057.49",,,"11,301,510.83",,,,,,
