科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,088,472,581.69","2,245,835,683.31","5,361,554,363.80","1,235,702,735.02","2,585,499,777.30","3,939,051,343.94","5,469,640,226.43","909,902,428.81","1,937,599,216.19","2,987,447,763.13","4,149,143,218.04","1,243,364,364.02","2,611,487,916.96","3,989,983,150.21","5,568,452,607.98","1,081,110,336.35","2,615,234,409.63","4,174,393,461.33","5,929,160,117.73","929,279,477.38","2,507,128,550.37","3,807,176,690.09","5,732,116,112.89","1,162,904,669.83","2,624,627,828.85","3,935,859,851.62","5,797,617,498.58","1,313,657,336.04","2,781,458,877.15","3,990,377,810.99","5,777,576,232.63","1,350,167,238.06","2,812,788,566.24","3,975,849,700.40","5,840,595,229.28","1,049,817,449.36","2,139,732,791.23","3,360,891,255.80","4,750,509,492.11","1,271,949,254.06","2,545,867,527.80","3,916,257,522.95","5,499,472,798.93","1,273,004,500.45"
二、营业利润,"21,366,800.66","50,745,904.25","110,546,970.69","9,980,051.44","14,559,025.17","26,282,924.02","9,267,556.11","95,724.15","7,776,982.86","1,489,834.09","46,939,118.86","1,764,373.32","103,399.20","-9,544,963.92","-31,359,407.59","614,849.96","-572,195.68","-2,494,301.57","58,743,017.63","3,998,608.60","12,992,963.27","14,742,474.29","67,287,660.08","32,133,127.75","350,099,562.63","376,960,300.79","395,049,712.40","29,860,759.73","60,446,047.36","100,186,260.32","123,492,148.27","32,998,839.65","74,292,384.00","87,354,294.92","91,789,339.21","29,884,919.62","56,103,032.68","80,552,842.98","117,384,686.68","22,246,718.60","44,352,636.73","89,979,634.83","124,137,586.19","36,624,429.93"
减:营业成本,"1,010,845,960.56","2,147,329,453.03","5,072,466,140.42","1,128,772,268.62","2,359,323,237.30","3,602,542,377.17","5,002,683,620.89","838,161,174.74","1,775,296,286.52","2,757,894,672.07","3,802,443,943.48","1,142,402,607.78","2,397,353,427.23","3,683,554,888.30","5,128,928,961.32","988,965,852.11","2,384,888,728.00","3,802,057,815.54","5,465,195,608.05","830,696,416.50","2,294,297,930.00","3,492,959,105.76","5,250,621,077.07","1,041,389,644.89","2,402,210,951.23","3,596,233,121.02","5,312,439,557.95","1,189,492,394.84","2,556,491,625.23","3,631,890,923.84","5,281,410,009.68","1,232,699,815.93","2,569,795,878.01","3,620,812,605.34","5,328,162,579.53","944,714,150.92","1,925,358,831.68","3,035,055,974.25","4,228,216,894.43","1,165,347,367.01","2,335,440,866.32","3,592,170,549.50","4,995,654,404.90","1,148,518,628.80"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"411,646.54","548,049.47","1,988,448.39","720,164.89","7,283,204.65","9,750,651.36","13,115,449.40","1,066,293.81","2,369,359.94","3,774,377.29","7,054,655.87","2,023,357.65","6,292,305.67","9,372,585.05","16,059,190.17","2,764,725.28","7,887,275.15","10,223,181.16","30,420,998.80","2,181,975.88","4,765,075.27","6,318,826.85","8,262,707.19","1,438,281.64","2,777,325.20","4,796,919.45","6,927,039.29","1,322,136.33","3,579,607.77","4,316,128.07","8,641,110.65","1,672,749.08","3,421,766.09","4,896,916.73","8,492,204.28","706,731.29","2,547,301.18","3,514,966.50","12,336,844.88","2,776,159.93","5,519,426.72","9,734,077.24","12,725,097.20","3,293,758.31"
营业外收入,"1,672,671.69","3,758,889.09","10,655,808.59","2,772,785.56","4,558,807.27","5,327,262.64","20,209,837.58","2,619,374.18","4,142,476.91","7,137,040.78","68,017,202.65","4,031,886.03","15,087,409.69","17,890,300.84","73,309,504.94","7,993,412.68","12,651,047.80","16,656,889.19","21,465,439.87","1,226,644.30","3,586,763.08","5,533,089.77","7,353,364.93","1,467,399.10","2,981,662.99","3,678,480.27","6,922,169.04","948,766.55","2,399,306.44","2,626,985.69","6,637,843.33","822,230.54","3,309,743.58","5,221,175.43","56,466,026.30","613,778.14","2,984,618.00","7,734,474.37","12,569,779.14","12,085,848.68","25,814,532.96","26,687,993.86","18,667,375.32","10,689.25"
销售费用,"42,568,071.94","99,974,264.56","194,086,975.49","48,980,246.29","101,027,655.57","150,218,428.39","198,058,411.35","40,908,886.21","88,387,848.60","129,827,630.11","190,207,409.67","44,881,736.67","91,621,691.87","148,446,263.08","212,874,795.40","48,468,628.16","107,907,946.54","167,992,853.36","226,266,330.18","49,376,839.15","93,318,365.29","143,757,767.41","210,378,354.36","51,635,542.69","101,792,092.71","153,504,309.26","222,506,898.82","52,126,086.21","101,393,667.86","159,814,698.77","240,055,656.54","60,531,411.84","116,933,123.02","179,549,726.65","264,892,522.27","60,528,987.53","119,628,634.10","176,014,438.66","264,492,124.00","59,362,116.18","116,758,729.57","177,935,739.11","268,087,293.08","57,009,630.41"
减:营业外支出,"525,168.93","872,693.26","3,611,657.38","734,787.06","2,165,134.94","2,793,024.79","3,257,366.04","973,345.87","53,616,746.17","55,103,653.76","58,534,041.40","380,156.63","1,073,437.13","2,339,066.03","8,509,476.21","260,424.68","797,512.65","1,602,298.87","5,527,530.92","166,657.18","1,511,930.66","2,388,205.96","5,080,129.55","201,192.40","453,078.20","953,028.75","1,599,976.20","369,160.51","686,221.91","1,902,657.17","3,295,668.40","145,165.50","906,851.82","1,152,659.20","3,296,351.81","75,916.06","165,940.48","333,599.94","1,799,609.51","330,800.50","1,033,007.17","1,595,794.48","1,367,861.13","147,541.95"
管理费用,"23,246,460.93","54,866,693.92","122,281,831.32","21,030,771.80","60,705,325.01","91,829,998.21","159,557,807.87","32,049,736.64","68,852,898.95","98,374,405.44","147,314,749.27","35,603,786.82","70,996,410.59","105,952,890.05","153,949,268.09","29,730,850.97","73,972,887.17","113,329,604.36","170,112,655.05","30,450,062.25","70,202,017.27","105,251,590.68","147,733,734.03","37,214,780.55","72,078,596.28","101,073,885.76","136,053,688.32","23,796,301.39","49,808,142.34","78,057,624.01","114,732,290.26","24,211,388.96","46,168,567.47","76,700,272.55","129,228,678.78","22,064,173.20","49,846,936.60","75,610,357.63","127,212,697.52","20,433,076.68","45,689,187.21","75,654,291.89","126,578,159.90","22,337,374.42"
其中:非流动资产处置净损失,,,,,,,,,"157,582.74","157,582.74","723,843.80","6,253.62","35,974.91","39,447.38","5,258,762.49","1,227.54","50,916.70","235,032.71","401,838.43","21,312.45","203,376.09","204,742.41","2,250,683.45","66,808.13","205,841.26","219,221.52","334,518.11","39,960.24","158,774.05","467,592.01","485,739.54","35,082.92","681,125.24","729,978.13","1,175,827.91","25,642.64","51,186.77","95,187.69","356,619.57","326,528.55","332,125.16","390,287.13",,
