科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"243,531,051.49","296,100,303.04","230,724,660.46","45,899,650.51","134,726,932.12","200,128,951.83","298,347,668.21","45,357,756.48","222,713,961.15","363,388,299.47","513,972,724.78","97,331,433.32","263,090,018.78","390,692,086.92","510,973,972.72","73,098,985.74","277,737,385.95","550,230,382.73","885,480,623.23","122,373,413.97","355,933,052.57","650,280,843.29","911,946,428.62","93,111,015.77","304,157,701.34","509,466,075.02","668,225,879.84","64,949,173.34","211,359,744.14","428,034,506.04","632,837,773.55","122,910,298.54","239,962,826.72","522,327,722.11","706,767,835.70","159,483,876.23","406,098,230.00"
取得子公司及其他营业单位支付的现金净额,"10,322,071.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"563,290.00","191,596.00",,,,"192,225.41",,,,,,,,,,,,,,,,,"4,095.38",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,"5,000,000.00",,"860,420.21",,,"20,000,000.00","677,000.00",,,"166,164,140.24",,,,"35,868,418.65",,,,"5,800,000.00",,,,"2,300,000.00",,,,"500,000.00",,,,"3,000,000.00",,
收到其他与经营活动有关的现金,"2,506,486.17","546,203.95","3,401,403.48","922,236.70","2,402,116.84","3,692,328.03","15,797,769.14","2,770,707.08","8,602,904.86","16,475,597.19","23,665,920.34","13,647,911.02","11,839,416.06","19,972,764.98","23,815,930.91","22,250,397.32","68,155,795.09","81,450,353.23","22,902,664.79","10,102,615.02","12,670,791.05","23,769,563.32","12,836,314.64","10,864,612.68","15,192,248.80","48,014,404.21","27,333,556.77","1,612,322.10","7,088,481.40","22,075,370.82","31,643,719.83","25,282,638.17","28,394,358.23","22,918,388.18","7,466,396.10","2,899,302.39","13,045,771.43"
投资活动现金流出小计,"22,819,962.37","34,660,177.73","13,412,227.39","2,145,076.04","13,377,626.29","29,114,665.90","48,320,841.11","8,072,466.58","61,450,422.81","77,353,935.14","114,998,930.99","2,977,789.45","10,111,678.74","146,767,928.98","297,287,432.62","4,624,848.00","15,705,025.71","37,352,891.51","115,842,681.19","44,811,455.07","91,206,944.26","96,539,826.10","129,609,373.67","8,751,632.24","27,062,840.11","115,550,101.66","121,661,556.16","18,408,278.76","22,664,882.87","33,390,518.43","34,396,336.94","9,749,420.64","63,797,208.68","72,830,188.26","71,670,516.62","7,168,517.58","37,913,694.14"
经营活动现金流入小计,"246,600,827.66","296,838,102.99","234,126,063.94","46,821,887.21","137,129,048.96","204,013,505.27","314,145,437.35","48,128,463.56","231,316,866.01","379,863,896.66","537,638,645.12","110,979,344.34","274,929,434.84","410,664,851.90","534,789,903.63","95,349,383.06","345,893,181.04","631,680,735.96","908,383,288.02","132,476,028.99","368,603,843.62","674,050,406.61","924,786,838.64","103,975,628.45","319,349,950.14","557,480,479.23","695,559,436.61","66,561,495.44","218,448,225.54","450,109,876.86","664,481,493.38","148,192,936.71","268,357,184.95","545,246,110.29","714,234,231.80","162,383,178.62","419,144,001.43"
投资活动产生的现金流量净额,"-21,766,049.01","-34,630,177.73","-13,406,227.39","-2,145,076.04","-13,377,626.29","-29,114,665.90","-46,370,841.11","-8,072,466.58","-61,450,422.81","-77,353,935.14","-114,968,930.99","-2,977,789.45","-10,111,678.74","-144,226,528.98","-296,150,027.48","-4,372,906.09","-15,705,025.71","-37,352,891.51","-115,657,108.19","-44,811,455.07","-84,206,944.26","-89,539,826.10","-129,183,373.67","-8,751,632.24","-27,062,840.11","-115,550,101.66","-121,597,806.16","-18,408,278.76","-18,664,882.87","-29,390,518.43","-30,309,136.94","-9,749,420.64","-63,797,208.68","-72,630,188.26","-66,277,266.13","-6,968,517.58","-32,913,694.14"
购买商品、接受劳务支付的现金,"136,677,758.65","181,427,196.82","110,639,102.97","26,973,212.36","66,863,034.85","114,611,102.91","177,793,776.16","47,319,197.20","153,279,428.12","260,253,767.99","349,523,921.13","59,473,404.40","151,133,943.54","221,287,005.57","253,957,777.73","69,118,754.89","129,742,756.07","282,388,929.29","413,855,172.94","62,061,739.51","89,003,334.07","189,669,068.20","355,134,446.70","49,411,322.70","120,231,293.70","198,953,515.16","265,294,234.65","30,518,719.88","101,425,768.22","189,216,766.06","239,758,906.64","57,967,297.24","108,532,071.32","221,436,173.21","263,465,774.48","98,436,474.28","166,007,582.95"
吸收投资收到的现金,"31,750,000.00",,,"344,715,000.00","344,715,000.00","344,715,000.00","353,715,000.00",,,,,,"1,000,000.00","1,000,000.00","60,490,000.00","12,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00",,,,,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00",,,,,,,,,"2,199,001.00","7,330,001.00"
支付给职工以及为职工支付的现金,"20,480,787.27","19,901,859.70","16,304,347.14","3,607,250.05","7,340,112.02","12,617,290.96","21,661,579.08","3,006,877.12","12,514,480.79","20,488,059.63","33,112,553.37","5,936,632.07","12,956,379.08","18,157,085.47","40,739,919.11","5,697,529.36","22,781,655.37","30,115,845.29","80,580,107.70","13,049,312.35","32,588,790.81","53,010,981.29","93,644,043.90","14,667,350.95","33,048,914.46","51,437,695.32","87,845,631.80","9,407,505.71","25,372,802.98","41,207,295.19","98,864,419.34","13,056,112.82","36,295,171.29","51,709,581.89","100,002,327.35","16,310,576.29","39,425,493.17"
取得借款收到的现金,"35,700,000.00",,"60,000,000.00",,,,,,,,,,,,"70,000,000.00","35,000,000.00","35,000,000.00","35,000,000.00","145,000,000.00",,,,"110,000,000.00",,,,,"110,000,000.00","110,000,000.00","110,000,000.00","110,000,000.00",,,"110,000,000.00","110,000,000.00",,
支付的各项税费,"35,556,980.69","27,773,278.02","36,213,936.74","3,559,842.46","13,188,572.74","22,542,893.45","36,540,062.51","5,424,626.48","21,545,581.88","37,936,043.92","44,825,729.26","10,086,922.79","25,421,073.64","33,863,904.61","59,791,957.03","17,496,376.40","42,886,073.20","48,790,642.98","96,471,000.04","24,384,562.35","73,293,488.61","113,473,256.94","136,978,583.33","30,558,511.75","72,416,432.71","99,025,946.22","132,625,767.94","21,800,632.37","38,647,008.94","65,793,095.58","100,625,343.20","20,428,706.72","43,357,851.26","72,036,587.11","95,757,933.69","23,973,301.75","59,338,659.50"
收到其他与筹资活动有关的现金,"102,764.20",,,"101,124.88","96,423.05","300,749.69",,"1,804,546.81",,,,,,,,,,,"15,000,000.00","62,500,000.00","62,500,000.00","62,500,000.00","64,440,000.00",,,,"150,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"38,931,330.97","35,145,879.08","35,626,750.56","7,516,789.72","27,822,993.13","33,146,669.08","34,666,016.35","6,572,325.04","19,421,899.21","45,120,274.62","55,394,275.23","19,085,767.01","38,242,958.93","60,156,141.03","74,904,339.46","33,692,918.64","111,092,161.24","140,523,230.53","113,877,576.29","40,140,792.39","73,198,445.24","180,689,886.84","93,703,521.12","19,068,117.47","41,531,812.84","107,068,205.44","102,089,812.68","17,888,037.92","51,765,225.03","85,416,683.17","75,413,398.20","48,211,552.98","67,324,023.11","102,510,608.07","99,933,092.30","35,466,190.41","40,691,415.76"
