科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"198,750,235.38","192,003,640.51","120,591,750.63","212,442,031.24","282,266,397.59","73,139,076.79","153,246,596.52","208,270,175.75","299,343,074.30","55,642,897.70","126,775,477.82","197,625,885.15","295,051,171.64","70,913,496.34","171,859,228.31","250,373,967.40","347,419,772.18","85,922,385.03","155,094,023.57","267,042,502.03","438,726,529.85","123,670,920.36","260,837,489.94","453,612,132.59","1,047,362,160.10","658,907,877.13","1,462,484,450.02","2,271,862,911.89","3,162,487,417.46","723,325,118.69","1,665,211,418.48","2,832,598,328.10","3,637,870,196.78","662,387,203.94","1,784,930,318.32","2,695,026,484.54"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"360,959,991.85",,,,"28,000,000.00",,,,"2,732,754.27","26,477,860.44","603,554,921.48","927,064,921.48"
收到的税费返还,"9,278,213.94","3,896,886.32","1,707,094.09","3,775,230.19","4,572,125.55","1,771,345.47","3,509,513.91","4,335,733.53","6,205,629.90","1,641,419.94","2,810,031.56","6,468,880.48","7,320,817.10","1,780,411.22","4,651,160.64","7,198,269.53","9,485,960.70","2,358,405.87","5,065,625.53","8,596,919.27","14,663,539.43","3,994,454.60","11,381,445.63","15,298,146.34","25,693,556.34","7,712,628.66","63,011,034.04","75,079,965.87","122,650,203.59","45,036,877.16","49,816,960.73","75,436,464.65","105,507,257.01","5,788,395.17","27,886,693.91","52,854,102.62"
支付其他与投资活动有关的现金,"73,910,366.99",,,,,,,,,,,,,,,,"73,080,937.50","21,747,808.13","21,780,082.80","21,780,082.80",,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00",,"100,000.00","100,000.00","196,830,000.00",,"167,470,000.00","167,470,000.00"
收到其他与经营活动有关的现金,"571,555.54","4,609,035.24","1,191,700.00","3,609,505.00","3,680,895.00","1,462,328.96","5,537,620.01","4,983,847.41","7,014,262.85","1,871,145.91","3,605,733.05","5,139,335.67","13,041,980.73","7,750,612.39","8,738,511.92","11,182,131.87","4,865,133.18","24,508,758.10","20,118,029.61","27,288,273.71","35,126,994.67","8,908,476.04","61,912,252.40","116,059,196.01","87,992,941.09","15,069,574.25","27,859,631.73","28,639,343.41","53,871,511.03","3,868,971.59","74,849,143.75","89,634,804.99","185,533,550.55","4,124,059.41","26,985,951.66","65,118,942.63"
投资活动现金流出小计,"78,874,486.34","13,907,154.58","3,789,468.58","10,021,015.00","14,932,655.77","3,880,927.65","14,111,977.71","28,020,349.28","30,868,044.62","8,216,115.30","23,971,311.38","29,944,855.08","45,338,189.34","14,619,782.37","167,071,989.69","218,111,855.38","492,377,676.22","155,337,038.53","221,915,915.88","269,725,192.09","280,313,174.44","31,347,089.09","58,721,836.27","103,004,145.68","515,904,220.07","62,005,876.38","193,744,584.50","269,086,466.42","291,301,969.43","132,279,546.13","288,742,762.12","431,916,657.75","744,805,477.67","104,410,566.14","1,074,765,967.82","1,521,979,049.57"
经营活动现金流入小计,"208,600,004.86","200,509,562.07","123,490,544.72","219,826,766.43","290,519,418.14","76,372,751.22","162,293,730.44","217,589,756.69","312,562,967.05","59,155,463.55","133,191,242.43","209,234,101.30","315,413,969.47","80,444,519.95","185,248,900.87","268,754,368.80","361,770,866.06","112,789,549.00","180,277,678.71","302,927,695.01","488,517,063.95","136,573,851.00","334,131,187.97","584,969,474.94","1,161,048,657.53","681,690,080.04","1,553,355,115.79","2,375,582,221.17","3,339,009,132.08","772,230,967.44","1,789,877,522.96","2,997,669,597.74","3,928,911,004.34","672,299,658.52","1,839,802,963.89","2,812,999,529.79"
投资活动产生的现金流量净额,"-78,874,486.34","64,975,103.89","-3,789,468.58","-10,021,015.00","-14,932,655.77","-3,880,927.65","-14,111,977.71","-28,020,349.28","-30,868,044.62","-8,216,115.30","-23,971,311.38","-29,944,855.08","-45,338,189.34","-14,619,782.37","-167,071,989.69","-216,196,680.38","-474,040,834.35","-82,256,101.03","-144,485,529.12","-191,786,144.45","-224,053,711.79","-9,599,280.96","-36,974,028.14","-81,256,337.55","-486,972,476.28","-62,005,876.38","-83,533,106.15","-108,109,988.07","-114,789,309.89","-132,279,546.13","-277,952,762.12","-399,658,613.28","-712,671,862.44","-104,410,566.14","-636,603,444.77","-1,072,816,526.52"
购买商品、接受劳务支付的现金,"153,979,620.26","127,971,892.31","68,277,099.37","106,035,358.44","158,141,080.64","65,061,123.73","116,370,184.64","120,448,742.79","181,444,381.79","51,579,465.30","110,032,705.89","166,652,333.93","227,479,499.26","62,075,424.39","133,081,968.26","202,858,436.87","237,368,172.66","45,557,643.79","101,909,052.31","210,232,034.90","348,702,530.97","79,777,317.49","181,498,023.23","309,959,922.82","702,295,098.62","415,013,378.42","1,003,030,066.85","1,706,968,652.76","2,274,500,750.46","512,863,534.58","1,218,094,113.81","2,290,582,419.51","2,777,538,838.79","536,186,111.77","1,468,504,737.54","2,113,253,544.48"
吸收投资收到的现金,"30,000,000.00",,"18,760,000.00","18,760,000.00","663,145,000.00",,,,,,,,,,"61,745,880.00","61,745,880.00","61,745,880.00",,,,,,,,"315,749,985.20",,,,,,"1,000,000.00","2,485,999,982.60","2,483,891,861.05","2,125,000.00","3,150,000.00","3,450,000.00"
