科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
取得借款收到的现金,"75,000,000.00","80,000,000.00","25,000,000.00","40,000,000.00","60,000,000.00",,,,,,,,,,"7,800,000.00","15,600,000.00","15,600,000.00","35,000,000.00","35,000,000.00","55,000,000.00","135,000,000.00","38,000,000.00","38,000,000.00","38,000,000.00","143,000,000.00","63,000,000.00","83,000,000.00","83,000,000.00","191,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","20,000,000.00","70,000,000.00","312,000,000.00","311,000,000.00",,"65,500,000.00"
支付的各项税费,"27,750,663.15","45,573,485.48","14,192,162.72","21,611,654.47","32,553,832.07","1,286,946.09","18,172,957.87","24,006,341.68","33,920,589.74","11,640,406.02","22,330,032.83","29,312,035.54","36,559,950.32","13,577,904.41","26,197,391.95","37,834,761.14","45,394,800.69","14,673,870.26","30,186,098.89","45,127,903.00","72,492,008.90","18,144,241.40","30,394,937.98","42,753,889.45","53,588,207.57","17,379,098.12","34,831,204.86","55,114,277.94","85,406,378.20","30,679,286.05","65,592,468.89","89,476,945.36","117,109,979.08","28,204,878.00","67,287,842.51","105,040,515.48","131,940,873.88","38,679,520.52","74,846,950.35"
收到其他与筹资活动有关的现金,,,,,,"380,017,492.94","380,292,515.51","360,211,383.86",,,,,,,,"3,050,050.00","3,000,000.00",,,,,,,,,,,,,,,,,,,,"6,600,000.00",,
支付其他与经营活动有关的现金,"39,729,001.22","45,876,429.35","23,048,325.87","63,939,373.96","54,547,569.14","26,524,472.48","28,302,241.60","46,412,030.51","56,012,406.64","15,862,012.70","29,031,808.47","42,977,290.69","64,120,171.56","63,422,843.52","50,878,334.44","111,630,959.15","92,075,776.54","41,881,130.48","81,545,823.81","120,178,232.60","135,445,211.11","28,781,071.67","55,264,009.89","80,371,097.91","106,654,520.33","31,086,084.72","66,537,503.26","95,335,176.82","194,367,209.12","41,962,381.71","95,573,664.86","134,184,615.17","151,446,656.46","55,247,853.92","85,171,153.43","105,826,389.22","153,190,464.93","50,080,885.43","90,795,458.45"
筹资活动现金流入小计,"75,000,000.00","80,000,000.00","25,000,000.00","40,000,000.00","60,000,000.00","380,017,492.94","380,292,515.51","380,211,383.86","379,952,000.00",,,,"200,000.00",,"7,800,000.00","18,650,050.00","18,600,000.00","35,000,000.00","35,000,000.00","55,000,000.00","135,000,000.00","38,000,000.00","38,000,000.00","38,000,000.00","826,823,600.00","66,000,000.00","86,000,000.00","86,000,000.00","293,110,525.60","64,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","96,608,100.71","146,608,100.71","388,608,100.71","484,528,152.34",,"65,500,000.00"
经营活动现金流出小计,"198,586,425.86","224,126,824.09","99,891,057.59","171,521,472.75","215,966,428.02","64,150,588.93","122,093,418.18","201,868,411.94","246,421,972.39","83,645,990.50","147,320,985.29","235,956,587.84","297,724,626.59","127,856,825.76","293,412,389.26","462,472,126.64","603,242,391.73","229,704,211.32","419,470,960.33","617,407,664.56","762,017,836.77","155,961,498.36","289,824,655.60","416,095,072.87","559,553,572.35","133,385,526.68","324,017,159.69","473,675,653.70","781,509,045.89","166,914,045.19","360,474,546.37","500,223,879.20","770,415,454.92","324,378,415.90","544,145,834.66","727,139,432.53","957,572,556.36","270,992,519.88","590,141,933.07"
偿还债务支付的现金,"96,030,000.00","90,000,000.00","30,000,000.00","65,000,000.00","65,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00",,,,,,"7,800,000.00","15,600,000.00","41,300,000.00","32,800,000.00","17,800,000.00","17,800,000.00","77,800,000.00","45,000,000.00","45,000,000.00","75,000,000.00","104,000,000.00","103,000,000.00","173,000,000.00","173,000,000.00","201,000,000.00","100,000,000.00","162,000,000.00","162,000,000.00","170,000,000.00",,"1,077,215.00","21,077,215.00","41,000,000.00","6,000,000.00","73,500,000.00"
经营活动产生的现金流量净额,"33,862,839.28","17,128,891.07","26,800,574.00","33,172,406.91","57,758,334.94","3,641,176.50","13,392,892.20","18,521,431.14","41,059,684.34","18,708,933.64","32,278,911.40","19,904,548.00","41,444,549.33","57,399,824.27","55,217,963.35","51,301,897.72","77,246,691.22","-2,008,918.22","-30,333,919.07","-37,918,119.32","-54,939,838.81","8,154,083.48","25,611,365.06","42,093,241.32","45,701,575.19","9,842,836.42","14,482,779.40","18,488,026.24","-76,011,576.75","113,831,448.18","191,090,828.87","279,653,520.87","343,801,742.99","-58,685,656.16","-21,590,494.72","32,440,291.43","75,922,623.52","-15,033,706.80","10,346,359.42"
分配股利、利润或偿还利息支付的现金,"8,038,953.75","2,892,905.00","15,730,538.75","10,574,533.75","15,993,461.25","41,917.50","8,041,917.50","8,041,917.50","8,041,917.50","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,"10,841,503.84","12,690,721.35","13,292,596.13","391,583.34","16,063,916.68","16,850,916.70","17,829,766.72","1,019,083.36","12,092,916.72","12,759,365.10","14,170,997.39","1,307,600.01","28,519,130.54","28,269,730.53","29,415,083.29","29,344,895.35","30,163,426.62","30,474,693.28","40,420,642.87","63,688,486.81","64,381,391.05","65,171,882.70","69,134,539.03","3,258,113.50","49,685,082.42"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000.00",,,,"13,041,600.00",,,,,,,,,"85,835.40","85,835.40"
支付其他与筹资活动有关的现金,,,,,,"6,734,499.96","7,078,438.16","7,177,735.52","7,596,979.11",,,,,,,,,,,,,"31,166.67",,,"1,110,340.00",,"10,110,340.00","1,110,340.00","754,716.97",,"1,013,902.00","1,013,902.00",,,,,"1,077,215.00",,1.00
取得投资收益收到的现金,"1,072,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,439.53","52,439.53"
筹资活动现金流出小计,"104,068,953.75","92,892,905.00","45,730,538.75","75,574,533.75","80,993,461.25","31,776,417.46","40,120,355.66","40,219,653.02","40,638,896.61","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,"18,641,503.84","28,290,721.35","54,592,596.13","33,191,583.34","33,863,916.68","34,650,916.70","95,629,766.72","46,050,250.03","57,092,916.72","87,759,365.10","119,281,337.39","104,307,600.01","211,629,470.54","202,380,070.53","231,169,800.26","129,344,895.35","193,177,328.62","193,488,595.28","210,420,642.87","63,688,486.81","65,458,606.05","86,249,097.70","111,211,754.03","9,258,113.50","123,185,083.42"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,887,177.60",,,,,,,"25,350.43","233,428.12","5,000.00","5,350.00","91,350.00","89,549.15",,,"-3,300.00","56,296.16","5,000.00","193,000.00","195,521.37","3,290,689.13",,,,"29,698.68",,"181,020.60","130,000.00","260,675.13",500.00,"15,000.00","15,000.00","472,483.63",,"193,500.00","548,700.00","208,677.20","66,800.00","66,800.00"
