科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"140,502,863.41","243,204,406.52","250,733,547.14","212,577,694.79","290,196,271.94","1,446,226,366.99","1,271,179,347.17","1,292,504,144.44","1,365,634,688.93","1,308,698,601.60","1,372,911,204.23","1,476,061,844.00","1,457,003,654.67","1,484,331,135.52","1,422,742,594.30","1,229,246,123.35","623,103,774.23","583,568,850.13","866,621,216.19","677,036,317.47","635,244,374.85","603,144,059.15","583,248,020.44","396,531,659.17","469,937,441.06","440,890,899.47","442,723,141.74","472,415,742.23","831,357,540.36","889,861,731.28","605,733,364.79","635,451,868.16","681,203,428.35","476,254,599.59","530,626,694.81"
短期借款,"199,100,000.00","329,500,000.00","364,000,000.00","429,500,000.00","491,000,000.00",,,,,,"30,000,000.00","60,000,000.00",,,,"60,000,000.00","70,000,000.00","240,000,000.00","494,497,277.83","470,000,000.00","470,000,000.00","540,000,000.00","590,000,000.00","492,000,000.00","630,000,000.00","655,000,000.00","928,000,000.00","758,000,000.00","800,000,000.00","958,000,000.00","1,138,000,000.00","1,080,000,000.00","1,120,042,292.99","1,056,542,292.99","1,043,231,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,472,829.96",,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"238,400.00",,,"9,981,008.92",,"6,453,050.00","12,623,050.00","15,093,000.00","73,473,987.31","6,494,034.73","30,698,800.77","1,483,719.71","30,306,112.60","26,532,328.00","9,296,000.00","16,478,420.00","48,841,379.85","10,734,415.29","1,540,000.00","56,366,806.76","32,268,174.71","37,359,061.59","15,715,798.10","7,441,986.00","67,629,617.49","12,186,150.74","49,258,577.95","38,187,976.32","78,658,893.19","57,039,408.55","67,489,884.18","53,561,109.29","158,128,249.36","93,663,964.90","78,873,424.84"
应付票据,"98,000,000.00","191,985,488.34","6,950,000.00",,"131,670,000.00","126,450,000.00","9,920,000.00","3,710,000.00","4,210,000.00",,"44,696,000.00","121,100,000.00","115,622,517.22","175,303,533.46","152,685,764.27","177,658,791.13","127,477,643.53","84,403,500.00","101,337,837.08","181,653,215.21","190,762,332.33","183,032,116.67","119,368,232.11","105,444,304.19","167,112,475.39","231,699,137.96","457,635,455.05","370,616,781.92","186,716,934.50","224,554,651.42","108,678,326.90","117,955,360.86","52,800,000.00","98,540,000.00","62,950,000.00"
应收账款,"153,759,477.15","151,023,646.19","246,154,145.25","354,861,769.84","387,885,517.05","360,986,415.05","384,795,261.06","349,302,257.22","240,576,757.37","409,620,862.06","419,623,268.14","435,366,987.45","496,813,258.32","421,614,197.08","467,949,585.05","474,836,874.66","430,950,315.81","637,099,943.78","658,707,411.58","740,441,903.09","761,340,924.31","763,271,792.52","773,014,891.36","791,177,860.61","832,996,100.13","911,936,545.86","975,975,797.40","985,934,329.14","918,593,964.01","1,074,784,476.23","1,108,082,920.55","1,087,324,563.61","887,874,560.05","1,179,610,829.67","1,050,572,956.50"
应付账款,"91,331,353.79","139,503,607.48","189,820,305.80","122,364,474.24","142,787,200.73","169,546,438.21","70,548,496.98","137,932,023.33","129,585,082.03","153,244,404.70","178,348,380.83","116,657,124.92","178,950,909.74","135,356,297.73","138,260,941.59","107,617,244.90","127,626,720.79","232,064,604.31","281,850,684.63","306,428,406.17","352,199,923.83","248,297,762.96","256,576,104.74","259,863,189.79","224,453,536.18","278,004,834.17","281,395,053.86","292,020,850.14","306,462,259.65","282,730,500.33","254,067,937.90","175,706,687.70","193,305,285.50","412,344,454.03","270,806,283.15"
预付款项,"67,191,565.68","73,282,152.76","129,047,203.57","70,943,627.36","139,516,117.96","208,496,569.93","94,239,189.35","135,648,767.08","110,976,862.68","201,695,114.95","170,745,858.88","199,513,293.87","145,783,393.78","246,671,724.35","260,357,480.72","323,129,583.92","386,535,839.27","431,139,947.17","349,520,240.04","190,182,959.21","282,430,898.16","192,195,197.56","125,604,582.01","255,601,904.70","267,165,738.04","565,664,598.49","634,958,930.17","729,557,993.67","398,071,820.98","531,049,151.19","387,255,005.66","347,150,838.25","330,672,049.46","507,287,821.13","344,238,418.20"
预收款项,"115,493,082.85","190,023,798.47","424,001,928.62","294,795,755.60","245,446,505.75","95,246,619.42","124,255,904.75","112,876,468.91","90,485,734.61","246,083,848.90","193,299,059.34","291,000,215.04","195,036,272.21","88,885,049.09","164,465,707.06","89,180,445.83","70,380,569.53","129,999,744.30","158,501,642.72","192,912,266.41","252,386,803.38","252,315,827.94","183,375,803.01","112,556,550.85","104,989,484.22","280,318,359.09","94,317,447.79","93,651,031.41","216,354,425.52","419,645,117.15","173,894,867.81","134,228,106.56","87,303,245.28","118,976,052.91","66,708,770.86"
