科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,386,580,637.64","1,136,888,129.82","1,492,325,340.93","501,541,057.60","911,267,589.96","1,331,780,529.72","1,916,290,412.31","514,228,577.21","995,414,612.63"
二、营业利润,"104,489,718.44","89,598,234.88","173,586,491.45","43,233,109.59","66,102,375.37","106,421,575.35","147,951,964.32","51,061,117.41","69,731,055.52"
减:营业成本,"1,063,225,176.13","867,418,184.06","1,098,154,109.80","393,601,749.48","733,068,516.10","1,069,283,221.75","1,551,252,955.17","394,538,984.80","803,831,310.79"
加:补贴收入,,,,,,,,,
营业税金及附加,"7,170,131.18","6,041,141.65","14,287,221.22","4,743,042.67","9,873,682.44","14,055,449.52","19,031,713.48","5,204,161.69","9,859,034.49"
营业外收入,"5,017,055.97","5,860,042.03","3,789,557.08","643,767.07","202,091.29","271,069.27","1,554,406.62","6,839.93","741,026.44"
销售费用,"22,235,171.72","21,802,267.41","37,105,730.60","11,893,844.79","21,458,571.60","31,852,888.52","45,347,777.82","12,577,547.95","24,944,511.43"
减:营业外支出,"306,587.70","546,922.34","208,417.27","2,050.00","507,251.99","509,808.44","54,586.22","39,160.00","41,010.00"
管理费用,"129,832,400.35","111,652,779.46","133,980,483.02","30,979,173.31","59,607,100.70","90,309,629.82","134,648,763.43","33,541,122.86","67,182,734.72"
其中:非流动资产处置净损失,"193,937.44","196,496.83","200,404.06",,"504,762.21","504,783.24",,,
堪探费用,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,
财务费用,"44,161,990.02","29,732,966.18","22,298,055.93","5,182,591.21","9,662,128.38","15,822,895.83","20,884,347.87","5,862,264.47","14,497,480.78"
三、利润总额,"109,200,186.71","94,911,354.57","177,167,631.26","43,874,826.66","65,797,214.67","106,182,836.18","149,451,784.72","51,028,797.34","70,431,071.96"
资产减值损失,"15,466,049.80","10,642,556.18","12,913,248.91","11,907,546.55","14,754,901.13","14,407,445.77","21,200,117.88","13,434,134.63","16,159,766.39"
减:所得税,"20,891,319.31","17,738,200.45","28,801,898.74","8,607,662.32","11,635,714.41","17,398,150.84","22,220,744.80","8,371,088.96","14,009,994.97"
加:公允价值变动净收益,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,
投资收益,,,,,"1,025,589.02","6,915,643.75","16,130,739.56","865,397.16","8,411,835.52"
四、净利润,"88,308,867.40","77,173,154.12","148,365,732.52","35,267,164.34","54,161,500.26","88,784,685.34","127,231,039.92","42,657,708.38","56,421,076.99"
其中:对联营企业和合营企业的投资权益,,,,,,,,,
归属于母公司所有者的净利润,"88,308,867.40","77,173,154.12","148,365,732.52","35,267,164.34","54,161,500.26","88,784,685.34","127,231,039.92","42,657,708.38","56,421,076.99"
影响营业利润的其他科目,,,,,,,,,
少数股东损益,,,,,,,,,
