科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"511,286,485.44","681,222,730.47","595,135,215.79","139,801,891.90","305,366,887.28","462,661,314.49","686,091,204.11","188,273,169.43","357,186,760.48","585,381,088.77","883,378,552.32","229,910,064.14","474,299,895.34","778,298,096.57","1,262,383,026.68","405,815,663.23"
取得子公司及其他营业单位支付的现金净额,,,,,,"5,134,439.05","5,154,760.34",,,,,,,,,
收到的税费返还,"6,421,780.60","2,946,422.20","11,480,154.06","1,428,765.49","3,644,615.88","10,366,261.16","14,597,425.39","6,950,507.38","14,306,314.15","20,442,481.10","27,527,151.90","10,139,795.09","19,123,808.98","30,942,931.64","50,422,852.95","15,273,369.93"
支付其他与投资活动有关的现金,,,,,"182,000,000.00","144,000,000.00",,,"20,000,000.00","20,000,000.00","20,000,000.00",,,"20,000,000.00","20,000,000.00",
收到其他与经营活动有关的现金,"10,667,227.09","12,915,796.80","13,418,617.52","756,936.02","12,728,005.05","16,359,716.44","16,196,988.75","2,856,144.13","16,477,465.13","22,904,303.78","9,265,545.47","3,623,850.63","9,884,038.86","21,941,212.79","15,680,720.38","54,746,066.03"
投资活动现金流出小计,"60,930,099.29","68,063,629.74","52,950,925.95","9,974,568.44","216,186,264.26","206,918,567.35","224,894,337.00","119,595,095.96","178,759,358.40","287,529,750.34","405,235,470.06","33,600,833.15","585,121,891.13","702,727,470.56","2,450,408,154.38","358,212,898.38"
经营活动现金流入小计,"528,375,493.13","697,084,949.47","620,033,987.37","141,987,593.41","321,739,508.21","489,387,292.09","716,885,618.25","198,079,820.94","387,970,539.76","628,727,873.65","920,171,249.69","243,673,709.86","503,307,743.18","831,182,241.00","1,328,486,600.01","475,835,099.19"
投资活动产生的现金流量净额,"-60,330,099.29","-67,991,543.33","-48,587,156.95","-9,774,568.44","-215,935,519.05","-206,214,452.28","-221,465,435.98","9,254,905.96","-49,824,724.04","-138,571,199.98","-191,364,175.70","-33,591,653.15","-583,015,753.54","-696,451,949.40","-293,323,197.63","-347,334,158.66"
购买商品、接受劳务支付的现金,"318,930,864.54","440,805,532.68","356,680,661.38","97,657,154.95","211,379,582.04","296,887,314.34","429,419,416.44","144,346,676.69","300,749,158.89","453,920,260.46","580,865,528.43","148,146,396.21","368,222,588.30","583,252,961.27","877,355,017.52","262,659,600.04"
吸收投资收到的现金,,"480,000.00","1,920,000.00",,"278,190,000.00","278,190,000.00","288,270,000.00",,,,,"886,799,976.66","886,799,976.66","886,799,976.66","867,063,977.13",
