科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"331,626,635.83","371,524,659.51","164,954,791.75","435,173,781.60","171,035,501.81","262,761,354.57","487,471,254.78","40,727,419.21","339,117,230.49","439,863,745.48","883,986,129.39","73,469,592.62","369,764,705.53","510,482,757.71","1,236,712,620.18","138,734,825.43","388,213,402.52","609,934,616.42","1,380,484,135.68","169,864,292.36","624,708,783.84","927,726,746.96","1,637,947,972.54","152,921,285.76","348,586,617.65","600,244,890.59","837,764,720.38","70,643,558.78","202,146,887.85","302,371,056.48","444,533,829.91","86,841,043.59","254,773,601.08","379,080,382.14","595,959,880.29","48,636,831.97"
二、营业利润,"70,671,082.54","85,737,901.17","42,356,009.63","99,897,721.94","47,184,915.95","57,999,241.98","102,012,089.69","2,077,118.65","72,967,423.54","84,160,814.19","195,342,863.58","3,862,189.81","82,218,514.66","92,760,003.31","238,031,809.23","3,686,043.82","28,383,237.44","57,625,371.58","218,794,580.41","5,844,778.20","58,440,264.82","84,624,514.21","202,414,710.34","-25,873,077.68","-37,177,666.98","-64,298,284.69","-66,825,267.90","-32,634,012.08","-52,136,197.74","-68,773,272.23","-155,352,147.74","-9,477,156.03","-1,587,227.84","-1,370,288.96","16,384,145.40","-9,143,302.20"
减:营业成本,"211,806,625.08","205,867,676.86","88,300,708.11","241,306,153.05","86,336,076.91","137,746,034.24","276,062,016.71","22,321,352.26","203,122,844.17","263,207,638.63","537,214,289.66","51,154,675.49","228,927,665.98","312,564,610.43","814,755,723.05","91,592,943.30","251,822,208.38","414,006,627.56","959,611,930.92","119,589,956.97","461,913,552.16","689,837,863.43","1,242,178,684.90","123,458,463.92","271,489,547.61","480,062,090.74","664,238,601.26","57,073,168.90","160,372,376.28","241,001,231.25","408,700,987.49","68,720,860.60","199,014,040.27","291,320,851.94","473,280,016.54","33,652,187.13"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"540,893.93","697,545.77","52,126.50","72,604.31","12,670.12","20,445.13","884,953.26","86,432.69","2,425,306.67","3,867,511.25","10,301,208.85","715,329.80","4,509,815.60","6,629,837.74","15,448,795.98","364,135.09","994,994.90","2,846,213.15","12,372,693.69","179,847.61","3,577,850.50","7,133,686.92","13,137,777.59","1,094,362.60","4,501,528.98","5,280,292.49","10,132,358.57","443,474.68","221,049.42","1,269,836.19","7,870,668.92","1,064,090.99","2,595,992.28","4,578,949.82","8,605,845.80","1,060,139.34"
营业外收入,"6,293,655.92","865,859.31","529,889.25","919,218.76","818,757.19","976,115.25","17,073,175.19","516,672.50","794,626.07","1,216,746.87","6,415,794.31","359,446.50","2,297,761.77","2,431,325.09","13,529,418.62","2,233,400.00","3,746,677.54","4,815,803.59","13,706,360.00","1,040,365.41","2,255,916.54","3,530,241.23","9,661,342.93","1,366,633.39","3,338,635.65","4,598,104.25","8,773,667.39","1,334,480.49","3,335,207.76","6,833,580.31","7,234,143.72","1,608,292.54","2,954,703.66","4,416,879.59","3,104,843.36","639,328.87"
销售费用,"9,218,362.89","24,507,066.05","11,731,974.62","31,120,715.81","13,297,271.97","26,685,275.23","43,251,825.59","8,590,975.75","20,970,176.66","38,248,562.43","59,930,893.77","13,167,690.17","25,189,927.31","49,064,328.74","82,959,799.28","28,485,044.73","67,776,956.33","89,540,505.04","117,240,179.92","17,896,575.64","37,721,394.74","55,130,758.88","77,822,150.38","22,142,354.78","42,020,699.08","62,301,850.21","86,468,865.92","16,745,915.00","30,374,175.68","41,703,867.94","63,229,810.56","8,087,897.72","20,630,646.60","37,193,302.37","63,006,870.32","9,157,522.33"
减:营业外支出,"746,954.91","1,268,563.81","82,625.00","338,207.61","112,887.35","231,925.41","245,207.64","147,919.98","168,081.62","168,081.62","220,058.68",869.87,"32,416.97","86,647.68","208,983.52","522,387.20","536,449.85","539,317.55","547,379.91","2,727.26","631,265.56","540,799.16","544,238.46","5,063.49","5,863.91","69,430.72","126,753.77","113,888.82","234,173.77","313,831.12","2,034,209.35","1,689,143.95","1,702,078.74","2,249,503.84","5,154,011.94",500.09
管理费用,"35,805,338.46","52,715,297.61","21,381,963.14","60,965,237.60","22,766,324.65","39,718,354.94","69,339,596.70","13,597,068.50","36,323,802.17","57,217,679.71","86,670,386.93","19,695,756.16","44,272,770.99","71,490,126.02","106,296,305.29","20,660,409.58","48,255,326.54","76,024,368.04","108,407,223.30","24,878,549.39","52,780,291.52","85,260,230.49","96,762,635.28","33,575,590.55","66,747,105.08","100,706,876.59","122,508,701.31","28,368,255.33","54,776,412.34","80,633,420.25","119,359,106.91","24,301,995.08","48,963,441.45","73,961,752.05","110,647,670.94","23,154,574.90"
其中:非流动资产处置净损失,"21,015.54",,,"7,982.61",,,"93,077.78",,,,,,"2,171.50",,"12,234.10",,"6,407.36","9,275.06","15,497.96","2,227.26","6,280.97","75,543.21","78,363.20",,800.42,"1,190.42","18,065.56",,284.95,774.75,"3,976.21",,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
