科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"65,815,915.39","103,701,074.06","140,951,631.80",,"267,342,730.50","262,944,725.11","282,281,486.72","139,342,107.59","225,413,603.64","228,046,338.77","232,554,555.05","207,223,483.49","198,520,811.11","187,419,010.02"
短期借款,"25,000,000.00","25,000,000.00","25,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"26,945,723.00","36,143,809.30","33,345,588.65",,"5,223,813.40","13,555,921.40","20,666,088.20","15,484,546.70","14,289,206.70","11,919,941.50","22,252,888.80","25,419,770.11","26,014,521.95","30,981,998.70"
应付票据,,,,,,,,,,,,,,
应收账款,"104,268,215.86","111,896,256.42","109,939,451.62",,"137,514,894.09","131,386,222.77","116,099,519.20","124,896,266.13","146,856,809.49","132,486,684.13","137,813,598.99","147,235,415.34","157,956,306.87","161,250,846.15"
应付账款,"7,127,761.18","10,093,661.53","16,532,560.72",,"7,028,029.18","8,815,137.86","15,258,745.90","9,166,223.18","10,578,771.22","9,650,799.95","14,706,412.55","14,278,007.60","16,060,842.22","28,959,609.57"
预付款项,"1,330,413.05","2,037,105.12","2,101,355.99",,"2,694,237.13","3,410,515.41","1,910,264.31","1,762,448.81","3,397,548.56","2,853,110.32","5,479,844.77","6,502,313.11","8,020,245.01","7,107,213.63"
预收款项,"2,126,831.51","1,496,003.00","613,195.69",,"1,562,800.00","1,172,646.78","7,987,605.72","971,314.00","553,754.00","965,104.00","5,140,988.81","5,977,582.88","4,569,026.51","6,847,832.69"
其他应收款,"5,156,545.51","6,381,991.56","3,479,029.90",,"4,884,216.31","7,122,413.79","2,170,536.24","8,251,962.55","4,470,516.24","6,151,289.88","3,230,273.49","5,926,111.45","6,314,697.30","4,273,793.20"
