科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"104,467,302.58","138,815,148.84","199,190,229.42","128,118,420.84","258,390,374.67","53,557,718.45","128,601,190.69","191,014,524.90","258,975,681.16","69,247,664.89","147,955,961.15","227,307,209.31","318,903,331.55","75,891,910.51","158,151,440.85","260,098,543.02","361,396,307.86","90,438,836.59","206,587,029.25","384,573,643.30","657,068,743.84","200,342,643.05","432,154,633.32","659,369,511.67","971,806,088.14","265,860,797.55","633,842,080.57","1,008,778,518.16","1,683,092,925.82","922,975,187.77","3,169,852,515.48","5,772,483,693.32","7,700,398,454.02"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"23,911,033.87","25,452,908.87",,,,,,,,"162,131,747.19","526,000,000.00","861,076,251.93","861,076,251.93","855,130,904.49"
收到的税费返还,,,,,,,,,,,,,,,,,,,,"69,676.92","213,857.61","170,596.75","253,151.88","311,449.32","473,355.36","461,136.69","578,536.35","852,631.05","1,836,713.27","568,711.06","568,711.06","2,262,721.07",
支付其他与投资活动有关的现金,"10,000,000.00","3,000,000.00",,,,,,,,,,,,,,,,,,"1,916,839.12",,,,"2,434,781.46",,,"150,000.00","150,000.00","140,000,000.00","20,000,000.00","491,000,000.00","651,000,000.00",
收到其他与经营活动有关的现金,"20,536.97","156,507.90","4,798,810.47","549,768.16","406,208.48","751,425.50","697,045.71","2,461,941.50","4,826,323.26","2,063,943.36","3,109,662.76","4,130,098.07","10,699,167.86","5,615,798.64","6,704,038.68","6,807,065.55","8,165,686.19","578,596.28","1,117,865.43","1,967,320.64","3,854,948.61","7,856,310.29","6,722,829.17","6,905,764.36","8,758,321.77","80,544.05","658,727.93","1,436,575.91","9,590,343.64","2,190,270.00","23,147,324.84","23,708,429.32","54,523,787.69"
投资活动现金流出小计,"10,315,399.34","4,685,603.61","7,389,371.88","1,055,323.58","1,647,422.26","866,700.99","2,044,803.04","5,024,369.24","20,424,617.39","1,836,474.19","10,460,058.79","14,442,316.60","113,673,919.98","9,048,436.70","42,632,505.92","46,108,214.67","89,666,054.69","21,548,351.38","64,637,142.29","115,811,121.50","119,355,736.39","17,362,332.11","19,453,504.10","23,288,890.65","23,794,101.27","5,620,008.23","6,499,024.19","8,783,658.45","322,190,888.05","547,187,927.50","1,356,475,765.81","1,519,112,242.59","1,638,435,446.61"
经营活动现金流入小计,"104,487,839.55","138,971,656.74","203,989,039.89","128,668,189.00","258,796,583.15","54,309,143.95","129,298,236.40","193,476,466.40","263,802,004.42","71,311,608.25","151,065,623.91","231,437,307.38","329,602,499.41","81,507,709.15","164,855,479.53","266,905,608.57","369,561,994.05","91,017,432.87","207,704,894.68","386,610,640.86","661,137,550.06","208,369,550.09","439,130,614.37","666,586,725.35","981,037,765.27","266,402,478.29","635,079,344.85","1,011,067,725.12","1,694,519,982.73","925,734,168.83","3,193,568,551.38","5,798,454,843.71","7,754,922,241.71"
投资活动产生的现金流量净额,"-10,315,399.34","5,371,446.39","-4,389,371.88","-1,055,323.58","-1,647,422.26","-866,700.99","-2,044,803.04","-5,024,369.24","-20,424,617.39","-1,836,474.19","-10,460,058.79","-14,442,316.60","-62,644,002.18","-9,048,436.70","-12,246,862.08","-15,509,369.10","-59,104,209.12","-21,548,351.38","-64,637,142.29","-115,811,121.50","-119,314,551.92","-17,362,332.11","-19,453,504.10","-23,288,890.65","-23,793,832.08","-5,620,008.23","-6,499,024.19","-8,783,658.45","-232,161,222.66","-506,941,804.35","-1,235,643,006.22","-1,257,306,933.75","-1,256,230,399.70"
购买商品、接受劳务支付的现金,"83,747,208.74","130,486,915.10","165,061,783.84","73,009,313.70","176,927,991.59","64,267,363.94","135,787,286.49","213,191,783.79","253,956,127.42","63,340,853.48","125,561,942.46","193,626,664.54","285,212,414.33","94,439,200.43","165,940,246.47","250,559,514.33","336,748,940.21","72,888,562.87","190,835,444.03","334,127,567.65","567,150,113.92","215,588,944.51","418,035,404.44","674,459,399.92","940,305,443.12","288,684,884.38","628,645,272.21","965,168,834.22","1,547,308,522.76","1,057,435,876.99","3,188,493,732.12","5,654,299,493.52","7,318,591,703.06"
吸收投资收到的现金,"27,500,000.00",,,,,"334,000,000.00","334,000,000.00","334,000,000.00","305,413,650.22",,,,,,,,,,,,,"17,418,200.00","17,418,200.00","17,418,200.00","17,393,165.19",,,"359,999,996.40","377,465,276.40","1,304,999,956.58","1,317,167,046.58","1,317,167,046.58","1,317,646,446.58"
