科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"480,495,100.57","616,260,528.58","728,926,786.17","348,101,990.10","540,299,865.33","748,227,973.27","213,543,804.02","366,521,353.97","590,102,010.29","800,743,682.51","164,591,128.02","354,749,256.59","563,878,408.13","795,558,460.20","302,767,309.19","572,251,870.51","871,693,885.81","1,300,433,747.86","369,863,544.89","717,256,865.35","1,072,767,709.63","1,599,476,788.44","334,503,893.38","680,004,649.38","859,790,964.15"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"4,259,604.94","-2,851,185.67","-2,851,185.67","-2,851,185.67","86,363,750.24",,,
收到的税费返还,"4,770,460.70","10,210,847.01","16,858,493.66","2,489,047.57","12,201,572.95","17,722,011.99",,"13,074,466.43","15,337,656.81","22,249,989.00","7,693,545.29","19,407,222.42","30,922,978.36","30,922,978.36","6,937,800.80","11,477,609.83","24,381,497.36","24,856,024.44","9,309,761.72","15,848,644.54","19,942,480.00","22,766,706.78","3,061,822.54","6,360,713.71","14,252,833.44"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"5,000,000.00",,,,,"39,309,712.68","57,400,000.00",,561.80,561.80
收到其他与经营活动有关的现金,"321,392.06","6,365,787.90","13,296,247.83","545,585.70","5,377,691.80","15,785,728.89","4,990,594.89","14,914,816.13","18,983,043.82","18,641,257.13","3,331,432.73","13,330,127.03","15,631,815.50","25,687,256.97","2,659,915.94","18,818,660.97","18,894,767.56","18,817,392.83","9,716,215.39","17,910,957.71","26,308,067.12","61,475,537.25","8,615,643.72","23,328,105.34","43,703,972.87"
投资活动现金流出小计,"23,002,247.69","55,964,324.79","39,497,469.59","32,638,342.70","38,619,186.57","51,537,345.19","27,833,913.90","61,454,170.40","150,756,343.50","190,551,290.24","70,733,309.91","159,745,130.43","214,097,058.97","478,522,824.86","17,695,606.34","112,237,151.21","283,638,000.31","422,342,139.23","18,717,325.55","169,606,550.63","230,690,509.06","497,945,090.96","126,937,396.61","176,998,898.61","228,490,655.46"
经营活动现金流入小计,"485,586,953.33","632,837,163.49","759,081,527.66","351,136,623.37","557,879,130.08","781,735,714.15","218,534,398.91","394,510,636.53","624,422,710.92","841,634,928.64","175,616,106.04","387,486,606.04","610,433,201.99","852,168,695.53","312,365,025.93","602,548,141.31","914,970,150.73","1,344,107,165.13","388,889,522.00","751,016,467.60","1,119,018,256.75","1,683,719,032.47","346,181,359.64","709,693,468.43","917,747,770.46"
投资活动产生的现金流量净额,"-23,002,247.69","-54,872,598.76","-39,497,469.59","-32,638,342.70","-38,619,186.57","-51,537,345.19","-27,833,913.90","-61,454,170.40","-150,726,343.50","-160,135,564.83","-70,733,309.91","-109,238,829.06","-113,061,442.53","-347,376,372.80","-17,695,606.34","-61,925,370.39","-232,162,076.11","-371,026,911.83","-18,714,525.55","-169,605,850.63","-208,519,537.83","-456,171,342.03","-100,511,841.32","-150,519,261.31","-201,958,898.77"
购买商品、接受劳务支付的现金,"375,270,029.09","374,609,171.81","479,775,009.02","228,318,098.50","355,287,748.78","497,808,866.13","112,313,988.42","214,840,931.79","355,179,845.63","474,984,299.70","102,992,350.06","241,495,067.16","396,406,568.04","666,552,887.49","231,869,177.97","455,031,665.43","645,433,410.33","804,347,552.59","217,215,513.51","463,536,198.77","668,220,362.12","967,861,190.91","193,763,661.06","465,481,468.81","517,039,950.91"
吸收投资收到的现金,"341,293.92","336,275.00","226,506.00",,"453,578,580.00","464,140,000.00",,,"63,005.17","63,128.80","3,300,000.00","3,300,000.00","3,300,000.00","3,300,000.00",,"300,000.00","300,000.00","3,000,000.00","458,013,723.24","458,013,723.24","505,985,723.24","505,985,723.24",,,"25,000,000.00"
