科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"23,394,153.83","109,611,738.20","259,386,650.08","33,937,253.65","89,159,873.42","181,254,433.59","267,531,437.21","43,584,797.21","114,141,712.92","185,887,171.84","314,478,987.47","77,236,710.96","172,292,990.89","257,053,098.69","446,806,170.62","85,943,653.93","210,089,833.80","327,692,240.72","482,891,062.49","77,741,378.33","202,974,240.45","411,026,884.67","748,565,315.07","115,364,113.40","281,128,250.43","580,581,504.50","1,097,515,672.97","254,496,146.27","542,341,681.59","907,128,006.54","1,504,442,793.12","349,489,768.11","865,097,588.45","1,534,630,369.26","2,398,954,037.11","490,143,646.09","1,018,469,601.04","1,921,782,142.17","3,294,329,943.08","602,491,825.31","1,506,634,683.10","2,796,896,169.09","5,015,337,319.54","1,239,071,807.72","2,691,417,044.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"4,200,344.24",,,,,,,,,,,,,,,"386,982,474.01","385,300,840.64","50,000,000.00",,,"125,712,931.83","22,601,158.00","22,601,158.00","31,224,879.38",,,"119,922,164.80","119,922,164.80","115,855,489.23",,,,"110,444,648.75",,
收到的税费返还,"1,397,452.34","2,633,037.17","6,993,510.60","1,312,346.40","3,245,195.73","5,116,423.94","7,533,163.04","4,910,390.18","6,249,781.61","8,666,213.84","12,865,098.53","3,678,904.68","4,518,002.69","7,767,908.34","9,828,773.71","517,645.57","6,882,701.11","7,184,115.31","14,202,582.77","280,755.90","12,145,597.32","16,056,980.03","23,070,743.66","4,285,041.76","14,507,417.51","21,605,440.54","29,773,162.58","22,227,916.66","27,528,258.53","36,203,257.44","46,112,925.51","23,278,144.96","24,695,419.21","46,166,310.52","56,960,757.41","9,906,310.11","21,257,076.06","32,916,221.79","52,289,437.59","13,244,148.97","33,973,817.66","57,514,899.28","72,126,693.64","42,357,776.09","61,704,496.12"
支付其他与投资活动有关的现金,,"119,839.80","319,468.80",,,,,,,"318,273.06","4,000,000.00","16,453,202.67","16,453,202.67","6,454,252.67","6,913,886.24",,,,"1,000,000.00","7,967,897.50","7,960,000.00","6,815,000.00","1,435,000.00","2,258.22","37,608.60","598,411.51","585,454.66",,,,"615,600.00",,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"731,943.63","7,535,070.84","14,452,610.98","600,818.00","2,304,372.25","6,345,302.18","21,343,787.25","391,500.00","2,951,869.27","6,929,110.27","22,487,425.55","3,642,193.68","6,243,810.70","11,673,940.70","23,446,963.77","309,427.40","5,813,700.08","13,016,724.29","32,309,805.60","2,485,005.40","21,548,833.87","36,301,681.57","64,508,288.20","22,637,780.28","53,162,705.57","95,060,200.68","113,721,060.71","14,846,334.31","30,673,946.67","100,951,690.68","133,267,700.16","40,421,024.95","55,367,250.00","249,572,172.39","176,530,579.76","35,012,039.92","39,836,977.61","117,780,420.73","167,883,290.94","24,702,311.59","43,156,581.49","88,467,487.88","224,364,462.30","140,591,509.71","166,781,219.65"
投资活动现金流出小计,"4,118,307.42","18,477,715.49","35,033,754.98","1,452,468.13","12,285,488.50","22,699,695.21","62,552,834.96","7,304,596.90","19,639,701.11","37,782,883.97","87,274,123.27","29,191,540.04","51,631,108.93","97,624,501.41","104,491,711.87","35,183,100.95","63,268,636.75","97,466,799.20","199,984,532.74","134,598,448.20","189,768,026.74","218,505,986.52","397,281,132.54","126,781,033.34","208,885,634.08","685,915,857.54","787,009,375.28","201,004,435.99","609,631,516.71","1,053,798,659.29","1,212,684,226.12","384,698,696.98","533,268,121.78","1,110,852,443.75","1,437,258,854.35","241,238,880.99","716,241,391.74","1,035,236,472.46","1,376,473,601.67","387,351,176.76","905,868,197.70","1,662,545,262.32","1,635,997,664.41","491,541,565.44","924,659,038.57"
经营活动现金流入小计,"25,523,549.80","119,779,846.21","280,832,771.66","25,850,418.05","94,709,441.40","192,716,159.71","296,408,387.50","48,886,687.39","123,343,363.80","201,482,495.95","349,831,511.55","84,557,809.32","183,054,804.28","276,494,947.73","480,081,908.10","86,770,726.90","222,786,234.99","347,893,080.32","529,403,450.86","80,507,139.63","236,668,671.64","463,385,546.27","836,144,346.93","142,286,935.44","348,798,373.51","697,247,145.72","1,241,009,896.26","291,570,397.24","600,543,886.79","1,044,282,954.66","1,683,823,418.79","413,188,938.02","945,160,257.66","1,830,368,852.17","2,632,445,374.28","535,061,996.12","1,079,563,654.71","2,072,478,784.69","3,514,502,671.61","640,438,285.87","1,583,765,082.25","2,942,878,556.25","5,311,828,475.48","1,422,021,093.52","2,919,902,760.19"
投资活动产生的现金流量净额,"-4,036,239.95","-18,245,309.25","-34,316,411.17","-1,332,549.77","-11,702,029.54","-21,531,219.75","-56,669,784.30","-3,691,584.38","-12,406,198.14","-27,585,101.87","-73,510,439.95","-28,790,945.61","-45,994,692.94","-89,433,082.75","-98,830,926.21","-34,839,658.62","-62,536,526.25","-96,027,516.26","-135,969,042.15","-133,267,305.89","-179,935,069.36","-204,835,268.01","-265,717,770.31","-109,968,074.18","-188,054,129.40","-627,118,612.05","-716,960,146.70","-198,045,445.07","-505,404,742.49","-785,213,853.51","-1,118,095,024.62","-375,140,983.31","-497,439,486.27","-1,053,344,165.42","-1,356,601,963.03","-220,114,029.76","-506,311,809.31","-485,853,014.11","-922,508,455.72","-344,029,361.01","-882,133,320.98","-1,285,362,662.67","-1,499,557,475.31","-433,734,638.54","-767,627,017.15"
购买商品、接受劳务支付的现金,"16,089,756.56","63,006,554.48","140,387,959.06","52,949,799.68","61,690,807.17","106,967,620.40","146,294,222.12","34,931,132.26","55,613,054.52","85,352,579.49","152,218,055.13","49,720,573.60","84,127,656.56","116,405,857.67","224,011,161.14","36,542,252.38","88,319,200.14","132,664,296.70","178,434,819.80","36,477,630.75","97,400,216.03","217,643,787.58","362,100,062.23","76,072,523.63","154,888,392.15","279,020,456.48","528,223,451.96","126,528,702.05","257,499,374.02","377,991,600.38","581,611,972.51","239,155,573.27","551,116,499.58","891,138,721.65","1,185,681,755.76","287,932,926.98","806,634,046.75","1,187,808,448.72","1,761,290,770.29","439,219,636.48","1,174,598,276.92","1,814,618,328.60","2,602,555,999.60","835,937,427.32","1,730,783,693.40"
吸收投资收到的现金,,,,,"321,520,000.00","321,520,000.00","321,520,000.00",,,,"12,080,000.00",,,"1,350,000.00","1,350,000.00",,"424,969,978.15","425,959,978.15","425,959,978.15","10,000,000.00","10,797,500.00","10,797,500.00","10,797,500.00",,"1,740,814,265.60","1,740,814,265.60","1,740,814,265.60","76,411,011.55","81,099,244.88","116,882,010.43","124,109,679.33","87,562,402.86","194,185,243.51","2,319,931,942.55","2,306,578,386.81","57,429,507.85","62,868,940.88","90,665,153.95","143,475,730.24","347,602,806.14","1,242,471,907.61","1,248,462,926.60","1,234,708,784.56","6,100,000.00","13,653,698.76"
支付给职工以及为职工支付的现金,"8,634,960.60","10,250,213.46","21,132,599.73","13,281,881.72","13,621,074.06","20,116,276.88","27,568,062.17","18,104,096.06","26,451,818.45","36,169,219.16","47,123,496.12","21,480,567.96","34,400,567.06","45,075,413.24","61,999,601.07","30,141,853.45","48,797,037.31","71,102,486.43","84,708,308.59","29,487,356.28","52,674,636.77","76,304,587.30","111,869,525.86","47,326,363.89","77,093,378.66","116,511,934.39","163,815,107.19","80,977,191.37","139,648,038.79","205,804,307.29","308,638,506.97","118,017,829.46","207,024,332.08","294,428,237.69","357,832,784.62","199,267,994.74","318,403,598.34","484,569,952.07","685,422,404.66","314,278,096.41","540,326,836.29","825,188,309.04","1,127,782,510.98","649,288,105.61","988,405,740.37"
取得借款收到的现金,"20,000,000.00","60,000,000.00","70,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","45,000,000.00",,,"65,500,000.00","65,500,000.00","1,500,000.00",,,"19,800,000.00",,,,,,"33,000,000.00","33,000,000.00","63,300,000.00",,,"2,300,000.00","6,541,370.14",,,,"2,000,000.00",,"196,300,000.00","369,400,000.00","268,587,759.25","124,440,000.00","529,440,000.00","544,422,155.70","721,747,155.70","162,527,423.28","145,736,293.00","160,887,541.42","563,444,180.06","119,794,955.55","405,886,528.38"
支付的各项税费,"4,992,568.46","9,865,424.14","18,854,838.68","6,259,221.11","12,190,634.25","20,941,593.70","27,983,481.63","10,921,953.79","15,190,632.38","21,969,373.30","35,440,461.70","12,112,651.39","24,107,970.45","32,447,073.17","41,249,390.97","22,462,669.27","33,732,894.36","48,355,472.00","57,627,575.46","25,272,662.80","43,949,128.93","60,089,337.66","80,162,713.59","29,543,793.93","51,773,733.30","73,544,665.31","106,071,170.55","59,316,630.62","92,456,473.90","122,884,901.62","151,913,315.18","86,273,503.21","125,953,187.46","169,308,098.69","203,236,813.62","96,332,493.19","148,890,030.10","202,619,994.76","190,768,925.01","151,109,991.07","206,323,118.41","282,827,850.77","325,626,104.44","193,544,790.71","351,204,893.63"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"1,500,000.00","3,000,000.00",,,,,,,,,,,,545.53,,,,,"628,491.04",,,,"2,637,593.37",,"199,980,000.00","189,980,000.00","51,511,260.26","1,800,000.00","189,980,000.00","189,980,000.00",,"176,154,992.05",
支付其他与经营活动有关的现金,"8,173,618.82","11,864,601.11","24,773,357.67","15,365,227.25","15,014,330.62","35,401,238.96","33,681,367.83","9,600,052.08","21,711,160.95","36,249,682.84","48,522,502.35","17,965,764.46","33,357,326.14","57,650,465.94","63,485,397.68","15,621,080.01","48,334,697.97","72,519,926.25","91,096,259.70","19,218,228.32","47,608,252.19","79,491,664.12","119,952,567.05","20,955,944.46","62,207,113.05","116,390,874.51","146,831,386.13","53,057,699.28","107,089,661.62","192,139,972.31","221,584,373.73","63,494,904.54","155,466,663.50","429,529,100.64","370,092,388.88","133,671,883.90","262,346,262.44","547,573,292.92","577,716,593.66","219,515,479.84","393,674,548.47","667,657,236.12","893,137,642.68","375,075,694.73","672,557,542.20"
筹资活动现金流入小计,"20,000,000.00","60,000,000.00","70,000,000.00","30,000,000.00","361,520,000.00","361,520,000.00","366,520,000.00",,,"65,500,000.00","77,580,000.00","1,500,000.00","1,500,000.00","4,350,000.00","21,150,000.00",,"424,969,978.15","425,959,978.15","425,959,978.15","10,000,000.00","43,797,500.00","43,797,500.00","74,097,500.00",,"1,740,814,265.60","1,743,114,811.13","1,747,355,635.74","76,411,011.55","81,099,244.88","116,882,010.43","126,738,170.37","87,562,402.86","390,485,243.51","2,689,331,942.55","2,577,803,739.43","181,869,507.85","792,288,940.88","825,067,309.65","916,734,146.20","511,930,229.42","1,578,188,200.61","1,599,330,468.02","1,798,152,964.62","302,049,947.60","419,540,227.14"
经营活动现金流出小计,"37,890,904.44","94,986,793.19","205,148,755.14","77,856,129.76","102,516,846.10","183,426,729.94","235,527,133.75","73,557,234.19","118,966,666.30","179,740,854.79","283,304,515.30","101,279,557.41","175,993,520.21","251,578,810.02","390,745,550.86","104,767,855.11","219,183,829.78","324,642,181.38","411,866,963.55","110,455,878.15","241,632,233.92","433,529,376.66","674,084,868.73","173,898,625.91","345,962,617.16","585,467,930.69","944,941,115.83","319,880,223.32","596,693,548.33","898,820,781.60","1,263,748,168.39","506,941,810.48","1,039,560,682.62","1,784,404,158.67","2,116,843,742.88","717,205,298.81","1,536,273,937.63","2,422,571,688.47","3,215,198,693.62","1,124,123,203.80","2,314,922,780.09","3,590,291,724.53","4,949,102,257.70","2,053,846,018.37","3,742,951,869.60"
偿还债务支付的现金,"28,000,000.00","48,000,000.00","78,000,000.00","30,000,000.00","80,000,000.00","80,000,000.00","83,000,000.00",,,,"32,500,000.00",,,"38,000,000.00","38,000,000.00",,"19,800,000.00","19,800,000.00","19,800,000.00",,,,"60,300,000.00",,,,"26,193,741.80","9,541,370.14","15,541,370.14","15,841,370.14","20,922,849.24",,"6,179,372.50","135,485,743.33","21,540,000.00",,,"174,772,339.00","284,100,000.00",,"30,000,000.00","53,900,000.00","358,900,000.00","18,000,000.00","15,574,100.00"
