科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"80,903,513.81","49,883,581.47","92,507,700.27","182,251,792.55","97,011,042.80","1,356,648,057.80","988,162,891.72","953,250,712.07","969,210,784.44","1,101,452,763.90","1,133,586,543.62","929,060,480.25","968,476,824.62","912,186,953.91","933,398,538.80","908,759,228.60","460,562,918.67","498,295,457.71","232,839,128.34","195,632,271.96","405,096,055.80","367,104,477.68","654,025,008.65","454,953,080.03","511,429,360.73","647,767,454.38","405,508,101.83","823,142,148.10","224,366,214.36","1,116,311,701.66","497,738,734.55","788,129,379.69","572,680,858.07","770,541,749.70","467,343,844.66","630,130,808.78","917,420,244.81","1,826,335,013.40","1,615,944,575.66"
短期借款,"49,951,500.00","132,400,000.00","207,389,680.00","235,890,860.00","199,210,984.28","237,504,701.92",,"39,414,800.00","192,307,267.14","233,971,861.12","145,136,502.42","213,862,191.36","277,071,026.72","198,462,507.09","285,694,031.99","522,957,286.39","787,459,423.15","667,093,755.39","512,699,733.70","514,155,235.01","575,469,599.39","472,516,195.74","377,910,201.48","774,331,537.80","553,843,483.65","441,177,537.67","453,621,628.04","544,563,072.53","235,021,541.82","197,574,357.67","206,628,266.62","663,329,315.02","561,550,391.38","1,160,713,318.85","1,299,024,689.35","1,797,535,050.00","1,715,312,450.00","1,960,793,291.21","1,919,056,428.32"
交易性金融资产,,"3,829,255.00",,,,,,,,,,,,,,"45,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,"296,027.73","369,761.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"500,000.00",,"1,200,000.00","600,000.00","1,580,000.00","2,555,990.00","13,784,329.90",,,"5,200,000.00","18,992,601.00","5,593,487.00","270,000.00","50,000.00","4,530,000.00","60,138,450.11","59,577,150.17","63,825,695.83","15,583,590.00","14,468,469.46","9,524,000.00","16,400,000.00","76,802,504.27","47,377,688.00",,"26,563,102.00","18,096,347.58","19,085,305.93","50,566,025.46","31,706,500.00","70,573,342.38","75,750,086.82","55,858,482.24","73,174,445.90","38,836,363.87","115,736,914.39"
应付票据,"94,481,408.10","62,728,035.74","54,776,115.20","161,342,659.80","120,256,003.93","100,728,467.18","214,884,111.24","213,573,423.51","287,838,224.54","358,633,536.86","444,182,058.58","336,832,579.55","172,580,633.33","170,780,900.44","236,060,322.68","201,008,819.92","212,444,739.76","204,781,493.48","226,548,542.43","312,971,845.46","281,196,578.48","267,511,316.08","309,393,668.63","618,097,109.08","776,419,881.06","498,958,577.70","405,061,980.25","617,057,514.06","681,692,904.63","801,742,800.62","895,059,092.28","1,068,835,874.68","1,350,334,908.51","1,168,242,909.24","794,163,917.71","903,621,358.08",,"1,668,556,177.00",
应收账款,"54,297,326.97","97,433,300.47","94,758,749.69","143,908,500.24","140,579,465.19","116,051,880.60","213,631,328.19","228,595,216.87","320,927,028.31","236,515,481.62","228,770,156.24","397,595,777.52","382,473,445.36","238,895,412.47","307,561,672.82","495,365,829.90","606,850,852.01","476,784,861.32","466,472,989.28","528,861,392.86","553,459,052.82","472,403,817.59","452,659,446.37","708,778,793.30","828,720,429.81","833,389,938.39","797,753,707.87","873,845,648.01","1,024,232,667.44","940,308,199.75","1,084,182,879.58","1,158,538,932.04","1,590,664,404.75","1,621,280,307.23","1,579,512,947.37","1,799,951,073.11","1,752,118,898.24","1,771,393,084.37","-1,878,640,045.72"
应付账款,"23,688,415.31","26,943,882.39","29,460,965.89","27,368,844.89","45,725,752.92","23,470,332.43","84,748,974.48","85,824,651.07","114,587,443.06","69,254,842.54","167,774,197.68","145,066,829.87","111,539,171.33","86,769,578.13","103,044,487.40","162,055,192.80","208,163,336.64","145,727,977.00","148,909,541.02","209,289,499.42","300,749,578.70","118,253,247.31","133,684,775.36","343,303,041.41","340,993,228.35","422,816,577.71","438,117,293.24","521,774,547.30","642,093,246.30","463,877,109.95","447,765,526.63","423,854,890.40","585,780,833.70","538,299,320.79","638,347,961.40","691,064,988.04",,"642,440,917.01",
预付款项,"58,214,655.76","110,634,035.32","28,313,499.24","61,792,592.14","99,823,899.39","89,753,464.40","114,602,699.87","106,623,772.48","269,129,752.32","134,003,334.73","241,022,567.13","105,258,689.26","57,621,222.04","97,753,625.65","155,140,579.28","100,501,030.85","70,317,682.13","44,408,277.08","60,207,542.67","103,053,220.34","140,608,247.35","38,334,787.11","215,780,603.59","616,766,433.12","600,066,251.32","46,330,422.54","93,058,090.28","258,511,202.76","220,429,237.42","177,600,989.46","374,927,325.61","440,922,568.49","720,016,207.23","181,544,190.63","472,952,194.65","487,807,798.70","752,273,302.43","426,268,739.04","619,782,757.34"
预收款项,"4,560,937.60","6,939,680.25","8,727,414.65","19,105,244.13","18,263,355.40","6,485,095.90","13,992,645.00","32,705,064.01","50,153,850.84","64,998,808.96","126,868,314.08","145,571,185.43","136,965,750.00","80,672,187.39","73,910,420.42","24,132,378.53","9,246,941.49","27,577,095.21","25,643,353.16","11,310,923.34","46,384,800.18","53,794,625.83","36,376,016.80","72,077,077.63","23,490,244.08","32,521,484.74","22,994,388.26","32,567,475.01","31,718,109.45","20,095,792.84","38,416,062.89","34,294,533.17","108,326,479.23","58,080,566.87","106,195,786.42","103,328,733.75","351,710,000.23","169,888,494.65","411,951,348.59"
其他应收款,"4,634,443.35","36,474,866.38","5,672,078.63","3,293,135.36","2,319,657.63","3,033,119.51","4,003,461.77","5,107,260.57","5,190,633.94","3,132,213.07","4,052,476.51","3,689,970.47","4,368,581.99","3,274,175.35","4,657,941.98","8,338,192.45","7,688,399.86","3,395,491.02","6,126,260.63","10,509,490.22","8,482,214.97","12,189,238.90","14,003,704.30","14,945,761.02","54,924,920.09","51,591,335.17","178,418,527.11","66,333,544.50","63,481,814.38","114,455,900.29","69,825,324.88","111,273,819.20","115,030,453.43","74,365,420.86","79,297,119.97","97,013,870.47","113,509,100.59","58,531,662.19","69,821,808.04"
应付职工薪酬,"84,403.02","221,122.98","505,472.11","584,349.66","647,692.92","558,838.09","163,702.51","223,505.55","253,126.26","424,590.96","536,520.82","617,689.21","4,978,893.67","7,198,442.23","7,993,724.36","11,512,900.13","14,958,952.14","15,400,560.75","15,722,931.08","11,067,345.23","10,929,495.53","11,785,073.98","11,486,801.73","12,140,449.43","10,819,748.29","23,699,904.34","16,408,889.90","18,308,071.74","18,686,058.07","44,151,261.02","27,829,407.48","24,384,518.07","27,901,592.89","30,115,596.83","24,507,738.60","17,496,054.34","19,221,690.42","19,600,411.83","17,096,657.53"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-4,038,367.92","-6,353,027.68","-7,582,890.18","1,955,410.45","-556,135.92","-3,561,140.82","-23,460,789.28","-45,604,982.67","-43,974,503.48","-57,143,916.95","-73,758,808.72","-47,207,301.86","5,362,809.27","913,497.79","-8,139,208.96","4,899,321.85","-9,507,749.50","-33,657,996.17","-34,044,622.83","-34,827,012.78","-30,939,661.38","6,943,120.11","15,391,742.28","24,691,834.73","52,005,067.59","18,047,714.41","14,502,032.20","47,941,674.80","39,234,167.65","22,209,806.27","24,425,471.40","33,104,800.30","44,668,517.25","51,362,794.15","17,103,863.79","42,031,994.06","39,760,810.14","65,330,371.25","36,732,544.33"
