科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"73,000,859.29","80,386,748.52","111,750,538.41","115,447,901.37","155,686,667.02","29,381,391.31","21,490,592.68","13,709,363.98","11,914,006.99","33,025,184.68","32,723,331.45","75,630,375.20","36,986,199.08","24,661,160.25","18,663,983.79","101,509,012.96","99,262,492.21","95,067,301.12","105,965,660.70","119,387,806.84","118,093,116.89","114,054,634.55","117,946,032.72","111,830,770.71","111,108,499.34","106,862,199.63","105,305,178.12","157,163,592.68","143,691,948.22","79,186,641.67","78,358,037.18","75,861,259.03","73,021,009.29","66,851,835.47","62,554,836.92","149,448,771.06","121,656,745.87","67,644,622.41","70,461,147.49","145,795,726.46","132,261,765.23","26,459,905.09","22,827,494.28"
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,"1,139,059.80","1,088,057.12","1,199,062.95","1,224,064.26","1,180,061.95","1,158,060.79","1,173,061.58","1,229,064.52","1,231,064.63","1,234,064.79","1,215,063.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"784,735.16","784,735.16","784,735.16","1,234,724.50",,,,,,,"1,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付账款,"20,823,598.75","20,540,998.75","20,563,838.75","25,947,069.06","23,702,008.50","23,696,408.50","24,029,208.75","23,733,331.08","23,733,331.08","23,525,704.33","23,013,452.33","24,268,547.40","23,835,006.04","23,698,708.35","23,698,708.35","22,543,456.13","22,447,248.13","22,427,748.13","22,427,748.13","22,706,560.06","22,626,779.92","22,626,779.92","22,626,779.92","22,336,748.13","22,336,748.13","22,336,748.13","22,336,748.13","15,715,345.21","15,738,385.21","15,438,385.21","15,438,385.21","15,655,345.21","15,655,345.21","15,655,345.21","15,635,828.21","5,174,694.28","5,174,694.28","5,175,694.28","5,213,694.28","5,213,694.28","5,213,694.28","3,576,272.85","3,576,272.85"
预付款项,"2,950,288.98","3,450,288.98","6,745,288.98","2,695,310.60","2,695,310.00","4,204,810.60","2,786,560.60","2,558,802.60","2,558,802.60","2,558,802.60","2,558,802.60","2,535,457.32","2,535,457.32","2,635,457.32","1,535,457.32","1,535,457.32","1,385,457.32","1,350,439.40",,,,,,,,,,,,"100,000,000.00","100,000,000.00",,,,,,"4,608,300.00","3,080,683.53","1,640,100.00","159,666.67","4,812,966.67","3,142,200.00","1,631,100.00"
预收款项,"20,841,360.00","20,841,360.00","216,642,387.00","16,020,952.00","9,548,752.00","10,523,415.00","12,159,340.01","6,473,979.01","4,250,500.01","23,231,853.81","5,770,140.01","6,983,086.01","7,568,919.34","4,095,616.23","3,763,866.22","4,036,651.15","3,362,501.14","2,747,105.03","2,274,105.01","2,586,673.00","2,470,673.51","2,090,257.00","1,727,222.05","1,364,722.07","1,187,499.91","1,062,499.90","937,499.91","812,499.91","687,499.90","562,499.91","437,499.90","406,999.91","281,999.90","221,199.89","229,943.00",,,,,,,,
