科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"31,963,452.13","67,143,519.49","154,914,042.45","38,184,409.91","76,430,509.26","110,083,044.66","154,945,471.53","42,733,327.91","87,512,712.64","123,052,482.46","180,686,622.17","44,125,196.87","118,454,926.35","188,892,641.46","282,121,814.17","83,258,313.98","157,322,985.71","254,933,528.13","404,147,840.90","142,619,841.67","309,838,885.23","475,946,193.75","682,237,748.78","163,400,674.37","389,405,670.61","530,593,225.87","711,050,034.74","160,686,044.37","355,882,682.89","593,293,402.13","863,512,984.42","181,859,301.71","317,331,652.51","459,129,571.25","660,716,146.75","189,019,539.26","389,634,107.65","588,443,415.39","846,376,612.63","137,562,895.24","290,350,516.80","467,901,817.78","695,022,195.25","160,187,919.16"
二、营业利润,"9,938,636.95","18,799,971.60","44,165,155.08","11,692,805.35","23,766,087.27","30,529,855.55","41,113,360.70","11,748,913.88","25,740,019.63","35,430,204.23","50,312,501.61","13,695,058.58","26,805,539.55","38,640,985.89","56,846,307.49","13,138,688.42","33,131,232.16","44,274,571.29","64,447,840.94","13,674,460.76","29,099,269.79","42,817,755.00","63,327,364.03","10,864,787.87","36,586,829.36","48,600,622.21","65,103,951.82","7,157,482.92","17,035,768.33","23,175,395.06","22,679,509.88","-5,962,318.19","-7,145,025.38","-12,949,101.60","8,921,546.85","-7,242,040.64","-6,080,935.02","9,890,914.67","58,721,749.90","-19,203,228.73","-22,334,582.69","-14,155,796.55","29,602,901.48","-6,493,386.35"
减:营业成本,"17,654,010.10","38,196,964.34","89,001,698.70","21,662,746.36","43,740,975.28","66,142,059.55","97,063,644.47","23,955,755.16","48,555,997.70","70,961,651.02","109,228,468.39","25,901,910.67","73,508,098.92","120,064,276.89","176,649,544.36","52,473,415.07","102,372,246.70","171,454,305.44","271,154,326.49","101,532,218.58","216,038,175.66","335,045,445.93","480,217,299.22","115,689,346.94","274,112,689.54","369,502,029.36","487,510,269.59","114,454,598.04","258,556,458.00","446,627,215.20","658,516,279.95","143,812,114.21","242,723,953.84","344,075,737.09","501,528,210.42","138,614,315.88","273,308,593.68","408,102,653.31","589,392,175.02","112,698,611.91","235,684,149.91","373,419,573.52","527,812,707.49","122,250,214.44"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"243,274.33","614,910.78","1,298,384.55","294,253.80","564,143.53","871,990.44","1,373,945.11","351,454.15","726,106.53","924,881.90","1,360,279.47","329,170.31","928,544.56","1,358,058.23","1,992,988.77","469,001.86","1,319,812.20","1,984,032.76","3,445,322.78","830,375.55","2,271,971.95","3,292,542.13","5,109,751.74","1,267,562.44","2,130,696.63","3,338,773.59","5,170,120.24","971,359.24","2,377,265.18","3,745,064.95","5,569,573.12","672,904.95","1,250,102.55","2,022,120.89","3,936,517.12","1,307,992.52","2,897,603.49","4,294,803.23","8,302,637.30","1,294,208.80","3,607,459.84","4,829,976.93","8,860,828.11","1,667,391.91"
营业外收入,,"281,000.00","11,442,486.29","550,000.50","1,017,765.70","3,800,001.61","6,684,028.14","1,547,940.41","4,183,571.32","5,475,574.50","8,336,125.51","318,275.00","3,894,712.08","6,049,623.19","7,825,944.35","2,489,615.02","4,680,014.51","8,381,934.83","9,717,216.71","1,754,009.86","3,593,640.58","4,578,543.94","7,722,048.74","2,635,932.71","3,733,314.89","8,572,438.10","13,303,657.53","1,759,635.18","9,246,769.14","10,764,750.32","12,541,707.50","1,952,821.07","4,391,348.14","6,878,242.13","9,561,764.45","510,596.25","925,192.48","3,006,996.68","7,374,021.21","4,660,575.44","2,480,736.36","3,681,865.84","665,625.55","493,884.03"
销售费用,"728,125.95","1,597,045.58","6,868,574.55","1,063,373.71","3,033,583.39","4,898,478.25","6,410,682.48","2,099,887.55","3,259,214.82","4,996,539.69","7,522,442.00","2,413,958.07","6,518,150.59","11,580,484.95","18,191,913.85","8,516,000.69","13,156,432.33","20,578,055.58","29,075,956.88","9,265,794.18","18,873,302.74","28,964,756.63","40,879,192.97","10,293,705.95","21,156,538.31","33,108,572.36","46,341,295.45","9,971,997.17","21,273,526.50","34,819,390.89","51,528,674.13","14,174,936.40","28,007,775.81","41,878,940.59","57,624,442.38","18,021,490.54","34,714,556.86","49,995,200.39","68,068,119.02","15,549,923.58","30,468,944.13","43,194,468.60","57,511,721.85","15,141,789.09"
减:营业外支出,158.57,"104,686.97","826,323.57","11,181.00","261,217.96","314,939.96","382,824.62","10,417.97","25,507.18","128,656.48","150,322.74","47,073.40","414,919.44","698,565.75","1,437,720.84","40,065.25","461,000.71","524,997.43","1,177,553.13","68,687.00","75,736.15","344,958.43","505,178.29","41,657.72","3,049,497.42","3,120,005.91","3,332,750.57","161,334.54","291,696.99","717,840.13","1,299,052.49","11,131.57","358,346.42","385,900.95","260,790.79","167,569.25","489,361.27","568,285.94","858,946.68","221,917.19","258,267.28","2,747,880.81","2,522,110.81","22,422.22"
管理费用,"2,746,569.53","5,610,655.68","13,034,605.40","2,605,860.51","4,323,024.56","7,835,132.34","11,655,881.12","3,997,993.48","9,599,492.00","13,078,869.29","16,673,837.81","4,177,032.27","10,333,550.31","17,893,939.96","28,146,118.19","10,737,250.64","21,321,512.27","33,322,929.96","51,695,654.45","16,856,279.78","38,705,090.31","60,271,207.07","85,504,898.28","23,263,071.29","41,701,421.14","63,732,930.69","89,934,687.47","24,152,331.99","46,742,249.55","70,149,883.62","99,526,431.37","24,045,447.33","50,505,076.25","75,655,944.37","113,391,393.91","32,435,006.07","59,996,059.52","86,733,276.30","114,892,925.53","24,264,687.82","48,648,864.57","72,178,487.52","94,142,067.31","27,244,590.75"
其中:非流动资产处置净损失,,,"12,339.48",,"8,381.29","8,381.29","18,429.01",,,"9,062.36","73,621.78",,"32,076.65","32,076.65","377,177.76",,"388,725.17","399,647.51","583,142.54",,,,"35,467.17",,"2,733,877.24","2,741,588.41","2,752,994.38",,"132,072.10","176,226.20","407,497.89","3,364.50","5,051.92","19,210.99","13,702.91","19,244.16","321,616.18","328,215.35","428,279.78",,"5,260.19","261,543.64",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"101,786.49","636,823.89","1,735,818.36","458,978.17","-51,469.02","-857,804.89","-4,225,090.86","-755,178.18","-1,460,750.91","-2,885,374.70","-3,557,335.84","-267,794.23","32,100.15","807,181.33","1,690,769.37","-2,902,419.32","2,574,605.86","1,988,378.37","1,906,367.10","-1,847,049.21","570,119.05","434,726.20","1,820,948.10","1,566,891.30","3,584,646.26","6,429,999.32","8,321,113.99","1,342,442.69","4,496,556.94","7,443,688.83","10,556,920.37","3,585,570.53","6,297,107.14","11,682,449.84","14,559,008.44","4,564,560.62","8,960,842.97","12,703,231.74","15,843,893.50","1,454,590.76","3,116,375.42","4,079,280.70","4,079,042.07","179,986.04"
三、利润总额,"9,938,478.38","18,976,284.63","54,781,317.80","12,231,624.85","24,522,635.01","34,014,917.20","47,414,564.22","13,286,436.32","29,898,083.77","40,777,122.25","58,498,304.38","13,966,260.18","30,285,332.19","43,992,043.33","63,234,531.00","15,588,238.19","37,350,245.96","52,131,508.69","72,987,504.52","15,359,783.62","32,617,174.22","47,051,340.51","70,544,234.48","13,459,062.86","37,270,646.83","54,053,054.40","75,074,858.78","8,755,783.56","25,990,840.48","33,222,305.25","33,922,164.89","-4,020,628.69","-3,112,023.66","-6,456,760.42","18,222,520.51","-6,899,013.64","-5,645,103.81","12,329,625.41","65,236,824.43","-14,764,570.48","-20,112,113.61","-13,221,811.52","27,746,416.22","-6,021,924.54"
