科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"216,942,081.21","279,505,070.23","62,076,330.12","313,158,124.88","62,198,704.06","138,686,237.25","214,311,034.61","298,701,604.53","59,768,615.37","159,016,076.64","271,480,012.62","354,131,710.61","77,112,389.89","166,662,616.94","242,123,689.96","356,081,981.82","80,052,298.31","207,851,028.96","338,776,812.24","407,567,065.20","103,039,533.44","229,591,776.92","363,935,130.19","425,451,964.83","107,181,295.34","194,647,027.04","306,555,663.88","397,858,037.29","112,311,325.50","180,928,997.52","340,060,106.30","420,138,125.35","137,048,968.40","326,795,670.03","475,437,035.29","597,918,934.37","120,867,037.89","266,550,306.38"
二、营业利润,"47,112,097.88","35,932,855.12","5,319,843.14","44,216,954.41","5,410,788.47","13,279,445.73","20,660,801.13","23,397,923.79","541,042.14","13,066,173.65","20,850,523.93","23,980,551.12","617,763.69","8,016,365.18","7,857,162.77","6,073,832.27","1,101,585.34","6,622,516.36","7,948,793.98","-10,731,706.67","863,786.41","-7,607,011.65","-30,779,710.14","20,313,175.75","-15,793,141.21","-52,434,793.57","-79,778,153.70","-153,196,329.42","-18,983,657.43","-53,784,356.97","-101,799,685.58","8,215,712.26","-15,296,425.59","-45,956,194.67","-89,359,094.89","-171,321,313.32","-24,821,980.93","-59,779,877.47"
减:营业成本,"139,021,507.11","194,960,808.61","41,140,245.57","207,698,131.11","40,849,334.78","91,138,816.00","142,247,651.21","196,930,238.71","37,512,326.41","104,622,806.63","181,938,904.10","235,935,409.71","48,801,635.77","99,134,784.89","151,200,644.76","237,330,522.19","44,864,853.01","127,193,225.49","216,314,363.42","274,701,241.27","61,067,094.39","153,422,504.91","245,621,878.49","292,618,547.26","71,672,521.54","137,646,009.74","217,375,958.53","295,563,241.55","70,354,166.30","116,675,545.97","237,539,774.55","284,355,219.65","78,801,848.12","221,770,339.65","326,006,116.46","414,893,283.61","75,632,276.11","190,198,695.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,2.26,4.50,"234,908.11","618,406.45","1,415,634.41","1,911,975.19","2,289,117.26","1,160,642.92","1,853,184.16","2,509,486.28","2,671,040.42","745,264.41","1,153,450.32","2,045,497.36","2,836,185.01","1,097,041.21","1,481,141.46","1,995,980.00","2,407,086.15","435,310.44","846,251.80","1,343,388.45","1,698,722.89","933,077.47","1,609,038.33","2,385,868.24","4,328,117.19","855,159.60","2,653,986.10","4,315,718.93","5,857,289.11","446,223.21","2,569,255.66"
营业外收入,"424,969.71","94,092.44","56,640.00","1,023,791.25","226,616.00","778,444.57","2,824,044.57","4,016,023.15","119,420.00","299,350.86","413,350.86","533,177.45",129.29,"20,030.00","52,703.00","714,537.45","141,828.62","256,268.62","257,123.62","3,060,638.40","81,351.34","94,603.06","1,014,556.30","3,122,737.38","3,123,472.11","3,133,016.64","3,269,827.93","726,748.60","5,084,500.37","5,221,679.57","6,624,570.45","4,936,073.75","951,806.22","2,873,025.41","3,760,377.29","14,544,025.82","191,461.25","216,168.92"
销售费用,"13,796,674.63","16,857,733.91","6,391,565.45","17,503,471.69","6,444,454.19","13,531,613.56","19,499,061.18","33,738,376.11","7,972,286.71","17,724,271.70","29,171,871.15","48,467,182.51","10,523,705.33","30,721,040.00","46,133,891.98","57,202,195.07","16,505,662.15","37,174,295.56","57,359,081.98","73,318,627.47","17,142,753.31","39,188,399.71","67,696,786.07","92,945,797.27","16,177,028.80","35,841,498.44","60,545,038.82","64,137,188.27","15,969,880.05","35,056,242.23","50,902,319.45","80,332,243.78","19,745,281.11","36,326,083.96","56,631,403.45","70,578,178.70","14,444,213.22","28,407,166.98"
减:营业外支出,"29,789.93","461,464.46","1,080.00","14,646.66","23,188.46","24,484.46","28,613.36","29,563.36",200.00,"101,898.12","102,418.12","139,084.55","8,700.00","12,363.82","28,537.72","42,940.36","6,594.68","240,276.97","247,895.54","308,332.17","7,428.46","145,623.69","326,663.71","13,509,380.51","30,928.55","646,907.74","706,947.32","600,251.24","605,366.75","637,584.75","665,707.92","529,479.23","206,449.88","360,802.03","851,422.09","733,123.06","-243,812.32","873,278.54"
管理费用,"20,247,298.80","32,046,380.79","8,542,799.88","41,910,982.49","8,998,102.13","20,167,037.43","31,338,205.79","49,132,579.64","13,253,544.76","28,308,314.80","44,296,089.58","57,569,484.55","19,899,039.13","35,361,974.59","47,257,123.64","66,633,696.88","21,191,181.90","42,453,341.55","65,492,731.67","72,334,139.45","24,198,207.30","48,031,959.05","83,768,907.58","120,472,127.54","33,599,840.96","68,328,516.11","94,736,780.94","166,402,689.88","40,017,542.79","76,895,067.87","147,006,997.81","189,758,090.35","57,836,171.74","124,911,093.94","200,920,598.94","284,731,006.29","58,593,280.34","109,134,386.05"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"-21,285.69",,,,"2,976.86",,,,"13,178,451.15",,,,,,,,"9,558.66",,"239,802.01",,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"667,785.94","18,048.80","681,876.08","1,193,113.57","496,024.49","590,530.46","514,061.88","-5,505,311.25","-224,780.42","-5,596,906.48","-6,689,351.33","-14,730,542.50","-3,890,396.95","-8,424,731.88","-12,834,619.47","-15,853,303.20","-4,060,568.71","-6,745,800.32","-10,383,656.17","-11,934,512.13","-2,523,965.70","-5,441,483.94","-4,099,643.65","-2,306,794.36","-71,044.79","-4,245,695.74","-1,609,450.28","1,756,987.78","-679,674.90","-1,798,080.54","-4,115,970.33","1,138,695.80","-4,037,664.03","-15,765,959.76","-26,339,189.66","-11,059,227.75","-3,178,156.99","7,016,645.04"
三、利润总额,"47,507,277.66","35,565,483.10","5,375,403.14","45,226,099.00","5,614,216.01","14,033,405.84","23,456,232.34","27,384,383.58","660,262.14","13,263,626.39","21,161,456.67","24,374,644.02","609,192.98","8,024,031.36","7,881,328.05","6,745,429.36","1,236,819.28","6,638,508.01","7,958,022.06","-7,979,400.44","937,709.29","-7,658,032.28","-30,091,817.55","9,926,532.62","-12,700,597.65","-49,948,684.67","-77,215,273.09","-153,069,832.06","-14,504,523.81","-49,200,262.15","-95,840,823.05","12,622,306.78","-14,551,069.25","-43,443,971.29","-86,450,139.69","-157,510,410.56","-24,386,707.36","-60,436,987.09"
资产减值损失,"54,209.36","146,863.76",,"635,471.61",,"-21,208.19","51,248.92","772,889.42","95,789.32","-524,218.07",,"620,507.96",,,,"2,023,998.19",,,,"7,043,090.80","1,194,616.52","69,456.67","180,602.60","740,544.25","562,536.25","848,365.94","1,427,305.35","7,609,689.22","414,999.56","1,397,192.69","2,679,360.87","-264,263.82","-290,349.54","-1,079,733.40","-1,108,248.62","3,568,270.11","-237,406.77","40,909.79"
