科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"41,168,662.61","24,492,209.37","59,945,512.86","66,394,278.88","53,498,311.85","57,002,222.39","101,468,432.59","106,993,943.18","119,522,623.99","116,804,213.51","110,952,368.95","102,000,677.55"
短期借款,"77,867,324.14","57,900,000.00","86,000,000.00","78,000,000.00","80,000,000.00","90,000,000.00","1,000,000.00","1,000,000.00",,,,
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"23,483,101.20","25,459,262.98","10,790,000.00","16,163,446.42","26,223,379.65","27,399,130.93","20,471,867.50","32,030,303.32","40,322,539.40","28,697,693.50","22,215,982.18","37,671,181.12"
应付票据,"6,812,000.00","5,684,000.00","10,143,462.88","18,795,800.00","17,344,223.99","18,470,527.54","17,532,464.62","12,487,942.55","23,252,399.65","28,462,435.79","29,389,116.62","35,142,027.01"
应收账款,"186,860,480.07","173,110,424.22","211,832,706.96","207,116,226.33","232,585,709.18","256,790,717.70","271,194,015.44","234,773,264.03","239,864,643.54","268,608,709.98","245,686,605.47","272,772,904.73"
应付账款,"91,707,700.62","96,201,923.93","116,700,241.14","125,224,847.20","124,927,493.60","136,245,650.23","117,303,351.25","98,845,972.08","115,903,345.76","136,536,718.04","129,380,191.79","154,563,193.59"
预付款项,"4,463,923.34","3,732,018.90","7,728,397.41","4,390,437.53","8,466,486.83","4,517,386.41","8,669,976.08","9,280,555.17","9,030,827.98","12,885,843.74","18,536,903.86","20,615,755.95"
预收款项,"953,588.38","3,539,298.85","840,354.53","1,492,601.72","1,928,114.29","1,590,801.91","2,176,112.62","1,897,966.88","1,836,922.97","3,082,694.63","3,105,626.65","3,144,617.86"
其他应收款,"4,629,819.93","6,739,728.40","7,929,983.68","7,662,246.19","6,323,023.21","7,286,882.53","3,982,540.51","3,708,874.02","3,429,789.06","2,972,007.84","3,377,440.42","3,036,178.48"
应付职工薪酬,"15,492,048.23","17,649,087.57","21,644,218.72","15,552,415.70","18,675,041.53","30,766,400.28","14,553,978.34","18,357,541.07","21,386,848.77","28,705,097.01","16,213,895.71","20,301,884.30"
应收关联公司款,,,,,,,,,,,,
应交税费,"6,668,922.76","7,246,093.46","6,742,399.39","6,594,221.50","8,657,208.40","4,697,276.89","5,859,894.64","7,645,359.06","7,210,108.63","5,308,678.41","5,009,156.63","9,098,301.86"
应收利息,,,,,,,,,,,,
应付利息,"335,045.38","460,607.82","599,422.25","230,594.69","185,116.80","115,313.96","1,180.56","1,191.78",,,,
应收股利,,,,,,,,,,,,
应付股利,"1,171,188.58","1,317,061.88",,"1,499,270.08",,,,"1,083,165.36","1,083,165.36","1,083,165.36","1,083,165.36","1,083,165.36"
存货,"74,543,421.52","94,706,629.88","101,327,853.94","120,996,987.47","128,493,504.89","141,568,668.96","129,323,371.37","133,188,646.40","146,958,652.99","156,788,801.26","160,062,744.42","175,914,307.40"
其他应付款,"4,118,457.23","2,521,768.39","2,911,457.73","2,163,687.45","3,059,738.91","2,642,430.93","8,452,745.61","2,501,911.47","3,603,382.42","2,427,822.40","2,019,352.21","1,949,526.37"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,
其他流动资产,"171,716.19","2,537,782.87","10,808,444.16","11,333,147.63","4,697,252.98","7,668,929.43","176,632,286.02","147,323,697.70","157,058,246.74","159,562,544.92","173,392,315.96","151,852,424.50"
其他流动负债,,,,,,,,,,,,
流动资产合计,"335,321,124.86","330,778,056.62","410,362,899.01","434,056,770.45","460,287,668.59","502,233,938.35","711,742,489.51","667,299,283.82","716,187,323.70","746,319,814.75","734,360,892.53","763,863,429.73"
流动负债合计,"205,126,275.32","192,519,841.90","245,581,556.64","249,553,438.34","254,776,937.52","284,528,401.74","166,879,727.64","143,821,050.25","174,276,173.56","205,606,611.64","186,200,504.97","225,712,244.32"
可供出售金融资产,,,"15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00"
长期借款,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
