科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
筹资活动现金流出小计,"161,208,146.00","117,835,667.74","59,732,609.67","172,362,294.54","251,325,268.29","407,354,356.01","58,074,545.51","159,008,049.40","206,589,156.01","273,004,245.97","32,974,341.81","52,714,135.73","106,219,600.37","168,176,608.06","34,068,931.28","304,811,128.60","469,225,396.85","555,808,571.74","120,448,103.61","266,179,018.61","462,322,015.16","1,000,368,080.25","310,697,226.09","780,565,782.27","1,159,482,493.47","1,675,432,472.05","508,506,291.01","1,152,100,045.95","1,803,768,232.27","2,598,828,151.95","586,764,877.62"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"85,000.00","420,000.00",,,"57,800.00",,,"27,200.00","27,200.00",,"322,200.00","411,419.35","433,819.35",,,"80,800.00","90,780.58",,,,"57,301,913.53","20,038,139.50","30,284,268.90","30,594,168.90","40,961,356.99","188,795.40","2,158,145.40","2,398,145.40","5,388,970.36","1,338,400.00"
筹资活动产生的现金流量净额,"-21,208,146.00","32,164,332.26","152,953,234.19","33,871,590.46","555,748,070.47","508,820,953.45","-35,520,187.51","-56,515,241.40","-87,953,088.01","-58,459,277.97","-21,089,771.81","37,681,570.27","-12,056,505.64","36,749,405.94","410,124,668.75","405,882,406.83","400,438,052.69","538,119,780.12","44,906,795.50","94,699,728.81","375,084,546.28","597,962,122.17","152,977,657.17","60,961,064.50","255,177,315.22","526,005,084.64","162,227,533.54","617,750,195.88","718,703,140.55","804,617,068.77","181,930,787.38"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,"17,000,000.00","17,000,000.00","17,000,000.00","29,741,284.77",,,,,,,,,
四、汇率变动对现金的影响,"-203,831.98","-119,944.66","-336,871.64","-436,597.62","-645,553.05","-755,022.27","67,051.38","-179,155.25","-237,031.64",-872.82,"-82,593.20","-247,679.70","10,396.06","-1,005,892.01","151,196.22","380,983.07","438,813.02","-267,279.95","195,960.65","170,949.01","912,099.47","1,708,944.87","-33,122.57","985,939.39","1,194,591.09","2,897,477.25","-252,825.48","-1,985,270.35","-4,244,509.21","-5,649,734.04","-4,561,510.33"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"765,714.62",,"5,562,306.53","5,562,306.53","1,656,442.94",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"85,000.00","420,000.00",,,"57,800.00",,,"27,200.00","27,200.00",,"322,200.00","411,419.35","433,819.35",,,"80,800.00","90,780.58","17,000,000.00","17,000,000.00","17,000,000.00","87,043,198.30","20,038,139.50","30,284,268.90","30,594,168.90","41,727,071.61","150,230,147.73","157,811,939.88","158,051,939.88","217,077,098.14","71,150,740.46"
五、现金及现金等价物净增加额,"-460,703.61","52,001,695.13","-1,428,862.96","-21,194,354.70","463,695,461.33","401,928,320.85","-62,864,245.78","-114,833,483.17","-231,700,826.72","-236,559,908.46","9,581,985.69","25,752,824.18","-52,738,020.53","25,309,860.42","268,654,425.46","116,297,219.18","19,648,625.71","-39,381,104.32","-23,589,877.50","44,340,251.28","14,545,148.55","157,528,514.33","-62,109,890.99","-55,004,140.31","5,691,806.40","86,072,605.26","-46,140,876.72","36,715,013.79","-75,849,192.02","-60,731,775.44","9,329,017.75"
购建固定资产、无形资产和其他长期资产支付的现金,"12,727,773.46","17,092,587.56","179,824,802.45","34,758,450.05","69,130,286.26","151,496,467.10","76,835,939.05","108,893,746.22","141,175,782.81","199,439,893.22","10,802,156.60","47,025,408.31","72,407,882.52","191,290,960.18","63,735,888.92","166,214,882.52","208,058,396.10","290,919,008.22","75,972,338.07","104,553,804.57","164,271,626.40","323,371,883.88","243,344,754.32","316,202,193.10","414,198,156.58","625,040,502.08","190,447,727.36","355,151,231.93","525,949,794.24","699,124,621.36","182,774,979.81"
期初现金及现金等价物余额,"8,568,032.52","8,107,328.91","60,109,024.04","58,680,161.08","58,680,161.08","58,680,161.08","460,608,481.93","460,608,481.93","460,608,481.93","460,608,481.93","224,048,573.47","224,048,573.47","224,048,573.47","224,048,573.47","258,560,722.06","249,358,433.89","249,358,433.89","249,358,433.89","234,697,317.22","209,977,329.57","209,977,329.57","209,977,329.57","444,231,778.47","367,505,843.90","367,505,843.90","367,505,843.90","453,578,449.16","453,578,449.16","453,578,449.16","453,578,449.16","392,846,673.72"
投资支付的现金,,,,,,,,,,,,,,,,,,"124,899,000.00",,,"43,459,020.84",,,"15,000,002.00","15,000,002.00","165,100,000.00",1.00,"10,000,000.00","10,000,000.00","156,213,481.44",
期末现金及现金等价物余额,"8,107,328.91","60,109,024.04","58,680,161.08","37,485,806.38","522,375,622.41","460,608,481.93","397,744,236.15","345,774,998.76","228,907,655.21","224,048,573.47","233,630,559.16","249,801,397.65","171,310,552.94","249,358,433.89","527,215,147.52","365,655,653.07","269,007,059.60","209,977,329.57","211,107,439.72","254,317,580.85","224,522,478.12","367,505,843.90","382,121,887.48","312,501,703.59","373,197,650.30","453,578,449.16","407,437,572.44","490,293,462.95","377,729,257.14","392,846,673.72","402,175,691.47"
