科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,975,756,104.02","2,079,527,769.85","2,355,124,548.78","1,013,070,899.72","1,636,239,821.41","2,370,850,157.98","398,925,460.47","1,029,674,523.50","1,781,134,329.85","2,776,352,912.35","534,425,236.19","1,684,379,229.26","2,558,634,365.72","3,871,139,777.23","819,277,842.45"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,"315,457.58","6,315,457.58","486,000,000.00",,,,"880,000,000.00",
收到其他与经营活动有关的现金,"3,246,421.99","5,113,472.74","10,691,699.72","822,474.03","2,189,584.03","11,012,606.83","1,750,525.82","17,614,291.82","19,509,573.54","13,417,157.96","1,995,299.64","4,023,350.00","8,026,573.51","9,488,661.18","1,759,150.46"
投资活动现金流出小计,"69,705,151.06","13,324,311.18","1,552,127.29","2,476,221.19","7,271,042.38","8,163,434.26","520,754.26","150,674,293.98","359,248,848.82","697,575,711.08","281,075,196.00","666,882,124.42","891,558,437.46","1,143,566,226.56","205,208,740.33"
经营活动现金流入小计,"1,979,002,526.01","2,084,641,242.59","2,365,816,248.50","1,013,893,373.75","1,638,429,405.44","2,381,862,764.81","400,675,986.29","1,047,288,815.32","1,800,643,903.39","2,789,770,070.31","536,420,535.83","1,688,402,579.26","2,566,660,939.23","3,880,628,438.41","821,036,992.91"
投资活动产生的现金流量净额,"-64,705,151.06","-11,324,311.18","-52,127.29","-2,476,221.19","-6,342,997.88","-6,639,967.26","-498,754.26","-50,674,293.98","-153,933,505.66","-116,078,304.95","-240,876,398.72","-214,348,658.96","-218,917,618.57","-247,692,366.58","-3,618,809.59"
购买商品、接受劳务支付的现金,"1,709,042,542.75","1,967,514,446.38","2,073,934,347.40","905,771,426.31","1,556,375,940.06","2,258,202,747.11","570,941,777.69","1,195,492,215.97","1,888,613,958.67","2,678,455,094.51","722,801,790.26","1,714,150,268.80","2,635,461,267.34","3,753,029,199.71","687,394,309.86"
吸收投资收到的现金,,,,,,"767,250,000.00",,,,,,,,"1,000,000.00",
