科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"181,328,421.24","260,833,443.09","64,129,954.38","320,315,623.13","74,015,897.29","177,219,407.40","281,322,287.31","357,100,481.82","75,905,779.68","180,932,254.93","306,767,501.70","407,928,670.00","116,229,690.23","209,091,193.27","291,484,942.58","371,313,399.05","90,147,739.84","198,008,802.21","305,650,710.48","415,376,055.36","91,620,099.82","212,810,821.62","330,101,685.83","448,608,114.82","118,555,340.46","221,240,463.76","350,766,997.10","444,932,650.11","101,149,120.78","198,596,755.95","335,060,971.15","452,394,179.59","108,509,173.79","223,320,524.48","371,018,996.82"
二、营业利润,"21,191,120.79","34,709,653.69","9,338,355.13","51,326,229.34","10,573,354.29","29,645,860.00","43,309,029.51","32,241,614.03","9,173,372.46","27,403,511.02","46,751,616.46","40,098,318.53","14,545,322.85","22,597,975.89","22,486,809.21","13,534,427.86","5,572,630.72","9,662,660.21","12,464,818.52","3,369,710.39","3,430,193.11","7,641,323.27","10,454,362.36","9,351,009.55","5,515,799.63","10,075,259.34","11,177,512.33","6,730,122.84","4,984,610.13","11,430,656.38","128,306,788.46","141,111,287.36","8,021,001.72","20,665,390.54","60,307,212.81"
减:营业成本,"138,444,937.45","200,264,105.57","48,816,930.17","235,373,467.79","53,956,034.88","128,126,416.77","206,279,822.52","264,144,886.01","55,997,485.93","126,108,883.99","212,832,262.94","288,714,902.04","82,700,791.16","148,028,465.89","206,136,717.68","261,132,694.76","62,801,746.60","139,601,430.84","216,957,043.69","290,365,900.27","66,072,867.69","151,194,412.47","234,661,032.86","319,943,843.67","85,518,241.59","156,548,702.56","246,252,955.35","320,078,885.98","72,257,141.13","143,380,787.96","229,106,830.80","289,265,790.77","70,266,997.21","130,454,602.50","190,744,056.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,150,654.84","2,194,482.86","760,025.71","1,834,761.75","623,617.26","1,130,557.54","1,925,579.32","2,808,325.73","298,125.03","1,103,474.78","2,057,956.33","3,269,205.50","641,266.12","1,910,839.88","2,441,240.22","3,239,540.50","225,907.56","1,476,531.16","2,378,477.60","3,298,652.32","790,160.03","1,715,216.73","2,821,065.97","4,115,063.82","655,777.19","1,460,386.81","2,463,380.48","3,606,218.17","638,546.97","1,450,855.00","2,498,181.09","6,404,856.82","485,773.46","1,445,033.40","2,327,229.40"
营业外收入,"7,406,500.15","1,917,767.93","597,062.20","2,224,078.10","2,894,891.00","3,000,891.00","3,229,854.00","8,030,927.37","5,029,205.00","7,566,405.00","7,695,662.51","7,695,662.51","1,508,407.82","5,090,302.40","14,794,011.51","17,655,941.33","7,916,642.16","8,118,840.04","9,014,236.69","9,052,680.40","4,005,689.41","4,126,897.97","4,878,053.49","5,330,570.38","1,263,157.35","1,662,037.79","3,211,585.49","7,716,299.98","107,082.71","750,655.72","1,651,465.25","4,569,380.38","1,060,828.22","2,403,283.77","2,848,166.78"
销售费用,"7,275,734.77","7,814,354.75","932,071.88","8,204,761.89","1,999,405.32","4,457,934.19","6,479,929.21","10,116,623.92","2,312,093.89","9,500,420.80","18,377,879.59","35,193,246.41","8,459,147.66","18,458,056.91","31,908,856.33","46,380,287.82","8,954,119.44","18,632,053.50","28,734,382.05","46,236,415.52","7,781,126.48","23,949,309.67","37,010,079.63","42,155,365.97","8,132,806.26","17,991,211.62","30,190,086.22","39,747,273.48","6,179,095.82","14,384,912.94","21,600,744.04","39,155,194.45","8,385,997.18","18,628,564.32","32,145,760.13"
减:营业外支出,"652,621.20","151,480.00",80.00,"74,880.00",460.48,460.48,"21,190.48","462,540.54","320,000.00","321,270.01","370,611.84","435,308.55","2,963.36","1,699.78","3,724.78","81,195.35",13.68,"174,093.81","194,273.57","189,187.67","7,175.87","26,946.97","87,843.09","207,553.14","169,819.55","2,226,832.03","2,227,419.55","2,369,569.29","34,467.59","120,352.30","2,175,083.01","2,253,731.85","168,360.01","48,971.92","53,388.04"
管理费用,"4,245,070.44","6,415,094.06","2,650,470.23","17,090,854.94","5,315,501.72","10,973,977.48","16,085,997.17","39,878,198.53","4,943,590.71","16,280,864.51","25,588,531.37","38,165,405.96","10,753,237.34","20,229,053.04","31,649,967.98","41,613,184.06","10,569,176.96","22,315,034.01","33,909,332.46","53,906,797.92","11,895,119.89","23,746,080.78","36,188,332.13","51,783,718.65","11,074,652.74","23,097,264.60","44,033,617.68","57,593,728.82","11,377,485.39","26,726,239.07","43,980,569.25","61,331,650.01","14,755,955.92","29,285,312.60","46,891,948.59"
其中:非流动资产处置净损失,,,,,,,,260.54,,,,680.25,,,,605.16,,,,"53,068.82",,,,"16,161.55",,,,"204,879.00",,"5,975.90",,"56,944.86",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"7,340,452.76","7,849,553.53","1,632,101.26","6,919,570.05","1,547,983.82","3,458,039.63","7,305,083.54","7,658,549.02","2,439,200.63","770,456.87","1,423,724.46","1,076,142.66","-1,008,501.53","-2,950,731.49","-3,143,378.09","2,005,545.22","1,822,609.14","5,221,956.30","10,156,389.14","15,150,699.14","1,616,758.60","4,891,519.02","10,567,490.77","13,053,511.78","5,323,575.85","8,140,187.14","10,475,853.70","633,333.39","4,977,445.79","2,823,826.34","5,325,167.46","1,750,985.60","5,671,387.84","21,870,569.56","35,996,576.07"
