科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"855,169,573.13","1,013,995,985.73","881,056,843.05","619,219,021.94",,"1,309,247,652.07","431,344,245.08","689,417,273.55","1,066,415,284.08","1,538,228,175.48","469,225,408.67","900,726,005.46","1,490,957,547.47","2,151,716,527.14","632,160,522.07"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"273,502.01",
收到的税费返还,,,"1,070,490.00","1,056,422.87",,"1,846,805.44",,"27,849.25","28,267.96","25,766.85",,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,"145,900.00",,
收到其他与经营活动有关的现金,"3,261,109.00","10,819,287.92","15,319,600.10","1,819,374.21",,"13,897,043.76","11,095,304.96","23,173,566.67","25,516,140.22","28,215,216.63","8,940,425.36","13,507,203.19","90,405,853.85","20,048,133.32","3,914,920.10"
投资活动现金流出小计,"73,305,818.05","71,554,961.27","56,733,408.85","47,988,646.60",,"57,925,363.53","277,307,213.92","384,826,256.91","480,071,712.44","112,749,028.52","41,602,593.50","63,703,047.64","109,605,116.68","231,880,231.59","20,308,236.58"
经营活动现金流入小计,"858,430,682.13","1,024,815,273.65","897,446,933.15","622,094,819.02",,"1,324,991,501.27","442,439,550.04","712,618,689.47","1,091,959,692.26","1,566,469,158.96","478,165,834.03","914,233,208.65","1,581,363,401.32","2,171,764,660.46","636,075,442.17"
投资活动产生的现金流量净额,"-72,775,264.73","-70,468,556.50","-54,529,117.51","-47,962,552.43","-55,601,200.00","-47,773,816.24","-247,227,175.92","-113,319,181.60","-102,397,702.49","-109,960,179.36","-40,317,805.42","34,002,948.76","-11,892,120.28","-134,146,187.61","-20,308,236.58"
购买商品、接受劳务支付的现金,"664,251,137.81","779,671,237.61","584,175,298.56","446,524,230.83",,"970,467,679.75","342,302,889.21","575,559,103.70","1,018,162,368.72","1,416,209,242.32","479,906,014.32","896,957,237.91","1,314,253,597.21","1,722,518,715.63","607,221,117.36"
吸收投资收到的现金,,,,,,"527,241,800.00",,,,,,,"1,000,000.00","1,000,000.00",
支付给职工以及为职工支付的现金,"58,201,484.33","70,684,379.61","87,010,953.17","51,110,012.17",,"98,991,200.28","33,010,622.35","58,118,329.23","92,243,858.78","126,466,384.81","41,809,018.13","74,280,926.78","109,689,317.25","161,204,765.65","53,542,240.53"
取得借款收到的现金,"193,235,887.99","319,256,867.61","272,620,724.78","133,397,674.64",,"289,774,880.24",,"123,741,482.43","271,523,235.70","482,281,972.18","12,500,000.00","321,918,342.81","516,143,527.21","776,993,994.57",
支付的各项税费,"76,057,263.91","86,785,805.57","67,077,830.83","45,446,593.66",,"91,864,059.46","22,303,995.21","47,781,576.60","67,036,592.20","74,718,418.53","36,776,179.26","63,153,238.35","99,231,391.91","108,345,179.74","26,183,046.73"
收到其他与筹资活动有关的现金,,,,,,,"719,626.16",,"2,126,746.08",,"9,240.00",,,,
支付其他与经营活动有关的现金,"66,760,056.85","68,988,969.18","70,588,314.35","42,083,643.13",,"103,238,009.51","29,963,397.49","63,769,334.12","82,778,685.70","105,456,592.14","1,290,591.29","49,063,018.77","130,959,846.87","148,465,807.65","31,397,658.55"
筹资活动现金流入小计,"193,235,887.99","319,256,867.61","272,620,724.78","133,397,674.64",,"917,016,680.24","719,626.16","123,741,482.43","273,649,981.78","482,281,972.18","12,509,240.00","321,918,342.81","517,143,527.21","777,993,994.57",
经营活动现金流出小计,"865,269,942.90","1,006,130,391.97","808,852,396.91","585,164,479.79",,"1,264,560,949.00","427,580,904.26","745,228,343.65","1,260,221,505.40","1,722,850,637.80","559,781,803.00","1,083,454,421.81","1,654,134,153.24","2,140,534,468.67","718,344,063.17"
偿还债务支付的现金,"70,000,000.00","233,135,887.99","234,444,702.08","119,900,000.00",,"249,941,333.00","245,709,446.55","281,077,665.73","312,627,665.73","447,366,437.55","29,999,947.58","188,083,073.58","339,523,921.14","503,895,972.18","51,500,000.00"
经营活动产生的现金流量净额,"-6,839,260.77","18,684,881.68","88,594,536.24","36,930,339.23","60,758,600.00","60,430,552.27","14,858,645.78","-32,609,654.18","-168,261,813.14","-156,381,478.84","-81,615,968.97","-169,221,213.16","-72,770,751.92","31,230,191.79","-82,268,621.00"
分配股利、利润或偿还利息支付的现金,"27,839,143.59","12,385,891.85","83,375,140.75","33,937,181.89",,"109,810,574.82","2,557,997.70","124,967,950.83","127,783,955.07","137,508,785.60","6,415,951.41","73,709,068.88","82,285,041.80","94,822,149.44","8,924,479.44"
收回投资收到的现金,,,,,,,"30,000,000.00","270,000,000.00","375,000,000.00",,,"95,267,985.58","95,267,985.58","92,186,241.96",
支付其他与筹资活动有关的现金,"2,396,809.91","3,006,755.97","2,211,651.67","1,018,793.55",,"11,889,217.19","5,684,788.59","5,763,078.35","5,919,676.26","4,934,783.60",,"2,220,835.36","7,912,849.11","6,656,399.70","569,392.75"
取得投资收益收到的现金,"93,589.03","676,852.26",,,,,,"1,389,698.64","2,544,623.28","2,559,770.56","1,238,178.08","2,366,780.82","2,366,780.82","5,449,583.76",
筹资活动现金流出小计,"100,235,953.50","248,528,535.81","320,031,494.50","154,855,975.44",,"371,641,125.01","253,952,232.84","411,808,694.91","446,331,297.06","589,810,006.75","36,415,898.99","264,012,977.82","429,721,812.05","605,374,521.32","60,993,872.19"
处置固定资产、无形资产和其他长期资产收回的现金净额,"236,964.29","409,552.51","2,204,291.34","26,094.17",,"151,547.29","80,038.00","117,376.67","129,386.67","229,078.60","46,610.00","71,230.00","78,230.00","98,218.26",
筹资活动产生的现金流量净额,"92,999,934.49","70,728,331.80","-47,410,769.72","-21,458,300.80","-12,672,700.00","545,375,555.23","-253,232,606.68","-288,067,212.48","-172,681,315.28","-107,528,034.57","-23,906,658.99","57,905,364.99","87,421,715.16","172,619,473.25","-60,993,872.19"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,"-30,650.45","-261,735.57","-585,246.97","-235,802.57","11,827.34","-144,175.56","-352,362.97"
收到其他与投资活动有关的现金,"200,000.00",,,,,"10,000,000.00",,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"530,553.32","1,086,404.77","2,204,291.34","26,094.17",,"10,151,547.29","30,080,038.00","271,507,075.31","377,674,009.95","2,788,849.16","1,284,788.08","97,705,996.40","97,712,996.40","97,734,043.98",
五、现金及现金等价物净增加额,"13,385,408.99","18,944,656.98","-13,345,350.99","-32,490,514.00","-7,515,300.00","558,032,291.26","-485,601,136.82","-433,996,048.26","-443,371,481.36","-374,131,428.34","-146,425,680.35","-77,548,701.98","2,770,670.30","69,559,301.87","-163,923,092.74"
购建固定资产、无形资产和其他长期资产支付的现金,"73,305,818.05","71,554,961.27","56,733,408.85","37,488,646.60",,"47,425,363.53","7,307,213.92","9,826,256.91","15,071,712.44","22,749,028.52","41,602,593.50","63,703,047.64","109,459,216.68","231,606,729.58","16,320,736.58"
期初现金及现金等价物余额,"52,544,297.37","65,929,706.36","84,874,363.34","71,529,012.35",,"71,529,012.35","629,561,303.61","629,561,303.61","629,561,303.61","629,561,303.61","255,429,875.27","255,429,875.27","255,429,875.27","255,703,377.28","325,262,679.15"
投资支付的现金,,,,"10,500,000.00",,"10,500,000.00","270,000,000.00","375,000,000.00","465,000,000.00","90,000,000.00",,,,,"3,987,500.00"
期末现金及现金等价物余额,"65,929,706.36","84,874,363.34","71,529,012.35","39,038,498.35",,"629,561,303.61","143,960,166.79","195,565,255.35","186,189,822.25","255,429,875.27","109,004,194.92","177,881,173.29","258,200,545.57","325,262,679.15","161,339,586.41"
