科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"56,307,099.47","67,991,000.44","85,308,489.53","69,582,330.95","77,096,619.07","258,105,336.62","207,597,539.08","197,744,643.47","263,910,057.25","269,548,599.56","250,848,788.17","332,730,021.28","335,411,883.50","343,491,382.53","286,897,328.06","347,165,710.57","348,557,106.51","300,544,769.97","245,253,104.21","306,980,096.70"
短期借款,"61,900,000.00","20,000,000.00","20,000,000.00",,"30,000,000.00",,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"41,164,150.96","49,049,743.55","69,265,872.47","62,127,361.68","65,128,891.21","29,681,656.82","81,422,801.54","109,739,675.32","82,589,821.20","59,264,205.85","132,016,447.20","124,070,834.51","143,772,262.54","79,378,423.26","151,163,400.57","121,238,484.40","140,931,136.35","116,088,749.06","178,262,446.92","143,287,895.78"
应付票据,"9,550,000.00","14,115,975.05","17,122,072.63","8,775,000.00","16,917,206.68","16,917,206.68",,,"1,825,763.34","3,710,209.34","4,466,742.00","2,582,296.00","2,640,196.00","2,640,196.00",,"2,760,458.60","1,041,930.00",,"1,143,000.00","3,831,328.30"
应收账款,"58,756,361.52","61,140,996.34","70,623,162.60","114,919,546.53","123,273,496.34","184,393,921.23","146,285,505.58","134,657,110.07","138,113,641.23","205,020,296.52","152,910,421.57","124,249,032.67","156,666,181.51","203,126,123.01","182,519,841.79","163,741,025.08","191,074,406.51","226,028,530.47","199,868,370.17","175,479,514.23"
应付账款,"91,600,275.54","99,517,542.19","107,030,485.93","106,866,628.46","128,229,473.22","123,382,317.03","114,306,301.39","126,675,536.50","127,288,082.83","118,355,314.48","130,031,801.94","109,909,904.30","119,522,051.61","101,678,595.68","111,251,940.76","109,192,669.33","144,513,872.36","136,180,869.19","137,793,663.01","131,414,421.66"
预付款项,"37,717,169.17","23,375,913.22","29,901,148.49","29,630,533.91","22,513,703.99","23,759,478.91","31,206,456.52","30,468,301.57","23,456,829.68","28,952,912.78","26,605,987.76","30,653,628.66","14,101,815.18","46,732,447.74","40,725,653.84","46,605,622.08","31,426,812.12","62,520,678.63","63,955,983.60","62,415,749.33"
预收款项,"3,673,103.21","503,601.37","559,034.15","254,518.87","565,203.95","212,961.61","285,255.92","199,606.98","116,222.74","170,896.92","162,453.64","176,267.84","94,823.35","1,301,309.64","41,514.38","41,515.39","78,995.37","408,310.32","282,177.06","188,458.65"
