科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"48,287,980.94","91,848,632.97","163,492,321.23","569,222,108.82","432,454,950.82","446,801,502.01","400,121,248.79","443,844,483.90","358,604,836.10","397,211,887.18","397,958,224.76","450,956,710.20","401,277,561.93"
短期借款,"65,000,000.00","62,500,000.00","40,000,000.00","40,000,000.00","20,000,000.00","10,000,000.00",,,,,,,
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"9,296,043.80","13,269,262.33","22,931,168.41","19,786,963.97","17,406,310.09","11,783,285.74","11,785,147.55","20,120,095.88","9,788,704.70","13,587,865.36","10,834,837.20","27,903,782.23","36,220,107.75"
应付票据,,,,,,,,,,,,,
应收账款,"16,308,901.59","17,291,570.39","16,476,560.94","21,428,004.34","24,884,694.44","41,919,445.23","14,258,717.88","17,814,234.10","31,537,634.72","26,192,008.44","17,176,393.85","24,589,375.71","32,415,295.81"
应付账款,"56,033,150.15","70,829,434.58","49,896,717.88","89,507,418.04","78,218,792.13","86,961,160.37","92,255,661.95","112,244,979.88","83,749,607.97","89,528,793.56","123,717,120.59","171,584,824.77","139,211,572.61"
预付款项,"35,920,984.82","6,781,258.54","9,108,043.09","16,340,717.31","44,222,286.04","21,748,819.84","29,620,669.74","69,887,754.36","38,138,545.13","58,326,998.65","16,118,605.30","51,034,749.43","31,443,256.91"
预收款项,"5,457,665.03","5,816,229.86","30,701,948.97","7,015,777.41","28,503,292.47","30,245,909.75","19,402,898.24","26,636,568.46","21,599,495.75","20,845,108.11","10,922,118.29","19,911,950.64","21,598,692.37"
其他应收款,"2,046,008.04","1,897,449.11","1,402,169.53","2,391,530.66","3,923,871.99","2,944,522.43","8,622,458.82","11,941,759.06","4,606,100.65","4,482,729.60","3,745,160.09","4,698,420.38","3,472,098.38"
应付职工薪酬,"729,954.93","987,820.06","8,937,218.47","3,713,418.57","3,642,853.13","2,013,626.65","10,878,628.49","4,679,329.19","2,026,999.35","2,245,903.02","3,972,358.88","2,174,436.74","1,430,110.23"
应收关联公司款,,,,,,,,,,,,,
应交税费,"5,557,632.79","9,600,770.55","7,566,535.26","18,789,396.04","12,959,665.56","15,238,086.75","7,456,718.69","34,489,592.93","12,134,443.11","7,396,583.73","14,361,151.97","25,910,236.55","9,008,704.24"
应收利息,,,,,,,,,,,"2,056,039.71","3,452,839.71","1,878,606.74"
应付利息,"131,378.46","149,787.52","117,551.03",,,,,,,,,,
应收股利,,,,,,,,,,,,,
应付股利,"14,912,100.00",,,,,,,,"15,037,500.00","12,426,750.00","12,426,750.00","13,807,500.00","29,219,460.00"
存货,"62,301,152.74","76,913,628.21","64,633,486.00","49,648,508.70","71,894,469.03","67,629,212.54","68,202,348.39","70,234,308.79","96,875,092.95","74,043,394.87","125,814,831.13","124,733,275.56","136,041,679.91"
其他应付款,"661,223.80","891,063.46","1,239,400.73","10,812,041.67","4,924,570.37","1,171,958.96","2,205,203.18","8,445,004.59","3,520,462.72","6,601,875.63","3,057,078.47","6,172,739.77","5,997,945.41"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,"495,429.39","333,333.28","245,429.37","92,763.44","37,720.75","37,720.80","37,720.75",,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,"4,672,086.01","4,587,645.48","4,583,035.33","5,163.05","9,351.35","42,308.70","14,524,080.98","12,980,729.02","19,510,953.01","9,316,319.01","19,842,424.83","8,682,963.55","4,612,099.35"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"178,833,157.94","212,589,447.03","283,122,213.92","679,156,330.13","595,041,363.13","592,961,859.93","547,172,392.90","646,861,085.91","559,099,588.01","583,161,203.11","593,546,516.87","696,052,116.77","647,360,706.78"
流动负债合计,"148,483,105.16","150,775,106.03","138,459,372.34","169,838,051.73","148,249,173.66","145,630,742.48","132,199,110.55","186,495,475.05","138,068,508.90","139,045,014.05","168,456,578.20","239,561,688.47","206,466,484.86"
可供出售金融资产,,,,,,,,,,,,,
长期借款,"3,000,000.00","24,000,000.00","33,388,723.00","52,553,074.00",,,,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,
固定资产,"116,736,215.66","108,363,036.82","107,255,007.94","105,676,864.16","105,415,835.33","103,676,638.44","78,877,588.60","76,850,381.44","75,308,053.74","316,005,684.88","356,793,007.66","371,042,242.88","359,291,079.28"
递延所得税负债,"2,628,758.37","2,568,049.24","2,507,732.72","2,492,689.74","2,477,646.76","2,465,353.78","1,600,895.96","1,600,895.96","1,600,895.96","1,600,895.96","1,593,750.00","1,593,750.00","1,593,750.00"
在建工程,"13,300,565.59","47,290,831.05","59,916,633.07","66,300,848.06","81,019,148.85","99,913,645.00","232,083,655.27","235,969,749.47","254,411,887.35","18,041,473.93","16,898,638.54","16,899,640.80","16,899,640.80"
其他非流动负债,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,"6,378,758.37","26,889,477.81","42,966,455.72","62,115,763.74","9,547,646.76","9,535,353.78","16,920,895.96","16,920,895.96","16,920,895.96","21,660,895.96","20,985,083.33","20,483,583.35","19,982,083.37"
固定资产清理,,,,,,,,,,,,,
负债合计,"154,861,863.53","177,664,583.84","181,425,828.06","231,953,815.47","157,796,820.42","155,166,096.26","149,120,006.51","203,416,371.01","154,989,404.86","160,705,910.01","189,441,661.53","260,045,271.82","226,448,568.23"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00"
油气资产,,,,,,,,,,,,,
资本公积,"63,900,108.53","63,900,108.53","63,900,108.53","362,933,158.53","362,933,158.53","362,933,158.53","362,479,383.21","362,479,383.21","262,479,383.21","262,479,383.21","262,479,383.21","262,479,383.21","262,479,383.21"
无形资产,"62,181,962.74","60,945,477.54","58,981,030.36","58,484,993.85","57,906,102.32","57,441,033.05","54,336,481.65","54,139,376.09","54,040,331.64","53,397,312.65","52,946,690.19","52,521,661.55","52,092,302.98"
盈余公积,"15,713,185.80","22,605,420.37","31,280,122.82","31,280,122.82","31,280,122.82","31,280,122.82","42,654,776.36","42,654,776.36","42,654,776.36","42,654,776.36","54,923,402.14","54,923,402.14","54,923,402.14"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,
未分配利润,"63,043,642.57","92,879,566.43","167,672,422.57","198,234,906.27","226,603,444.52","262,289,193.72","269,451,212.45","316,901,417.86","294,927,054.80","315,984,937.98","326,719,328.19","375,427,065.25","346,026,709.58"
长期待摊费用,,"958,333.33","61,826.84","91,158.48","44,632.18","62,867.90","25,147.13","15,716.88","6,286.73","34,577.28","612,148.97","3,586,809.89","2,009,615.49"
少数股东权益,,,,,,,,,,,,,
递延所得税资产,"1,620,433.30","2,296,689.84","4,462,399.03","5,040,188.59","5,082,261.67","4,216,021.87","11,210,112.98","11,615,638.65","12,184,471.76","11,184,755.71","12,766,772.84","12,772,650.53","12,224,717.83"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,,,"5,479,370.82","9,651,619.82","34,104,202.81","53,396,505.14",,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"193,839,177.29","219,854,368.58","236,156,268.06","245,245,672.96","283,572,183.16","318,706,711.40","376,532,985.63","378,590,862.53","395,951,031.22","398,663,804.45","440,017,258.20","456,823,005.65","442,517,356.38"
所有者权益(或股东权益)合计,"217,810,471.70","254,779,231.77","337,852,653.92","692,448,187.62","720,816,725.87","756,502,475.07","774,585,372.02","822,035,577.43","800,061,214.37","821,119,097.55","844,122,113.54","892,829,850.60","863,429,494.93"
资产总计,"372,672,335.23","432,443,815.61","519,278,481.98","924,402,003.09","878,613,546.29","911,668,571.33","923,705,378.53","1,025,451,948.44","955,050,619.23","981,825,007.56","1,033,563,775.07","1,152,875,122.42","1,089,878,063.16"
负债和所有者(或股东权益)合计,"372,672,335.23","432,443,815.61","519,278,481.98","924,402,003.09","878,613,546.29","911,668,571.33","923,705,378.53","1,025,451,948.44","955,050,619.23","981,825,007.56","1,033,563,775.07","1,152,875,122.42","1,089,878,063.16"
