科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"136,207,887.52","311,827,079.18","647,192,389.87","188,891,644.68","380,351,127.31","561,621,267.01","775,643,096.22","176,744,677.70","316,219,973.76","523,134,720.96","756,434,585.89","244,999,282.04","540,368,472.96","874,434,155.28","1,170,568,841.56","285,974,406.05","664,513,013.21","1,276,224,346.73","1,619,651,652.21","521,233,352.67","1,034,177,903.19","1,521,238,693.45","1,797,240,641.17","379,861,486.68","793,844,923.90","1,183,359,284.20","1,251,404,320.82","441,004,284.59","751,677,640.29","1,208,990,443.76","1,291,054,218.56","423,574,666.44","856,122,711.42","1,302,736,588.92","1,334,074,086.27","473,969,175.36","876,094,656.32","1,385,806,208.46","1,582,720,100.87","681,570,171.47","1,302,657,994.86","2,104,472,985.11","2,025,348,849.11","648,470,340.92","1,282,624,967.91"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"41,418,812.01","16,418,812.01",,,,,,,,,,,,,,,,,,"557,543,451.09","557,543,451.09","557,543,451.09",,,,,,
收到的税费返还,,,"40,510.71",,"50,000.00","50,000.00","32,785.20",,,,"3,439,861.50","440,000.00","3,111,676.32","3,468,528.40","3,676,074.67",,"2,532,651.80","3,547,137.65","5,879,130.67","1,117,094.37","5,393,075.86","9,806,855.73","16,663,998.93","6,395,069.33","12,591,316.23","18,490,540.05","24,244,027.27","5,693,269.49","12,257,727.35","18,189,600.62","22,751,545.36","8,596,312.07","13,683,689.78","18,052,926.37","20,938,573.86","2,315,377.61","3,888,252.67","6,818,007.49","9,993,154.98","4,091,406.45","7,746,387.88","12,389,720.97","17,381,068.11","3,077,966.16","8,375,254.36"
支付其他与投资活动有关的现金,,,,,"150,000.00","150,000.00",,,,,,,,,"544,050.00",,,,,,,,,,,,,,,,,,,,"10,000,000.00",,,,,,,,,,
收到其他与经营活动有关的现金,"219,387.93","338,877.14","1,212,013.54","325,360.47","511,710.99","2,354,409.30","163,000.00","1,759,353.91","2,565,554.25","2,151,582.76","25,760,921.58","12,598,769.78","1,184,245.85","1,596,663.31","94,073,042.14","39,985,549.49",,"669,988.50","92,648,632.47","23,216,228.75","17,438,495.67","29,025,228.58","115,986,967.74","24,671,980.68","1,472,826.70","3,761,206.92","94,985,697.98","18,968,947.64","40,507,929.20","81,874,850.85","120,035,170.04","31,128,163.24","98,973,893.34","66,459,257.69","83,109,517.33","25,557,666.57","64,149,526.10","25,333,027.34","217,921,091.41","4,252,308.24","53,665,636.91","94,862,247.43","301,024,925.81","27,810,329.08","19,620,551.22"
投资活动现金流出小计,"7,909,628.68","18,883,004.44","34,904,140.71","7,832,287.22","16,472,673.79","24,244,109.59","41,394,625.60",,"629,865.00","4,479,516.36","25,428,501.36","4,358,703.96","2,679,567.64","33,501,189.81","88,710,610.73","8,270,750.69","28,437,601.27","85,997,223.29","133,395,037.18","10,570,436.86","90,556,674.17","128,906,718.91","172,309,906.78","38,771,842.23","134,483,628.63","145,058,455.45","172,721,196.09","54,236,528.36","293,068,254.15","385,533,368.35","640,184,745.74","13,151,583.13","19,099,376.32","77,298,279.54","102,643,554.79","15,502,442.73","1,005,581,516.74","1,197,249,947.29","1,631,182,661.30","377,579,091.05","704,349,911.09","832,036,681.70","1,169,092,917.57","99,260,393.65","349,691,962.73"
经营活动现金流入小计,"136,427,275.45","312,165,956.32","648,444,914.12","189,217,005.15","380,912,838.30","564,025,676.31","775,838,881.42","178,504,031.61","318,785,528.01","525,286,303.72","785,635,368.97","258,038,051.82","544,664,395.13","879,499,346.99","1,268,317,958.37","325,959,955.54","667,045,665.01","1,280,441,472.88","1,718,179,415.35","545,566,675.79","1,057,009,474.72","1,560,070,777.76","1,929,891,607.84","410,928,536.69","807,909,066.83","1,205,611,031.17","1,370,634,046.07","465,666,501.72","804,443,296.84","1,309,054,895.23","1,433,840,933.96","463,299,141.75","968,780,294.54","1,439,687,784.63","1,509,575,060.66","518,598,005.76","973,830,671.29","1,466,255,293.17","1,877,133,281.24","703,585,712.15","1,391,305,332.36","2,251,260,010.74","2,395,643,339.67","688,159,220.66","1,330,494,628.36"
投资活动产生的现金流量净额,"-7,909,628.68","-18,876,204.44","-34,810,340.71","-7,749,687.22","-16,390,073.79","-24,161,509.59","-41,226,725.60",,"-629,865.00","-4,437,716.36","-25,476,930.85","-4,358,703.96","-2,360,103.64","-32,830,225.81","-87,951,893.07","-8,270,750.69","-28,385,101.27","-80,658,128.08","-127,723,400.03","-10,307,491.79","-90,436,748.29","-128,906,718.91","-156,200,136.67","-11,930,542.23","-98,642,328.63","-89,217,155.45","-101,747,340.08","-54,236,528.36","-241,938,399.66","-231,691,131.85","-215,323,984.87","-13,151,583.13","30,062,717.84","-24,045,938.16","-8,029,808.79","-15,367,143.17","-1,005,474,516.74","-1,196,924,387.29","-1,585,647,206.02","54,505,695.92","-271,222,621.83","-397,608,280.28","-732,640,539.43","-65,049,519.55","-265,440,109.48"
购买商品、接受劳务支付的现金,"141,045,967.29","298,461,773.44","632,144,100.85","179,681,986.39","393,152,937.30","655,637,064.75","820,258,857.01","97,100,328.87","240,199,683.16","379,221,218.88","642,616,364.32","286,568,492.08","546,568,695.35","942,993,246.37","1,222,791,261.40","407,817,636.41","777,653,913.96","1,366,032,848.14","1,658,491,478.27","445,397,887.62","800,692,959.80","1,168,931,998.80","1,379,432,086.85","314,069,313.00","615,214,711.36","937,832,908.03","1,077,554,061.52","390,377,195.32","547,148,480.15","950,152,164.06","977,813,335.78","294,870,698.95","679,091,158.92","940,625,576.37","893,690,110.90","295,071,159.44","774,462,793.30","1,092,362,306.36","1,329,120,202.52","619,133,937.92","1,232,835,570.23","2,137,377,981.48","1,929,498,088.69","519,920,053.27","916,588,359.04"
吸收投资收到的现金,"1,941,550.00","8,136,945.00","9,516,945.00",,"236,476,000.00","257,547,437.50","251,796,317.50","130,000,000.00","130,000,000.00","130,000,000.00","130,000,000.00",,,,"600,000.00",,,,"61,494,400.00",,"900,000.00","900,000.00","11,400,000.00",,,,,"517,593,208.13","517,593,208.13","517,000,408.13","517,000,408.13","5,517,000.00","5,517,000.00","5,316,360.00","5,316,360.00","6,277,386.00","5,856,546.00","5,894,346.00","255,894,346.00","59,598,474.00","402,242,794.00","402,140,674.00","525,155,594.00","-1,903,800.00","91,096,200.00"
