科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"64,766,794.02","105,202,044.92","45,257,177.29","123,790,462.65","68,036,294.23","84,461,364.14","151,604,149.22","26,778,753.49","61,100,615.87","97,871,138.05","117,622,146.35","332,967.93","74,932,530.57","100,957,804.45","162,354,430.27","24,438,940.98","102,073,549.28","150,499,971.02","221,118,869.33","25,424,554.60","111,179,114.26","143,822,246.62","219,029,991.88","30,563,974.12","98,188,757.62","187,807,722.48","421,020,486.87","30,571,220.99","189,000,357.92","306,552,962.29","602,028,931.57","61,306,934.93","342,170,388.38","689,604,795.46","912,991,825.20","178,569,321.21"
二、营业利润,"21,397,951.50","24,111,697.64","10,649,635.31","30,303,888.88","16,292,927.48","18,634,286.86","27,410,369.33","4,129,010.41","12,132,621.15","15,713,788.61","13,014,992.12","-3,654,880.22","2,598,222.13","3,223,283.43","2,908,952.44","505,699.46","19,370,853.31","26,197,855.31","32,317,560.52","1,675,640.57","19,070,399.87","21,037,952.49","21,823,101.06","-1,236,170.97","9,539,614.64","5,622,074.46","61,904,221.68","-8,352,991.68","47,740,297.61","44,397,411.79","93,141,603.56","-7,690,239.71","70,118,951.85","198,701,280.81","200,875,405.54","38,902,224.25"
减:营业成本,"31,183,932.85","63,089,909.72","23,098,911.22","73,376,231.92","40,957,333.03","50,176,134.56","91,242,586.58","15,754,853.32","41,559,588.61","65,558,303.09","75,541,333.70","38,689.04","58,941,264.93","76,985,000.71","115,036,967.45","15,425,411.20","62,667,100.71","95,410,717.41","142,577,381.03","17,286,128.71","73,741,099.86","93,559,554.99","151,913,940.32","22,975,838.91","66,171,649.65","131,478,841.65","281,107,747.15","15,175,781.77","109,127,852.69","194,132,434.13","400,491,450.36","31,746,443.02","178,560,747.12","332,812,446.65","489,954,663.04","107,807,285.59"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,103,218.06","774,790.70","1,523,500.78","1,775,764.98","328,372.41","640,180.19","935,527.98","250,079.01","502,673.08","670,886.31","979,823.49","357,498.36","927,930.58","1,193,239.80","2,094,173.39","54,326.69","397,782.86","666,786.51","1,669,974.59","195,344.65","944,128.26","1,674,815.64","2,012,727.36","212,457.24","714,656.95","1,307,154.81","3,149,498.73","1,416,476.42","2,769,225.85","3,589,192.20","7,110,328.01","1,850,696.99","6,193,128.17","8,873,014.33","10,689,033.79","3,169,177.63"
营业外收入,"1,210,235.53","1,334,515.58","1,336,852.32","3,258,864.33","900,000.00","2,100,000.00","5,509,415.00","10,500.00","277,485.00","2,314,524.24","3,452,878.52","4,500.00","263,685.97","367,459.71","758,989.30","137,239.86","390,747.77","2,393,057.77","2,858,305.91",,"3,526,307.94","3,526,307.94","5,321,823.36","2,140.00","342,633.11","2,028,493.22","4,528,678.48","1,378,989.50","4,087,656.88","4,168,486.02","10,583,779.73","50,004.45","32,090.82","175,641.69","521,217.82","13,174.94"
销售费用,"1,990,587.64","3,896,473.28","2,548,433.96","5,065,231.76","2,789,162.67","3,832,732.27","7,253,755.56","3,253,724.48","3,013,848.33","7,146,103.61","10,653,222.89","2,826,598.16","5,803,539.73","9,361,004.65","14,612,586.74","2,947,313.16","5,953,015.70","9,856,620.76","13,709,875.34","2,963,795.39","7,106,008.61","10,144,303.05","14,468,768.61","3,790,072.75","8,374,391.09","14,274,216.43","22,326,350.01","8,438,988.46","17,964,884.32","26,214,098.66","39,757,451.02","15,319,625.15","32,931,121.99","51,920,939.58","76,538,688.62","18,005,648.92"
减:营业外支出,"59,801.13","221,954.77","1,142.55","95,464.00","73,644.00","74,144.00","84,144.00","102,729.35","102,819.35","102,983.35","121,114.94","26,508.91","688,335.08","421,145.38","262,145.38","1,142.34","6,274.66","41,602.37","81,167.21","47,657.11","141,059.91","173,637.73","172,960.00","46,941.23","46,971.23","78,971.23","343,238.98","20,200.00","20,272.40","32,685.34","35,765.76","54,735.47","156,447.28","159,447.31","57,838.50","28,906.64"
管理费用,"8,660,026.24","12,413,439.39","6,978,448.89","13,516,024.69","6,968,193.48","9,595,133.03","21,309,512.73","2,994,987.64","5,383,136.49","12,017,178.03","18,462,041.00","2,928,455.74","6,455,574.39","10,509,104.62","21,999,592.70","3,656,010.52","11,111,287.67","19,001,672.71","30,334,837.47","5,423,503.26","13,090,721.52","21,576,737.01","31,269,248.00","6,906,443.91","18,053,660.40","34,063,731.89","56,861,134.09","15,736,207.59","50,500,730.86","69,832,988.44","96,448,318.89","21,070,839.91","45,614,499.71","74,119,155.43","96,993,642.00","15,817,870.33"
其中:非流动资产处置净损失,,,,,,,,,,,14.00,,,,,,,,"4,278.80",,,,"2,500.00",,"7,051.23",,"270,743.98",,,,,,"101,608.81",,,
