科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"806,378,248.85","609,471,170.13","1,070,308,606.11","283,450,467.38","666,134,763.96","1,055,978,851.39","1,290,950,969.13","290,297,688.09","615,973,903.85","859,047,448.49","1,091,393,830.87","262,330,160.50","619,938,999.92","941,299,415.35","1,229,585,129.27","288,775,072.80","642,166,594.22","971,109,564.69","1,341,928,220.58","296,235,898.51","656,825,963.51","952,497,605.48","1,283,207,425.45","259,366,911.60","628,798,064.44","981,426,992.18","1,414,950,843.13","346,068,721.81","873,769,236.48","1,357,645,494.48","1,991,149,040.52","635,800,124.74"
二、营业利润,"48,132,556.47","44,785,945.33","94,941,782.49","27,112,412.10","70,502,181.80","94,379,891.39","96,141,787.29","22,214,655.89","34,053,117.07","38,516,325.00","19,572,363.79","15,536,262.25","23,086,744.26","27,628,533.03","33,729,390.81","13,838,465.77","22,320,954.18","33,797,070.24","42,750,208.02","15,225,161.84","27,762,932.35","32,907,633.76","41,429,890.65","8,451,258.28","27,140,437.76","44,532,386.42","65,844,527.75","10,342,784.39","39,987,456.56","54,450,448.39","76,502,982.25","12,860,153.51"
减:营业成本,"696,498,246.53","509,064,926.88","873,769,359.51","230,262,729.27","535,902,244.33","866,152,759.20","1,063,070,352.29","238,579,826.39","520,744,524.43","728,584,640.68","949,049,890.87","221,585,192.27","519,205,597.13","794,329,181.40","1,026,852,158.38","239,956,121.88","535,819,653.57","808,052,607.70","1,112,409,222.14","241,333,208.83","537,773,886.33","790,277,741.87","1,066,714,138.98","212,695,904.82","514,303,541.82","806,892,680.73","1,180,907,607.61","292,714,984.72","736,303,188.56","1,146,478,021.32","1,708,267,333.11","550,112,775.30"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,207,539.04","1,774,620.87","1,586,851.05","295,928.81","1,301,629.95","2,040,917.11","3,475,574.72","379,183.19","754,930.91","2,264,155.84","3,509,248.39","521,917.57","2,693,466.83","3,887,367.77","5,994,903.83","565,450.98","674,197.85","1,638,021.95","3,136,701.27","261,790.44","1,497,635.19","3,157,464.35","4,494,037.70","2,017,192.61","4,791,829.37","5,102,427.33","12,807,312.87","3,696,387.84","7,701,472.49","11,287,206.34","15,280,150.89","3,605,843.91"
营业外收入,"634,031.79","1,828,179.14","7,197,341.98","19,960.00","104,190.77","7,938,953.74","8,876,962.70","7,039,655.38","23,622,653.53","28,116,389.89","37,828,713.63","66,712.99","7,199,242.98","8,530,904.98","15,653,247.62","80,407.00","3,097,796.37","6,086,514.86","8,902,023.23","94,717.93","737,244.93","3,053,473.93","4,699,238.13","289,494.26","2,870,629.79","12,563,765.62","20,097,878.28","220,343.41","494,496.65","671,692.06","178,844.37","148,008.67"
销售费用,"27,910,911.02","24,695,291.22","46,010,663.61","9,120,577.95","23,105,634.12","37,004,477.16","53,412,634.51","15,628,772.97","30,698,466.15","43,939,285.71","53,922,336.58","12,345,156.50","30,529,421.12","47,077,371.82","65,939,343.42","14,034,422.96","33,161,951.56","51,824,454.67","73,280,387.12","14,965,145.00","32,873,269.48","49,550,534.38","66,196,239.80","15,351,833.77","31,835,817.12","49,465,197.96","69,073,075.01","15,846,122.67","43,240,630.39","67,505,551.43","89,572,434.05","26,797,696.45"
减:营业外支出,"224,558.74","344,766.45","84,723.64","4,095.64","25,252.90","48,951.63","318,306.01","180,283.01","220,722.76","315,293.40","338,000.93","85,567.16","788,822.33","774,167.38","1,202,498.80","21,753.84","215,041.25","407,242.52","765,683.28","338,343.13","443,921.33","460,000.73","1,714,386.30","126,471.53","128,691.86","150,616.85","713,610.70","20,226.72","330,465.77","487,079.12","473,551.86","60,927.69"
管理费用,"22,923,640.45","19,218,252.93","35,224,400.23","9,740,546.24","19,825,166.62","32,304,631.52","42,466,507.63","7,885,684.98","17,104,253.01","26,072,006.89","34,621,298.16","7,600,071.77","18,598,993.87","29,733,325.38","41,907,177.63","10,473,771.85","22,891,943.27","34,262,623.97","46,543,528.52","11,083,530.67","21,638,145.44","33,363,357.81","47,413,355.91","11,475,865.32","25,045,012.58","37,678,558.59","48,514,011.72","11,473,491.02","24,128,007.35","37,594,703.34","55,809,195.98","16,558,141.58"
其中:非流动资产处置净损失,"33,507.15","259,393.62","35,345.01",,,,"192,016.68",,"153,747.16","153,747.16","258,323.50",,"672,039.33",,"698,882.63",,"170,656.72","244,948.39","293,669.74",,,,"1,033,721.97",,"104,678.58",,"332,733.13",,"229,154.66",,,
