科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"157,780,119.34","47,713,186.43","83,075,607.28","167,986,213.66","182,244,024.10","89,926,546.40","234,490,738.91","167,763,273.56","198,182,086.73","112,194,401.47","166,538,835.53","119,720,167.39"
短期借款,,"39,600,000.00","133,000,000.00","129,000,000.00","120,100,000.00","100,000,000.00","91,000,000.00","91,000,000.00","40,000,000.00","40,000,000.00","160,000,000.00","179,000,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,,,,,,,,,,,,"510,000.00"
应付票据,,,"80,000,000.00","80,000,000.00","80,000,000.00",,,,,,,
应收账款,"30,422,758.26","81,445,965.86","115,912,915.74","88,894,888.19","73,280,858.63","97,618,264.33","96,808,983.80","119,423,713.61","91,204,895.50","91,836,655.20","103,489,551.69","117,843,434.55"
应付账款,"52,101,839.07","229,366,283.75","379,153,544.35","369,818,669.38","382,826,524.91","311,565,689.69","205,443,352.77","203,795,373.71","111,127,196.33","152,155,601.55","173,226,504.00","348,217,493.68"
预付款项,"89,084.00","49,388.00","319,474.19","335,976.04","698,230.33","908,296.14","910,763.91","1,010,871.87","651,090.69","440,675.62","483,296.67","1,229,401.14"
预收款项,,,,,,,,,,,,"386,307.90"
其他应收款,"2,065,920.72","2,017,936.14","1,494,699.23","400,581.78","779,990.10","108,387.92","438,787.65","366,451.72","304,097.32","6,371,946.80","6,396,128.00","11,510,059.18"
应付职工薪酬,"3,170,587.61","6,750,209.72","5,183,212.19","3,719,032.44","3,319,638.42","11,385,718.87","5,384,374.99","7,246,111.82","6,272,045.93","14,594,116.33","7,540,380.00","8,308,332.49"
应收关联公司款,,,,,,,,,,,,
应交税费,"6,758,889.68","7,249,430.03","10,781,433.16","9,270,440.33","8,703,913.37","10,051,616.79","12,215,947.54","6,807,489.34","9,335,248.04","11,650,962.83","14,924,818.07","11,448,016.30"
应收利息,,,,,,,,,,,,
应付利息,,,,"560,047.40","542,903.83","927,136.80","654,245.77","662,207.76","680,361.60","441,484.36","431,746.98","4,769,787.24"
应收股利,,,,,,,,,,,,
应付股利,"136,600,000.00",,,,,,,,,,,
存货,"2,505,572.45","2,655,530.11","5,491,579.25","4,246,797.26","4,590,536.41","5,053,095.79","5,103,548.33","5,562,760.79","4,969,274.21","4,978,673.95","4,719,228.17","5,875,189.49"
其他应付款,"144,105,013.36","12,149,016.64","3,748,946.86","5,888,351.03","1,400,552.13","1,421,286.53","4,528,369.42","5,117,152.78","6,234,963.88","10,511,452.91","12,835,521.47","148,587,363.33"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,"3,250,000.00","3,750,000.00","24,250,000.00","24,250,000.00","23,250,000.00","105,992,608.70","36,793,000.00","8,736,000.00","9,972,283.00","13,627,559.57","15,516,991.89","37,415,148.27"
其他流动资产,,,,,,"559,459.31","534,168.16","3,744,371.48","4,176,829.35","8,070,265.00","10,972,704.08","29,090,955.43"
其他流动负债,,,,,,,,,,,,
流动资产合计,"192,863,454.77","133,882,006.54","206,294,275.69","261,864,456.93","261,593,639.57","194,174,049.89","338,286,990.76","297,871,443.03","299,488,273.80","223,892,618.04","292,599,744.14","285,779,207.18"
流动负债合计,"345,986,329.72","298,864,940.14","636,117,136.56","622,506,540.58","620,143,532.66","541,344,057.38","356,019,290.49","323,364,335.41","183,622,098.78","242,981,177.55","384,475,962.41","738,132,449.21"
可供出售金融资产,,,,,,,,,,,,
长期借款,"33,750,000.00","130,000,000.00","179,089,300.00","257,171,114.00","254,921,114.00","249,068,505.30","132,487,000.00","136,530,283.00","238,334,000.00","249,119,233.89","302,731,338.00","356,933,360.19"
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,"11,694,294.65"
长期应付款,,,,,,,,,,,,
长期股权投资,,,,,,,,,,"23,509,885.96","23,332,963.83","23,113,866.32"
专项应付款,,,"624,986.33","620,755.56","620,755.56",,,,"30,000,000.00",,,
投资性房地产,,,,,,,,,,,,
预计负债,"1,956,658.86","4,984,710.01","10,087,248.54","11,298,926.85","12,045,129.02","11,286,976.54","11,834,082.91","12,314,969.25","12,201,798.20","11,304,638.75","11,645,118.43","16,043,284.48"
固定资产,"263,342,908.09","474,967,749.78","933,185,958.70","921,610,647.41","906,705,114.96","909,029,120.49","893,268,034.18","877,982,799.39","963,899,698.88","937,498,443.38","965,400,890.37","999,969,324.94"
递延所得税负债,,,,,,,,,,,,
在建工程,"128,850,262.91","233,167,450.57","157,056,267.59","234,231,957.59","267,283,352.70","235,779,214.58","245,340,232.20","311,719,539.50","246,770,211.90","353,056,838.26","405,316,056.97","625,333,229.75"
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"40,665,719.34","139,476,301.21","213,622,260.01","291,876,269.46","290,166,465.14","283,407,887.68","166,957,886.18","171,066,452.95","302,471,396.32","311,289,621.56","381,882,205.35","443,911,188.45"
固定资产清理,,,,,,,,,,,,
负债合计,"386,652,049.06","438,341,241.35","849,739,396.57","914,382,810.04","910,309,997.80","824,751,945.06","522,977,176.67","494,430,788.36","486,093,495.10","554,270,799.11","766,358,167.76","1,182,043,637.66"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"270,000,000.00","337,500,000.00","337,500,000.00","337,500,000.00","337,500,000.00","337,500,000.00","450,000,000.00","450,000,000.00","450,000,000.00","450,000,000.00","450,000,000.00","450,000,000.00"
油气资产,,,,,,,,,,,,
资本公积,"105,346,722.20","318,255,699.58","318,255,699.58","318,255,699.58","318,255,699.58","318,255,699.58","623,644,781.60","625,458,723.97","625,464,384.35","625,519,124.84","625,519,124.84","625,519,124.84"
无形资产,"260,529,440.33","326,751,097.72","362,467,058.03","356,590,366.33","353,656,211.03","404,260,656.72","400,710,923.38","397,677,375.72","394,245,228.82","390,697,246.33","470,766,161.16","787,901,297.25"
盈余公积,"23,464,541.96","6,860,837.23","12,409,326.39","12,409,326.39","12,409,326.39","19,388,990.77","19,388,990.77","19,388,990.77","19,388,990.77","27,544,348.93","27,544,348.93","27,544,348.93"
开发支出,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,
商誉,,,,,,,,,,,,
未分配利润,"78,206,360.84","82,973,111.50","162,798,723.82","206,479,952.11","226,136,162.95","252,314,775.86","274,703,979.29","273,589,468.59","298,636,665.18","312,059,364.67","336,346,238.29","352,198,092.49"
长期待摊费用,,,,"715,220.75","664,780.19","611,964.63","553,469.17","1,298,374.96","1,188,122.74","3,104,943.06","2,914,096.61","3,538,977.81"
少数股东权益,,,,,,,-26.87,"34,392,669.99","34,392,496.07","39,178,470.89","41,751,646.11","127,589,217.35"
递延所得税资产,"4,135,721.78","6,280,810.35","6,981,213.90","6,433,066.41","6,344,913.78","6,501,683.54","6,501,683.54","6,986,648.77","5,793,788.98","7,099,890.23","8,187,098.99","8,311,540.92"
外币报表折算价差,,,,,,,,,,,,
其他非流动资产,"13,947,886.18","8,881,774.70","14,718,372.45","7,582,072.70","8,363,174.48","1,854,721.42","6,053,568.23","3,724,460.31","2,590,706.35","69,712,243.18","79,002,513.86","19,252,682.45"
非正常经营项目收益调整,,,,,,,,,,,,
非流动资产合计,"670,806,219.29","1,050,048,883.12","1,474,408,870.67","1,527,163,331.19","1,543,017,547.14","1,558,037,361.38","1,552,427,910.70","1,599,389,198.65","1,614,487,757.67","1,784,679,490.40","1,954,919,781.79","2,479,115,214.09"
所有者权益(或股东权益)合计,"477,017,625.00","745,589,648.31","830,963,749.79","874,644,978.08","894,301,188.92","927,459,466.21","1,367,737,724.79","1,402,829,853.32","1,427,882,536.37","1,454,301,309.33","1,481,161,358.17","1,582,850,783.61"
资产总计,"863,669,674.06","1,183,930,889.66","1,680,703,146.36","1,789,027,788.12","1,804,611,186.71","1,752,211,411.27","1,890,714,901.46","1,897,260,641.68","1,913,976,031.47","2,008,572,108.44","2,247,519,525.93","2,764,894,421.27"
负债和所有者(或股东权益)合计,"863,669,674.06","1,183,930,889.66","1,680,703,146.36","1,789,027,788.12","1,804,611,186.71","1,752,211,411.27","1,890,714,901.46","1,897,260,641.68","1,913,976,031.47","2,008,572,108.44","2,247,519,525.93","2,764,894,421.27"
