科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"22,387,186,143.48","23,156,054,113.10","37,433,841,855.56","34,599,722,156.87","32,510,373,604.38","36,108,600,004.77","32,181,874,287.47","34,435,414,643.69","42,843,925,295.48","43,417,409,245.23","44,197,916,594.21","43,417,858,996.05","43,748,864,743.40","47,166,219,326.00","47,696,358,173.03","44,615,184,947.06","44,850,255,806.58","43,931,225,947.19","47,890,265,070.50","47,155,941,922.88","41,818,482,885.92","40,714,838,446.21","46,836,248,424.81","50,100,627,767.38","55,555,423,090.47","48,603,640,307.07","49,063,321,228.98","48,994,496,193.91","38,158,994,049.64","43,065,355,270.07","40,572,435,031.56","38,460,291,560.81","44,808,094,055.87","39,997,923,817.31","33,015,271,236.46","34,797,853,416.17","35,063,289,889.74","34,442,988,068.55","32,512,220,160.09","31,551,526,279.97","25,124,138,285.69","31,981,611,817.19"
短期借款,"4,527,964,778.86","3,768,064,622.61","3,916,671,419.93","2,825,833,765.52","2,066,366,000.02","1,040,959,205.48","1,354,423,584.90","6,374,192,854.31","6,721,004,026.68","6,066,756,838.00","3,703,366,638.06","3,738,503,809.94","2,370,790,059.28","2,091,087,126.72","1,669,382,018.63","2,247,532,494.48","1,656,491,243.80","1,629,909,077.81","2,851,071,958.74","5,571,730,957.05","5,455,929,538.50","5,638,066,294.97","5,253,236,786.38","4,645,083,607.02","3,265,733,565.80","3,717,411,000.00","2,765,570,100.00","354,563,000.00","190,000,000.00","2,651,000,000.00","3,127,600,000.00","1,225,233,800.00","1,222,974,400.00","2,760,027,200.00","2,867,943,556.55","4,534,813,156.55","4,705,349,156.55","5,691,475,156.55","3,246,917,262.89","5,831,777,262.89","6,613,590,862.89","11,050,015,862.89"
交易性金融资产,"131,891,244.56","139,834,391.68","2,140,332,839.57","2,180,907,862.32","2,419,126,566.80","1,661,842,163.82","279,918,412.73","210,841,791.43","157,498,290.40","86,712,298.82","5,681,426.07","14,694,327.04","478,844,618.30","477,894,987.27",,,,,,,,,,,,,,,"6,080,639.96",,,,"11,757,278.81",,,,,,,,,
交易性金融负债,"403,964,013.74","143,968,846.06","528,540,431.91","554,649,037.73","1,008,518,967.00","2,342,918,902.30","3,918,543,539.85","2,709,978,415.06","1,354,271,223.65","862,991,354.19","142,081,291.03","101,447,998.08","111,184,141.86","71,858,508.53","61,024,232.58","48,962,691.21","35,531,582.04","16,631,081.51",,,,,,,"3,100,304.85","315,113.70",,,,"13,218,996.96",,"5,994,814.36",,,,,,,,,,
应收票据,"83,708,726.14","75,329,974.74","113,032,872.02","109,713,814.58","95,184,677.57","119,550,596.70","113,339,973.16","120,251,000.96","73,427,445.21","80,388,970.17","98,673,481.50","128,612,885.09","93,019,763.19","183,306,894.36","190,358,058.84","279,191,714.92","308,403,944.97","325,346,675.64","361,279,623.96","367,623,142.06","403,670,720.27","378,748,547.12","260,371,651.74","338,547,505.38","183,425,574.07","212,252,670.29","242,238,272.32","301,004,883.38","312,338,487.78","183,277,300.83","165,741,346.74","123,540,218.77","132,145,226.07","145,141,655.19","127,940,341.95","156,121,679.64","212,713,643.88","212,031,162.33","253,996,000.34","215,637,995.14","348,228,494.51","271,697,416.45"
应付票据,"41,457,558.00","22,277,377.00","39,029,405.02","31,947,230.02","27,668,740.00","55,179,273.00","19,416,400.00","30,060,206.13","82,039,084.19","93,291,457.03","211,511,810.30","720,459,812.64","543,162,423.37","685,715,394.32","831,339,638.06","911,795,145.39","1,100,236,049.73","1,410,170,411.03","1,382,348,200.48","1,673,519,439.52","1,414,080,434.45","1,732,971,794.72","1,741,479,678.78","824,959,683.18","39,043,030.47","6,447,402.00","29,019,780.80",,,"15,789,051.15","71,420,059.21","47,554,292.82","62,446,339.15","50,405,112.63","95,288,940.52","62,483,891.48","107,800,000.00","113,735,368.88","26,000,000.00",,"52,000,000.00","545,000.00"
应收账款,"9,579,285,322.22","9,396,572,762.24","8,935,913,502.61","10,159,347,100.83","8,941,928,547.77","9,198,266,118.70","5,286,509,774.58","4,900,534,778.81","4,763,690,962.27","5,688,163,047.71","4,818,534,476.93","6,081,902,106.72","7,218,098,415.06","7,028,275,607.00","5,913,201,998.36","6,372,359,383.34","7,202,034,070.62","7,375,270,725.48","5,890,943,965.66","7,657,550,108.98","9,086,777,783.78","8,796,035,426.33","8,690,406,623.64","9,199,846,548.10","4,986,247,071.87","5,295,664,030.75","4,327,752,661.37","4,516,007,724.25","4,919,270,955.26","4,902,925,491.24","3,611,567,084.87","3,711,257,007.43","4,335,439,418.67","4,427,455,015.18","3,501,076,296.37","5,301,845,822.56","4,808,694,036.26","5,594,698,883.28","5,931,743,755.38","6,159,893,429.85","6,743,491,964.08","6,748,210,772.80"
应付账款,"9,097,188,181.56","11,013,656,716.84","9,852,000,686.77","11,926,447,357.83","11,816,696,241.42","11,342,482,434.01","8,104,039,445.07","8,522,654,099.69","8,672,620,932.51","9,422,151,963.69","10,058,244,017.11","10,682,452,807.30","12,252,843,455.38","12,345,580,957.48","10,994,468,549.88","12,524,598,374.74","13,949,594,917.20","14,679,048,679.40","12,760,984,627.22","14,359,005,981.32","15,494,682,327.23","15,609,364,396.91","12,953,267,478.32","14,055,689,171.25","11,705,041,080.48","11,751,027,340.35","10,925,933,861.79","11,463,434,170.61","12,007,395,815.51","10,996,085,308.32","9,910,370,081.65","10,642,042,561.82","11,363,191,027.70","10,440,398,320.90","8,667,906,358.51","10,923,799,414.58","13,605,425,846.60","15,926,248,626.08","16,772,261,521.00","15,952,237,663.39","16,896,478,556.13","17,396,501,347.43"
预付款项,"679,426,276.34","725,359,174.02","2,030,650,626.30","2,550,389,325.77","2,957,081,461.29","2,983,446,496.85","2,063,146,878.43","2,112,626,164.79","2,279,682,130.61","2,453,432,493.41","1,868,556,924.53","2,701,841,487.40","2,461,466,240.44","3,020,731,043.03","2,360,394,308.30","2,704,980,271.20","2,770,252,771.01","3,439,247,420.67","2,910,149,469.02","2,920,442,671.97","2,845,097,698.83","3,391,211,824.30","2,623,227,009.68","3,370,679,597.07","2,099,476,166.60","2,084,255,601.21","1,829,984,019.00","1,625,756,322.19","1,813,968,783.78","1,522,854,103.61","1,743,392,871.27","1,411,254,778.02","1,471,891,256.13","1,399,261,108.48","1,092,101,802.17","1,004,523,368.93","1,569,515,150.28","1,628,456,902.22","2,468,607,890.12","2,484,192,846.92","1,945,375,245.49","1,450,188,545.52"
预收款项,"1,054,286,625.30","1,123,977,732.79","2,698,597,668.26","2,468,412,569.48","3,193,240,948.53","2,810,343,980.07","1,709,381,778.77","1,872,481,301.75","2,410,686,212.49","2,684,599,114.03","2,531,601,744.00","2,519,122,193.00","2,749,949,706.41","2,861,882,186.39","2,904,751,953.53","2,842,942,319.15","3,232,056,763.71","3,281,037,456.98","3,361,160,171.20","3,446,043,712.69","3,012,512,018.06","3,244,991,958.93","2,049,541,594.06","2,300,225,949.71","741,071,587.22","742,655,200.95","705,876,219.41","536,328,816.59","632,298,155.04","578,171,341.11","494,229,497.75","411,476,532.39","472,206,370.39","455,442,866.24","409,296,124.22","333,473,453.32","325,428,253.93","354,593,307.61","256,741,044.99","272,897,246.28","262,604,252.17","328,184,771.20"
