科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"281,901,065.67","305,468,800.41","328,134,439.52",,"165,676,686.77","263,479,881.45","332,368,774.29","72,780,835.76","161,566,104.22","315,947,950.87","72,034,611.52","162,280,845.65","258,756,660.10","366,420,952.53","73,595,344.88","164,227,465.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"7,925,125.30","5,636,537.60","3,114,936.80",,"444,845.70","456,240.33","456,240.33","609,979.99","609,979.99","1,745,478.27","29,929.40","459,358.96","961,208.04","1,279,662.55","244,642.05","244,642.05"
支付其他与投资活动有关的现金,,"1,400,000.00",,,,,,"290,000,000.00","425,000,000.00",,,"200,000,000.00","410,000,000.00",,,
收到其他与经营活动有关的现金,"970,633.80","2,138,284.68","1,513,820.99",,"1,172,599.38","1,888,544.28","3,248,164.07","911,968.48","1,608,695.57","4,539,126.39","1,008,976.14","3,002,260.38","4,664,281.52","4,914,866.99","793,645.32","4,018,875.04"
投资活动现金流出小计,"16,354,048.92","42,259,540.88","23,836,885.55",,"19,059,513.41","35,029,691.38","42,360,963.59","300,816,338.42","447,287,214.39","742,901,718.04","53,352,778.85","257,915,528.35","470,955,889.12","675,008,053.32","217,209,666.17","461,096,710.67"
经营活动现金流入小计,"290,796,824.77","313,243,622.69","332,763,197.31",,"167,294,131.85","265,824,666.06","336,073,178.69","74,302,784.23","163,784,779.78","322,232,555.53","73,073,517.06","165,742,464.99","264,382,149.66","372,615,482.07","74,633,632.25","168,490,983.02"
投资活动产生的现金流量净额,"-14,954,048.92","-37,959,540.88","-23,034,585.55","-1,250,321.17","-18,559,513.41","-33,879,691.38","-41,110,963.59","-286,511,609.64","-294,940,123.09","-253,168,989.93","51,037,190.72","-42,024,058.78","-53,275,538.26","145,440,023.57","-55,998,446.99","-249,138,368.20"
购买商品、接受劳务支付的现金,"201,387,934.19","204,474,033.05","209,993,718.34",,"100,476,811.80","150,837,427.72","205,156,329.26","42,832,050.23","88,012,025.06","186,171,336.04","48,607,718.83","92,923,140.98","147,811,251.67","221,458,459.90","57,909,236.31","116,853,639.41"
吸收投资收到的现金,"26,352,000.00",,,,,,"311,798,800.00",,,,,,"14,169,600.00","14,169,600.00",,
支付给职工以及为职工支付的现金,"14,738,715.02","18,980,242.42","21,330,626.98",,"11,385,659.33","17,523,057.66","23,296,871.43","6,678,277.09","12,866,573.67","27,284,959.74","7,505,040.72","14,727,566.92","22,330,939.34","29,828,926.62","8,658,032.11","16,729,978.87"
取得借款收到的现金,"43,918,117.00","51,000,000.00","45,000,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,
支付的各项税费,"8,588,596.20","11,527,996.79","15,152,853.19",,"9,204,025.80","13,146,293.19","18,283,634.20","4,270,837.66","11,493,277.05","18,236,230.32","3,502,980.23","8,606,971.18","12,940,193.64","17,681,355.70","3,909,664.41","9,416,664.48"
收到其他与筹资活动有关的现金,,,,,"1,500,000.00","1,500,000.00","1,500,000.00",,,,,,,,,
支付其他与经营活动有关的现金,"8,001,781.30","13,647,111.72","14,341,103.23",,"10,799,742.43","16,241,479.73","25,799,117.62","5,030,636.30","15,902,009.36","30,176,994.87","9,118,791.31","16,037,309.68","27,231,027.74","30,234,330.13","7,316,419.84","15,877,745.63"
筹资活动现金流入小计,"70,270,117.00","51,000,000.00","45,000,000.00",,"21,500,000.00","21,500,000.00","333,298,800.00",,,,,,"14,169,600.00","14,169,600.00",,
经营活动现金流出小计,"232,717,026.71","248,629,383.98","260,818,301.74",,"131,866,239.36","197,748,258.30","272,535,952.51","58,811,801.28","128,273,885.14","261,869,520.97","68,734,531.09","132,294,988.76","210,313,412.39","299,203,072.35","77,793,352.67","158,878,028.39"
偿还债务支付的现金,"37,941,985.76","57,373,765.00","51,000,000.00",,"20,000,000.00","40,000,000.00","40,000,000.00",,,,,,,,,
经营活动产生的现金流量净额,"58,079,798.06","64,614,238.71","71,944,895.57","15,451,045.55","35,427,892.49","68,076,407.76","63,537,226.18","15,490,982.95","35,510,894.64","60,363,034.56","4,338,985.97","33,447,476.23","54,068,737.27","73,412,409.72","-3,159,720.42","9,612,954.63"
分配股利、利润或偿还利息支付的现金,"10,927,311.56","28,695,096.48","43,878,533.32",,"21,988,299.98","22,101,349.98","22,101,349.98",,"20,158,539.41","20,160,000.00",,"17,952,000.03","17,952,000.03","17,952,000.03",,"18,585,599.62"
