科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"241,224,799.56","357,771,555.47","519,106,415.37","174,993,236.88","355,161,943.67","532,893,175.90","680,949,324.58","181,495,575.56","351,958,973.89","552,662,276.45","837,758,821.86","285,010,457.83","577,035,050.54","927,374,460.56","1,242,792,952.70","302,208,470.52","720,482,152.20","1,134,595,328.74","1,367,732,192.42","305,855,785.91","681,319,561.75","1,006,226,290.81","1,374,619,968.55","387,136,068.44","806,521,223.65","1,162,056,646.99","1,582,165,574.52","370,756,374.37","766,590,016.00","1,196,694,515.66","1,749,953,060.37","403,553,215.59","875,260,381.62","1,224,002,441.47","1,552,901,357.52","377,567,262.83","908,561,303.94","1,262,567,932.45","1,763,454,577.68","424,763,603.85","928,408,691.58","1,424,899,847.30","1,865,002,003.71","606,800,636.77","1,175,460,412.93","1,985,732,280.27","2,470,374,715.34","680,536,970.12"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"9,931,390.32",,,,"103,303,330.63",,,,,,,,,,,,,"15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,,,,"31,891,500.00","31,891,500.00",,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,"221,043.62",,,,,,,,,,,"607,339.07","4,429,801.99","1,669,413.05","3,099,158.28","5,337,183.91","10,360,064.56","1,585,219.22","3,797,508.52","10,499,938.07","14,038,218.55","6,047,861.59","8,922,585.04","13,104,187.61","16,672,375.95","6,382,581.95"
支付其他与投资活动有关的现金,"152,241.25","152,241.25","845,286.04",,,,,,,,"1,880,000.00",,"2,580,000.00","2,700,000.00","2,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,459.01","62,525.06","62,525.06","2,995.00"
收到其他与经营活动有关的现金,"10,559,446.18","12,931,741.86","18,004,765.17","2,100,000.00","9,287,426.00","11,627,426.00","11,629,288.00","150,000.00","4,850,000.00","5,674,698.50","8,860,333.50","2,260,377.34","2,100,000.00","4,552,536.00","4,867,582.50","1,282,766.00","2,042,766.00","2,044,050.00","5,126,050.00","2,730,000.00","9,906,153.00","9,906,153.00","16,714,814.00","18,350,000.00","19,540,000.00","20,014,400.00","21,800,301.85","3,402,000.00","4,261,000.00","5,398,356.00","22,073,006.27","3,124,182.00","8,346,104.34","12,249,645.22","24,829,264.50","1,650,640.29","3,477,560.00","4,689,615.93","21,144,654.60","1,989,486.52","2,615,114.65","4,245,807.21","9,080,657.56","1,134,610.55","3,415,926.84","4,550,721.14","53,150,427.00","1,825,800.00"
投资活动现金流出小计,"19,608,288.25","40,510,988.31","90,045,212.23","13,477,491.25","41,656,100.62","69,892,876.11","97,956,720.30","31,830,934.28","41,979,571.22","68,056,265.81","83,527,205.15","18,270,292.68","24,072,941.21","68,292,353.64","113,683,165.28","64,680,766.67","27,657,873.37","57,940,131.93","169,891,763.69","3,187,946.09","46,074,266.17","49,659,239.85","53,868,562.78","4,610,680.24","16,052,007.70","40,470,829.98","43,778,130.07","1,495,374.94","4,907,015.42","7,429,347.29","10,155,543.22","16,345,967.92","18,325,166.12","21,914,028.87","19,903,390.35","664,188.58","1,287,848.34","3,417,039.85","6,901,530.08","2,162,192.76","6,646,293.23","22,658,317.11","28,739,449.26","36,343,799.71","549,739,711.78","786,933,003.81","807,410,357.46","73,010,804.77"
经营活动现金流入小计,"251,784,245.74","370,703,297.33","537,111,180.54","177,093,236.88","364,449,369.67","544,520,601.90","692,578,612.58","181,645,575.56","356,808,973.89","558,336,974.95","846,619,155.36","287,270,835.17","579,135,050.54","931,926,996.56","1,247,660,535.20","303,491,236.52","722,524,918.20","1,136,639,378.74","1,372,858,242.42","308,585,785.91","691,225,714.75","1,016,132,443.81","1,391,555,826.17","405,486,068.44","826,061,223.65","1,182,071,046.99","1,603,965,876.37","374,158,374.37","770,851,016.00","1,202,092,871.66","1,772,026,066.64","406,677,397.59","883,606,485.96","1,236,859,425.76","1,582,160,424.01","380,887,316.17","915,138,022.22","1,272,594,732.29","1,794,959,296.84","428,338,309.59","934,821,314.75","1,439,645,592.58","1,888,120,879.82","613,983,108.91","1,187,798,924.81","2,003,387,189.02","2,540,197,518.29","688,745,352.07"
投资活动产生的现金流量净额,"-1,018,342.18","-21,890,042.24","-71,411,266.16","-13,372,006.25","-41,422,260.62","-69,659,036.11","-97,711,480.30","-31,830,934.28","-41,972,571.22","-68,011,315.81","-83,198,174.86","-17,945,157.68","-23,447,103.21","-67,648,355.64","-112,954,811.01","-64,680,766.67","-4,657,873.37","-34,940,131.93","-146,767,914.89","-3,157,946.09","-46,026,766.17","-49,611,739.85","-52,278,687.82","-4,610,680.24","-10,776,229.70","-32,834,441.98","-31,773,137.92","-769,387.94","-4,707,083.31","-7,142,963.98","-8,372,342.06","21,379,294.42","19,375,707.65","16,305,620.20","18,530,365.93","-615,626.65","-1,173,837.58","-2,786,722.14","-4,336,258.52","-1,943,234.76","-5,886,240.23","-20,975,516.11","-18,552,945.53","-36,292,610.77","-359,618,706.39","-55,782,933.39","-75,383,452.13","-52,616,747.79"
购买商品、接受劳务支付的现金,"99,988,605.88","142,467,311.48","208,447,815.66","92,147,052.00","182,688,424.90","273,542,781.01","382,094,447.00","63,212,096.55","139,870,912.33","243,208,559.80","398,134,434.23","154,184,613.44","312,791,141.48","513,824,563.13","689,455,520.56","187,551,878.00","436,823,860.13","724,044,795.88","807,375,170.43","169,362,005.76","337,024,304.50","526,217,350.94","733,581,523.48","235,661,954.59","403,560,833.01","624,783,177.31","850,615,038.63","178,610,446.64","367,914,137.27","543,702,995.35","962,454,870.48","190,670,608.42","416,345,961.78","589,057,583.04","835,910,102.32","249,388,296.48","504,972,757.22","616,351,766.39","854,846,670.33","248,644,180.12","506,438,939.33","866,689,652.30","903,679,555.59","335,040,260.51","490,214,958.69","899,230,250.99","1,106,922,862.44","354,264,111.56"
吸收投资收到的现金,,,"9,745,619.00",,"276,400,000.00","276,400,000.00","276,400,000.00",,,,"12,605,635.23",,,,,,,"500,000.00","500,000.00",,"1,951,600.00","1,951,600.00","1,951,600.00",,"15,426,000.00","15,426,000.00","15,426,000.00",,,,,"133,500,000.00","149,884,006.00","149,884,006.00","149,884,006.00",,,,,,"29,124,480.00","29,124,480.00","29,124,480.00",,"4,163,220.00","4,163,220.00","4,163,220.00",
