科目,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"107,017,618.05","126,982,247.13","177,875,332.62","921,045,449.03","901,434,881.36","788,925,431.01","696,917,185.14","1,010,212,043.12","1,088,483,457.58","1,116,137,195.54"
短期借款,"72,536,586.38","77,917,384.87","50,000,000.00",,,,,,,
交易性金融资产,"398,844.84",,,,,,,,"447,000.00",
交易性金融负债,,,,,,,,,,"942,300.00"
应收票据,"22,861,951.05","27,869,775.53","51,785,656.01","40,968,713.44","60,900,325.67","70,886,244.53","54,474,031.82","34,780,132.06","22,224,128.82","30,748,056.66"
应付票据,"19,352,500.00","111,257,900.00","61,900,000.00","92,500,000.00","83,100,000.00","47,700,000.00",,,,
应收账款,"134,458,279.11","160,603,651.41","183,643,885.80","263,139,753.39","292,068,690.97","291,671,926.31","188,575,015.84","227,672,511.54","245,039,752.02","280,589,224.66"
应付账款,"90,028,758.78","95,894,090.67","104,214,276.51","113,467,161.06","102,161,259.30","103,728,356.39","93,279,413.55","90,296,981.46","99,487,198.08","81,494,559.65"
预付款项,"4,048,833.04","6,745,935.88","5,976,002.54","11,357,936.43","14,791,521.70","10,079,435.65","18,803,107.33","14,898,305.42","19,473,764.77","11,937,403.66"
预收款项,"2,332,891.51","2,747,833.14","7,427,165.03","4,524,251.15","2,626,665.15","4,423,964.29","11,965,976.16","5,200,612.49","6,190,489.37","6,287,426.76"
其他应收款,"4,275,343.93","3,906,854.53","4,155,815.00","3,710,094.15","2,948,945.95","1,205,390.13","2,128,562.10","1,125,591.86","2,080,535.35","1,349,547.54"
应付职工薪酬,"14,818,536.73","15,626,525.20","18,833,145.08","21,535,764.97","16,980,852.09","15,290,358.35","19,043,895.52","22,438,047.02","18,606,235.64","18,748,295.86"
应收关联公司款,,,,,,,,,,
应交税费,"2,947,777.44","8,033,603.82","8,019,711.11","14,000,833.11","22,349,634.34","22,196,573.33","15,873,143.58","27,026,920.41","29,313,145.97","38,715,318.66"
应收利息,,,,,,"41,025.48",,,,
应付利息,"451,678.43","141,635.07","74,754.17",,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,"26,235,000.00"
存货,"134,570,515.81","156,742,120.50","131,921,581.84","155,440,514.91","155,295,625.59","159,518,460.62","152,752,821.14","199,107,233.63","202,507,877.09","178,001,438.57"
