科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"82,410,819.60","152,069,195.91","187,619,544.01","236,663,939.03","273,117,350.76","644,616,672.62","651,737,657.73","635,150,431.46","651,449,624.53","697,455,650.56","700,680,016.74","660,548,298.81","723,726,971.87","792,197,346.06","823,964,457.38","557,037,592.82","592,799,530.30","683,091,030.74","600,245,309.95","517,626,862.21","570,253,321.87","480,118,519.71","526,495,469.67"
短期借款,"5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"482,388.58","6,381,763.41","4,990,054.43","4,994,237.60","8,534,267.30","14,124,201.50","10,790,817.60","8,058,932.20","8,519,301.04","8,895,874.49","8,120,085.11","11,912,291.58","10,596,802.08","10,667,970.18","14,649,088.72","6,478,880.75","7,599,115.64","14,009,155.55","13,128,377.34","9,429,631.96","20,697,392.82","60,131,250.90","45,693,940.02"
应付票据,,,,,,,,,,,,,,,,,,,,,,"32,694.40",
应收账款,"100,994,216.64","120,410,460.95","159,067,102.75","199,341,794.11","203,289,999.68","202,285,036.10","241,767,539.23","255,617,349.02","275,909,321.97","282,926,360.88","328,163,042.44","325,045,818.52","351,724,799.63","350,610,997.14","373,857,262.77","389,402,150.43","420,628,526.33","424,942,692.62","455,275,429.65","467,026,311.15","471,199,583.11","446,607,496.00","501,137,656.40"
应付账款,"9,829,252.83","11,843,886.67","18,817,878.09","17,593,248.36","27,088,498.33","20,917,915.64","20,366,316.32","21,310,413.90","32,374,506.22","22,791,754.63","19,303,751.53","23,001,928.67","24,005,549.09","22,016,917.75","22,327,436.33","29,200,321.40","26,672,686.75","29,206,327.03","27,629,390.30","32,066,139.13",,"33,219,662.56",
预付款项,"19,874,563.82","16,891,701.07","18,614,008.25","20,076,731.31","41,535,728.80","23,467,793.72","21,137,731.93","47,237,994.87","59,389,334.82","47,425,841.04","44,168,082.16","65,037,068.92","35,202,415.12","35,768,012.41","37,185,632.82","40,277,678.86","35,732,928.72","20,584,678.39","16,329,562.80","37,620,685.13","33,492,540.31","21,157,464.27","28,645,551.37"
预收款项,"7,546,022.58","9,423,769.31","11,255,926.51","13,164,002.63","12,361,305.57","11,764,944.54","10,853,105.36","9,522,175.43","10,470,034.45","12,960,488.33","11,495,572.81","10,979,342.93","12,513,237.43","11,510,360.37","11,221,478.90","18,199,587.86","17,840,946.50","18,361,551.80","16,241,248.08","15,463,096.98","32,779,777.00","14,564,979.81","15,309,248.01"
其他应收款,"760,296.91","616,985.88","2,742,849.19","1,826,565.95","1,273,222.54","949,754.56","2,460,465.26","3,405,679.26","4,448,614.58","3,937,011.54","4,371,658.04","4,393,992.39","5,779,528.53","4,488,783.42","7,213,352.22","8,724,109.75","4,905,641.99","4,410,677.25","5,390,657.61","2,867,483.30","13,588,369.86","8,723,905.64","9,677,229.64"
应付职工薪酬,,,,,,,,,,,,,,,,"55,797.91","47,250.98",,"84,264.45","4,046.50","2,856.56","2,923.29","84,237.79"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,961,505.36","14,125,252.80","8,598,017.15","8,431,467.72","9,414,318.45","10,343,195.63","8,916,128.98","11,123,473.41","12,256,397.06","15,946,272.97","11,959,357.25","9,855,107.02","7,451,242.06","17,371,745.55","16,010,201.47","15,093,380.70","16,239,888.36","22,956,834.77","14,482,843.39","11,956,347.08","18,087,777.26","17,287,246.34","14,769,918.61"
应收利息,,,,,,,,,,,,,,,,,,"2,302,000.00",,,,"2,868,750.00","393,750.00"
应付利息,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,
存货,"40,806,249.13","53,639,659.17","63,723,978.11","77,961,127.46","90,066,992.40","82,699,996.13","89,647,251.79","84,172,457.56","100,134,856.14","93,466,794.67","105,387,102.53","117,289,249.89","104,138,378.71","97,374,546.24","98,416,822.56","109,289,516.07","124,628,959.59","119,498,151.92","122,508,452.72","122,428,678.52","128,323,483.05","113,748,979.33","114,439,184.72"
其他应付款,"280,435.84","3,080,484.94","2,562,172.52","2,784,534.27","2,455,688.10","6,098,766.67","3,026,074.07","28,997,628.54","1,901,471.64","27,656,910.30","27,440,742.83","30,516,374.35","22,161,191.01","26,939,725.91","36,564,769.16","38,287,727.81","29,695,701.03","36,697,071.89","31,844,702.27","37,230,112.64","20,828,988.86","19,086,924.82","15,275,974.19"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,"12,433,518.74","14,196,902.42","16,343,646.48","18,072,637.38","13,361,671.80","13,168,083.72"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,"61,678,617.61",,"62,463,915.73","62,741,224.28","63,981,707.21",
其他流动资产,"1,626,116.08",,"16,503.93",,,"291,489.54",,,,,,"367,007.64","1,317,742.36","2,119,343.14","2,419,897.33","2,059,349.48","1,281,570.05","1,073,077.17","1,616,422.47","1,866,451.87","2,834,271.62","127,627,903.05","5,563,606.96"
其他流动负债,,,,,,,,,,,,,,,,,"800,254.92","3,428,096.57","4,168,636.45","3,871,077.50","3,882,692.42","3,865,494.46","3,554,173.27"
流动资产合计,"246,954,650.76","350,009,766.39","436,774,040.67","540,864,395.46","617,817,561.48","968,434,944.17","1,017,541,463.54","1,033,642,844.37","1,099,851,053.08","1,134,107,533.18","1,190,889,987.02","1,184,593,727.75","1,232,486,638.30","1,293,226,998.59","1,357,706,513.80","1,113,269,278.16","1,187,576,272.62","1,282,344,982.38","1,228,691,114.96","1,175,209,750.62","1,258,461,600.02","1,271,477,190.70","1,244,820,722.50"
流动负债合计,"27,617,216.61","43,473,393.72","41,233,994.27","41,973,252.98","51,319,810.45","49,124,822.48","43,161,624.73","70,953,691.28","57,002,409.37","79,355,426.23","70,199,424.42","74,352,752.97","66,131,219.59","77,838,749.58","86,123,885.86","100,836,815.68","91,296,728.54","172,328,499.67","94,451,084.94","163,054,735.56","169,906,357.38","152,041,632.89","69,066,415.39"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,"8,601,156.19","10,608,747.52","5,831,778.47","3,910,687.58","6,103,590.00","5,186,811.28"
长期应付款,,,,,,,,,,,,,,,,,,"71,007,714.88","67,686,332.49","6,863,220.36","7,421,169.59","6,262,325.08","6,077,862.91"
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,"420,000.00","3,340,000.00","3,340,000.00","4,500,000.00","10,740,000.00",,,,,,"66,000.00","256,000.00","64,000.00",,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"61,962,166.78","75,912,909.85","77,961,286.09","74,761,900.34","70,194,099.15","67,891,937.74","67,005,234.60","66,963,783.85","65,800,314.86","64,557,474.41","62,031,395.54","60,136,574.64","59,494,428.21","161,013,017.99","158,197,945.57","167,101,601.89","164,626,668.49","170,090,594.00","166,746,043.93","164,276,018.64","165,084,444.88","233,925,349.73","233,382,378.48"
递延所得税负债,,,,,,,,,,,,,,,,,,"1,079,285.14","1,105,468.99","1,040,009.37","1,020,371.49","1,000,733.61","981,095.73"
在建工程,,,,,,"2,050,800.00","2,709,742.00","3,991,963.31","14,385,254.69","31,439,549.22","40,196,709.90","51,772,131.25","73,666,722.32",,"45,000.00","370,471.70","2,464,183.05","10,915,459.30","18,869,921.59","29,735,701.79","48,429,694.90",,"10,422,425.18"
其他非流动负债,,,,,,"8,320,000.00",,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"420,000.00","3,340,000.00","3,340,000.00","4,500,000.00","10,740,000.00","8,320,000.00","8,448,000.00","8,454,471.51","8,454,471.51","7,204,736.37","7,314,736.37","9,374,736.37","9,182,736.37","5,250,573.45","4,996,728.45","4,742,883.45","4,489,038.45","76,320,517.53","72,771,473.99","11,629,057.24","11,913,523.59","10,481,196.20","10,023,251.15"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"28,037,216.61","46,813,393.72","44,573,994.27","46,473,252.98","62,059,810.45","57,444,822.48","51,609,624.73","79,408,162.79","65,456,880.88","86,560,162.60","77,514,160.79","83,727,489.34","75,313,955.96","83,089,323.03","91,120,614.31","105,579,699.13","95,785,766.99","248,649,017.20","167,222,558.93","174,683,792.80","181,819,880.97","162,522,829.09","79,089,666.54"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","124,430,000.00","124,430,000.00","248,860,000.00","249,837,313.00","249,837,313.00","249,837,313.00","499,674,626.00","499,891,806.00","499,891,806.00","500,828,609.00","500,828,609.00","500,828,609.00","501,837,435.00","501,837,435.00","501,837,435.00","501,837,435.00","501,787,943.00","501,787,943.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"83,804,154.00","83,804,154.00","83,804,154.00","83,804,154.00","83,804,154.00","359,454,154.00","359,454,154.00","235,024,154.00","263,226,439.31","265,901,309.06","267,833,003.42","21,413,735.56","24,734,799.76","26,146,851.76","37,464,138.25","39,588,472.84","40,890,768.22","52,304,972.91","54,905,827.56","57,105,730.53","58,643,689.59","59,323,732.27","60,736,740.39"
无形资产,"3,781,733.46","3,798,882.80","3,634,509.92","3,765,105.11","3,773,019.94","3,701,234.50","3,674,307.04","3,604,606.57","3,534,906.00","3,466,006.80","3,434,666.13","3,477,562.66","4,074,750.43","4,210,332.33","4,120,222.80","3,958,711.67","3,815,996.84","4,564,465.94","4,825,591.01","5,010,301.88","5,198,137.16","5,947,218.25","6,432,521.93"
盈余公积,"11,485,456.51","25,186,448.78","43,250,186.96","53,163,975.60","53,163,975.60","64,314,278.86","64,314,278.86","74,987,557.65","74,987,557.65","88,818,601.77","88,818,601.77","100,931,357.27","100,931,357.27","115,982,996.22","115,982,996.22","126,800,835.32","126,800,835.32","142,014,736.97","142,014,736.97","152,941,190.42","152,941,190.42","170,313,517.08","170,313,517.08"
开发支出,,,,,,,,,,,,,,,,"713,543.13","713,543.13",,,,,,
减:库存股,,,,,,,,,,"26,504,728.56","26,504,728.56","26,504,728.56","20,679,567.28","20,679,567.28","31,284,177.24","31,284,177.24","22,269,727.66","29,683,334.84","56,501,446.97","101,506,720.34","89,841,602.64","89,867,736.20","86,926,517.20"
商誉,,,,,,,,,,,,,,,,"167,864,433.95","167,864,433.95","281,801,427.62","281,801,427.62","281,801,427.62","281,801,427.62","281,801,427.62","281,801,427.62"
未分配利润,"93,369,108.67","176,678,039.11","249,251,682.70","338,475,780.51","395,114,407.73","438,828,509.81","493,379,879.14","472,673,018.91","533,023,943.03","597,152,551.58","661,241,650.49","631,221,678.72","698,518,222.91","766,683,015.00","818,236,804.60","714,339,017.58","787,446,090.46","863,554,099.45","921,643,174.08","891,883,753.03","972,171,239.91","1,060,645,079.41","1,120,884,430.80"
长期待摊费用,"3,063,972.06","1,587,020.52","854,771.28","488,646.66","320,551.69","184,058.97","48,399.78","1,590.00","212,499.99","880,705.85","799,129.11","685,778.28","554,127.45","5,851,255.86","5,466,483.01","5,970,408.25","6,823,630.18","4,496,035.14","4,192,902.02","4,029,056.83","3,666,441.84","3,939,698.87","3,601,752.03"
少数股东权益,,,,,,,,,,,,,,,,"11,750,877.31","12,757,271.12",,,,,,
递延所得税资产,"933,412.73","1,173,456.05","1,655,409.97","2,037,115.52","2,037,115.52","2,208,789.77","2,208,789.77","2,748,105.25","2,748,105.25","4,106,194.99","4,099,728.61","5,454,680.91","5,454,680.91","5,282,819.96","5,282,819.96","6,824,885.19","6,824,885.19","5,615,806.12","5,600,336.92","7,562,445.59","7,563,399.25","6,247,127.59","6,247,127.59"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,"23,207,745.00","17,288,384.60","4,343,702.84","2,979,227.00","1,530,000.00","1,530,000.00","1,530,000.00","1,530,000.00","10,247,000.00","9,786,200.00","3,488,700.00","3,456,000.00","55,283,761.89","53,990,614.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,
