科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"134,515,871.35","109,207,072.23","91,148,494.64","113,634,865.00","164,849,770.49","103,909,810.80","125,341,701.73","178,529,249.27","208,988,228.42","144,292,336.71","115,219,715.37","168,999,279.47","447,692,830.22","392,220,447.92","327,919,734.90","356,057,286.51","335,802,565.14","426,091,481.40","380,935,594.77","387,426,650.71","297,146,166.14","263,692,316.75","222,582,111.55","344,908,456.53","630,125,067.89","618,161,202.67","666,707,030.20","628,422,357.60","624,683,128.11","503,036,650.59","404,487,509.73","651,598,813.90","496,489,860.47","591,138,207.96","2,053,155,708.87","1,003,318,890.46","845,977,638.87","1,239,275,459.68","1,611,388,041.63","1,255,461,996.31","1,026,608,366.61","1,135,061,955.70","855,638,535.46","883,638,840.87","1,129,665,889.21","928,964,367.88"
短期借款,"34,840,956.81","67,802,425.77","50,000,000.00","41,695,150.10","109,683,788.16","70,931,969.25","91,785,015.23","117,177,527.60","112,860,240.32","75,010,315.49","59,802,964.94","65,000,000.00","62,992,500.00","27,992,500.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,"35,000,000.00","138,000,000.00","60,000,000.00","80,000,000.00","45,000,000.00","30,000,000.00","70,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00","50,000,000.00","21,948,001.20","21,948,001.20",,,"166,443,120.00","146,216,400.00","146,216,400.00","146,216,400.00","176,216,400.00","235,545,399.00","249,596,882.00","54,279,030.10","83,129,094.19"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"20,445,500.00","20,920,000.00","9,000,000.00","21,000,000.00","15,500,000.00","14,000,000.00","20,000,000.00","19,000,000.00","9,802,200.00","65,802,200.00","122,802,200.00","61,000,000.00","2,400,000.00","49,800,000.00","61,600,000.00","39,800,000.00","1,457,000.00","1,457,000.00","3,197,600.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"96,729,976.49","107,417,816.00","92,917,005.01","84,403,265.58","96,114,123.05","119,075,531.23","99,088,182.81","101,403,501.90","118,737,092.49","127,334,307.01","126,262,760.64","111,674,984.68","130,317,833.66","127,053,655.42","128,317,783.02","113,024,277.97","127,045,090.62","127,977,391.03","130,444,643.20","118,337,371.50","150,940,935.05","158,351,803.76","156,591,702.06","161,597,617.64","204,106,079.79","258,330,897.08","304,023,188.25","191,374,150.51","236,983,796.19","283,454,160.62","352,323,122.38","357,631,296.41","437,700,146.46","474,479,741.97","523,223,469.17","480,927,036.18","503,408,376.46","523,748,673.19","532,179,477.04","527,806,550.00","511,480,815.88","536,082,421.36","554,752,309.72","583,655,554.52","532,820,844.61","551,435,193.32"
应付账款,"19,621,151.88","30,396,650.25","19,100,890.64","24,490,156.11","16,612,868.35","29,853,027.74","28,831,046.91","25,262,825.99","12,260,111.88","16,122,416.31","12,266,513.57","15,517,697.58","11,703,220.69","13,608,992.44","8,413,992.92","15,302,854.39","10,606,501.87","8,192,603.07","13,638,181.53","21,344,043.87","17,624,908.83","17,487,855.97","18,602,315.32","52,608,214.18","44,587,424.93","53,054,445.55","55,346,208.62","75,552,626.54","92,924,679.14","60,547,951.05","54,612,529.90","55,275,588.43","41,042,621.86","69,024,924.23","56,774,019.73","126,936,575.54","137,682,887.62","153,370,188.07","69,951,157.11","148,058,620.36","160,426,355.68","151,038,153.42","128,037,692.32","180,629,914.08","129,274,056.69","159,787,549.44"
预付款项,"8,243,714.47","12,013,522.48","20,227,721.15","8,046,448.67","13,786,806.44","17,892,848.66","29,761,592.66","29,560,220.18","29,453,987.66","22,523,947.02","19,696,797.37","17,171,929.05","32,610,742.47","30,645,554.12","25,330,839.09","14,759,511.58","30,583,899.44","30,465,273.21","61,244,631.11","22,481,536.43","18,662,897.35","29,110,101.79","99,064,511.89","34,257,891.97","37,109,650.14","84,835,713.38","29,924,885.66","11,654,348.96","48,300,555.97","105,962,530.34","86,012,512.10","12,691,376.87","31,134,370.78","21,127,509.98","36,883,775.71","9,474,239.64","11,425,343.50","18,922,215.59","24,636,238.61","13,655,990.54","23,109,889.90","26,928,596.59","18,412,737.10","43,844,318.32","50,155,116.27","62,444,466.64"
预收款项,"3,569,620.38","844,478.07","876,330.47","1,202,252.78","1,312,752.78","1,363,437.98","852,918.18","1,452,690.88","949,232.70","86,704.10","1,065,827.90","42,807.65","42,807.65","44,339.65","-53,268.56","1,181,889.44","1,181,889.44","1,239,553.38","1,248,153.38","1,757,453.38","1,379,489.44","254,331.44","1,442,131.09","651,056.57","759,683.13","639,683.13","1,295,084.45","1,246,500.00","1,466,756.05","1,222,000.65","1,603,739.56","1,483,288.46","1,518,561.43","1,323,703.68","2,001,238.34","204,619.25","251,150.22","846,784.82","823,649.16","2,325,149.38","687,712.40","4,463,229.65","5,335,462.63","10,981,185.80","8,095,285.06","6,395,677.28"
